#CODE;ENGLISH;;;;;;;;;x 
REL_CAPTOR;Captor;;;;;;;;;x 
fp_mansion_4_desc;Truly, the splendor of this palace would be the envy of a Roman emperor. Its great halls shine of gold and marble, and hundreds of servants scurry through them daily in service of their masters. It is nothing less than a monument to the greatness of this dynasty.;;;;;;;;;x 
fp_barracks_1_desc;The dynasty's household guards are lodged within these simple barracks. They are crowded and unsanitary, but provide decent protection against the elements.;;;;;;;;;x 
fp_barracks_2_desc;An industrious swordsmith has opened up a forge in the palace courtyard. This will make it easier to equip new recruits with weapons.;;;;;;;;;x 
fp_barracks_3_desc;A large armory has been constructed in a corner of the palace courtyard. It holds enough weapons and armor to equip a small army at a moment's notice.;;;;;;;;;x 
fp_stable_1_desc;This small stable just outside the palace walls reeks of hay and manure. It holds the horses of the guard, as well as those of any visitors.;;;;;;;;;x 
fp_stable_2_desc;Several large fields just outside the palace have been graciously "donated" by local farmers and set aside as riding grounds. Here the fighting men can practise the art of war on horseback.;;;;;;;;;x 
fp_stable_3_desc;A horse breeder has set up shop in the vicinity of the palace. The large pens can hold hundreds of animals, and ensure a steady supply of mounts for forces raised locally.;;;;;;;;;x 
fp_bowyer_1_desc;A skilled bowyer has set up his small workshop inside the palace courtyard. Here he can make new bows or repair broken ones as needed.;;;;;;;;;x 
fp_bowyer_2_desc;This target range lets the men practise their archery. There are several targets positioned at different distances, but as yet, no one has managed to split another's arrow.;;;;;;;;;x 
fp_bowyer_3_desc;The crossbow is a marvelous invention. Though it can't be fired as quickly as a longbow, it requires little training to use effectively. This workshop ensures a steady supply of these deadly weapons.;;;;;;;;;x 
fp_shipyard_1_desc;This room inside the palace is a cartographer's dream, and contains priceless maps of all sorts. Some are claimed to date back to the ancient Greeks, and others, whose accuracy cannot be gauged with any certainty, depict strange lands far to the east.;;;;;;;;;x 
fp_shipyard_2_desc;This large shipyard is located along the coast, but it has been reserved for exclusive use by this dynasty. Skilled shipwrights stand ready to build trade galleys.;;;;;;;;;x 
fp_shipyard_3_desc;This naval arsenal is located in the capital, but it is completely owned by this dynasty who has reserved all use of it for themselves. It is a huge complex that has everything needed to assemble and man an entire fleet.;;;;;;;;;x 
fp_warehouse_1_desc;A large warehouse containing all the supplies necessary to field a military force, whether it be an army or a fleet.;;;;;;;;;x 
fp_warehouse_2_desc;It is easy to get lost in this colossal archive housed entirely within the palace. It holds documents and records of all dynastic assets, from ships and buildings down to individual soldiers and clerks.;;;;;;;;;x 
fp_warehouse_3_desc;This office deep within the palace acts as the nerve center of the entire dynastic empire. Here clerks and officials oversee the day-to-day affairs of trade negotiations and fleet deployments.;;;;;;;;;x 
fp_garden_1_desc;A large and impressive garden filled with the manifold wonders of nature. This tranquil environment is ideal for moments of quiet reflection.;;;;;;;;;x 
fp_garden_2_desc;This scenic pond, often frequented by swans, is the centerpiece of the palace garden. A small fountain in its middle sprays water into the air while carps can be glimpsed just beneath the surface.;;;;;;;;;x 
fp_garden_3_desc;No self-respecting garden is complete without one. This intricate hedge maze delights visitors, and many dignitaries have spent hours navigating its twisting paths.;;;;;;;;;x 
fp_cellar_1_desc;A well-stocked wine cellar is an absolute must for any aristocrat of rank, and this one certainly doesn't disappoint. Some of the wines stored here date back decades.;;;;;;;;;x 
fp_cellar_2_desc;These catacombs located far beneath the palace contain the dynastic tombs. Here countless generations dating back centuries are joined in eternal slumber. May they rest in peace.;;;;;;;;;x 
fp_cellar_3_desc;This vast complex of dungeons is hidden away deep enough below the palace to block the cries of its unfortunate inhabitants. Every imaginable instrument of torture can be found within these cold and dark chambers.;;;;;;;;;x 
fp_shrine_1_desc;A secluded shrine hidden away in a quiet wing of the palace. Here men and women can spend their time in prayer and introspective soul-searching.;;;;;;;;;x 
fp_shrine_2_desc;This gallery occupies a large chamber in one of the palace wings, and it contains all works of art accumulated by members of this dynasty over the years - from contemporary tapestries to ancient marble sculptures from Greece and Rome.;;;;;;;;;x 
fp_shrine_3_desc;A huge library containing all sorts of dusty old tomes collected and purchased from all over the known world by members of this dynasty. They are in many different languages and no person alive has read them all, but at least here they will be protected for posterity.;;;;;;;;;x 
fp_vault_1_desc;This fortified vault deep within the palace is where the dynasty keeps all of their treasures collected over the years. Only the head of the dynasty has access to the vault keys, but the stories of piles upon piles of golden coins, deep enough for a man to dive around in like a porpoise, or burrow through like a gopher, must surely be false.;;;;;;;;;x 
fp_vault_2_desc;These secret passages run through the entire palace, and enable those in the know to quickly move from one end to the other without being seen. By pulling on the right candelabrum, an unassuming bookshelf or a lit fireplace might slide open. Perfect for escaping would-be assassins or awkward social gatherings.;;;;;;;;;x 
fp_vault_3_desc;This hidden chamber inside the palace can only be reached through one of the secret passages, and even then several special keys are required. It serves as a well-protected retreat for the head of the dynasty, where he or she can safely plot the conquest of the world without irritating distractions.;;;;;;;;;x 
#tr_port_1;Small Merchant Port;;;;;;;;;x 
tr_port_1;Merchant Port;;;;;;;;;x 
tr_port_2;Merchant Port;;;;;;;;;x 
tr_port_3;Merchant Port;;;;;;;;;x 
#tr_port_3;Large Merchant Port;;;;;;;;;x 
#tr_warehouse_1;Small Warehouse;;;;;;;;;x 
tr_warehouse_1;Warehouse;;;;;;;;;x 
tr_warehouse_2;Warehouse;;;;;;;;;x 
tr_warehouse_3;Warehouse;;;;;;;;;x 
#tr_warehouse_3;Large Warehouse;;;;;;;;;x 
#tr_enclave_1;Small Merchant Enclave;;;;;;;;;x 
tr_enclave_1;Merchant Enclave;;;;;;;;;x 
tr_enclave_2;Merchant Enclave;;;;;;;;;x 
tr_enclave_3;Merchant Enclave;;;;;;;;;x 
#tr_enclave_3;Large Merchant Enclave;;;;;;;;;x 
#tr_garrison_1;Small Garrison;;;;;;;;;x 
tr_garrison_1;Garrison;;;;;;;;;x 
tr_garrison_2;Garrison;;;;;;;;;x 
tr_garrison_3;Garrison;;;;;;;;;x 
#tr_garrison_3;Large Garrison;;;;;;;;;x 
#tr_fort_1;Small Fort;;;;;;;;;x 
tr_fort_1;Fort;;;;;;;;;x 
tr_fort_2;Fort;;;;;;;;;x 
tr_fort_3;Fort;;;;;;;;;x 
#tr_fort_3;Large Fort;;;;;;;;;x 
tr_port_1_desc;Merchant galleys load and off-load their cargo at this small port.;;;;;;;;;x 
tr_port_2_desc;Merchant galleys load and off-load their cargo aided by a simple wooden harbor crane at this port.;;;;;;;;;x 
tr_port_3_desc;Merchant galleys load and off-load their cargo aided by several wooden harbor cranes at this bustling port.;;;;;;;;;x 
tr_warehouse_1_desc;This small warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.;;;;;;;;;x 
tr_warehouse_2_desc;This warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.;;;;;;;;;x 
tr_warehouse_3_desc;This large warehouse houses goods awaiting shipment out to sea or to potential buyers further inland.;;;;;;;;;x 
tr_enclave_1_desc;A small enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.;;;;;;;;;x 
tr_enclave_2_desc;An enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.;;;;;;;;;x 
tr_enclave_3_desc;A large enclave of expatriates from the republic have established themselves in this foreign land to conduct trade.;;;;;;;;;x 
tr_garrison_1_desc;A small garrison stands vigil over the trade post to deter bandits and rival trade powers.;;;;;;;;;x 
tr_garrison_2_desc;A garrison stands vigil over the trade post to deter bandits and rival trade powers.;;;;;;;;;x 
tr_garrison_3_desc;A large garrison stands vigil over the trade post to deter bandits and rival trade powers.;;;;;;;;;x 
tr_fort_1_desc;This small fort overlooks the trade post, and its wooden walls constitute the final defense against any attacker.;;;;;;;;;x 
tr_fort_2_desc;This fort overlooks the trade post, and its stone walls constitute the final defense against any attacker.;;;;;;;;;x 
tr_fort_3_desc;This large fort overlooks the trade post, and its massive stone walls constitute the final defense against any attacker.;;;;;;;;;x 
title_state_inquisitor;State Inquisitor;;;;;;;;;x 
title_state_inquisitor_desc;The three State Inquisitors are charged with ensuring the security of the Republic against threats both internal and external.;;;;;;;;;x 
title_high_admiral;High Admiral;;;;;;;;;x 
title_high_admiral_desc;The High Admiral is formally the chief of the Admiralty and in charge of the Republic's Navy, though he often relies on a competent staff.;;;;;;;;;x 
title_high_judge;High Judge;;;;;;;;;x 
title_high_judge_desc;The High Judge is the supreme justice of the Republic, who answers only to the Council in most legal matters.;;;;;;;;;x 
EXPENSE_FAMILY_DUES;Family Dues;;;;;;;;;x 
TRIGGER_CAPITAL_HOLDING;Capital Holding;;;;;;;;;x 
EVTDESC60014;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced Nestorian Christianity!;;;;;;;;;x 
TRIGGER_PLOT_TARGET_PROVINCE;Plot Target Province;;;;;;;;;x 
EMBARGO_EFFECT;Embargo §Y$WHO$§! and gain §G$GOLD$§!¤ from razing §Y$NUM$§! Trade posts\n;;;;;;;;;x 
LIFT_EMBARGO_EFFECT;Lift Embargo against $WHO$\n;;;;;;;;;x 
TRADE_INCOME;Trade Income;;;;;;;;;x 
TRIGGER_TRADE_POST_OWNER;Trade Post Owner;;;;;;;;;x 
FAM_REAL_FATHER;Real Father;;;;;;;;;x 
AN_UNKNOWN_FATHER;an unknown father;;;;;;;;;x 
WAS_NOT_CONCEIVED_A_BASTARD;Was NOT conceived a Bastard;;;;;;;;;x 
WAS_CONCEIVED_A_BASTARD;Was conceived a Bastard;;;;;;;;;x 
FATHER_OF_UNBORN_KNOWN;The Father of the Unborn Baby is NOT Known;;;;;;;;;x 
FATHER_OF_UNBORN_NOT_KNOWN;The Father of the Unborn Baby is Known;;;;;;;;;x 
EVTDESC319;It seems my dalliance with [From.GetTitledFirstName] has resulted in a child. Fortunately, [FromFrom.Father.GetTitledFirstName] thinks little [FromFrom.GetFirstName] is his!;;;;;;;;;x 
EVTOPTA319;Oops;;;;;;;;;x 
SET_FATHER_OF_UNBORN_KNOWN;The Father of the Unborn Baby is Revealed\n;;;;;;;;;x 
SET_FATHER_OF_UNBORN_NOT_KNOWN;The Father of the Unborn Baby is Unknown\n;;;;;;;;;x 
HAVE_NOT_DYNASTY_FLAG;Does not have dynasty flag;;;;;;;;;x 
HAVE_DYNASTY_FLAG;Has dynasty flag;;;;;;;;;x 
HAD_DYNASTY_FLAG_LESS_THAN;Had dynasty flag '§Y$FLAG$§!' for less than §Y$DAYS$§! days;;;;;;;;;x 
HAD_DYNASTY_FLAG_AT_LEAST;Had dynasty flag '§Y$FLAG$§!' for at least §Y$DAYS$§! days;;;;;;;;;x 
d_hansa;Hanseatic League;;;;;;;;;x 
d_hansa_adj;Hanseatic;;;;;;;;;x 
RESPECT;Respect;;;;;;;;;x 
RESPECT_DESC;Respect is a value based on the Age and Prestige of a Patrician, determining how likely he is to be elected Doge. It can be increased by investing money in the Campaign Fund, but women and children can never be elected.;;;;;;;;;x 
AGE_FACTOR;Age Factor;;;;;;;;;x 
IS_PATRICIAN;Is Patrician;;;;;;;;;x 
ISNT_PATRICIAN;Is NOT Patrician;;;;;;;;;x 
IS_MERCHANT_REPUBLIC;Is Merchant Republic;;;;;;;;;x 
ISNT_MERCHANT_REPUBLIC;Is NOT Merchant Republic;;;;;;;;;x 
patrician_elective;Patrician Elective;;;;;;;;;x 
succ_patrician_elective;Patrician Elective;;;;;;;;;x 
succ_patrician_elective_desc;This is the succession type in the great naval Merchant Republics. The next Doge is determined from among the heads of the five grand Patrician families depending on Age, Prestige, and invested Campaign Funds.;;;;;;;;;x 
IN_FAVOR_OF;in favor of §Y$NAME$§W;;;;;;;;;x 
NO_BANKRUPT;You are not bankrupt;;;;;;;;;x 
TRADEPOST_PROV;Trade Post of $PROV$;;;;;;;;;x 
TRADEPOST_PROV_LONG;Trade Post of $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! );;;;;;;;;x 
BUILD_TRADE_POST;Build a new Trade Post;;;;;;;;;x 
TRADE_COST_DIST_TOTAL;Distance Penalty: §Y+$PENALTY$%§! ( §Y$MULT$%§! of total Distance );;;;;;;;;x 
TRADE_COST_DIST;Distance to Republic held Province ( §Y$PROVINCE$§W ): §Y$COST$§W;;;;;;;;;x 
TRADE_COST_REGION_PEN;Different Trade Region: §Y+$PENALTY$§!;;;;;;;;;x 
TRADE_COST_MULT;Distance to Cost-increate Multiplier: §Y$MULT$%§!;;;;;;;;;x 
TOTAL_COST;Total Cost: §Y$COST$§W;;;;;;;;;x 
TRADEPOST_FINISHED_SETUP;Trade Post Construction Finished;;;;;;;;;x 
TRADEPOST_FINISHED_LOG;A Trade Post has been built by the §Y$FAMILY$§! Family of §Y$REPUBLIC$§! in §Y$PROVINCE$§!;;;;;;;;;x 
TRADEPOST_OWNER;Trade Post is owned by the §Y$FAMILY$§W Family;;;;;;;;;x 
TRADEZONE_OWNER;This Trade Zone is owned by the §Y$FAMILY$§! Family of §YThe $REPUBLIC$§!;;;;;;;;;x 
TRADEREGION_DESC;This province belongs to §YThe $REGION$§!;;;;;;;;;x 
TRADE;Trade;;;;;;;;;x 
TRADE_ZONE;Trade Zone:;;;;;;;;;x 
TOTAL_TRADE_FAMILY;Family Total:;;;;;;;;;x 
TRADE_ZONE_BONUS;Trade Zone Bonus;;;;;;;;;x 
TRADE_CONNECTED_BONUS;Connected to Capital;;;;;;;;;x 
CURRENT_INCOME;Current base income: §Y$INCOME$§!;;;;;;;;;x 
INCOME_TRADEPOST;Income from this Trade post;;;;;;;;;x 
TRADEZONE_SIZE;Trade Zone Size;;;;;;;;;x 
TRADEZONE_SIZE_DESC;The number of Trade Posts in the Trade Zone this Trade Post is part of;;;;;;;;;x 
TRADEZONE_VALUE;Trade Zone Value;;;;;;;;;x 
TRADEZONE_VALUE_DESC;The value of all Holdings in this trade zone\nIncreases the value of Trade Posts and Cities in this Trade Zone:\nTrade Posts: §Y$TPBONUS$§!\nCities: §Y$CTBONUS$§!;;;;;;;;;x 
TRADEZONE_INCOME;Trade Zone Income;;;;;;;;;x 
TRADEZONE_INCOME_DESC;Total Income from all Trade Posts in this Trade Zone: §Y$INCOME$§!¤;;;;;;;;;x 
TheRepublicDLC;The Republic;;;;;;;;;x 
CONFIRM_BUILD_TRADEPOST_TITLE;Build Trade Post;;;;;;;;;x 
CONFIRM_BUILD_TRADEPOST_DESC;Are you sure you want to build a Trade Post?\nIt will cost you §Y$COST$§!¤ and will be finished on §Y$FINISHED$§!;;;;;;;;;x 
TRADEFAMILY_INCOME;Total Family Income;;;;;;;;;x 
TRADEFAMILY_INCOME_DESC;Total Income from all Trade Posts owned by the §Y$FAMILY$§! Family: §Y$INCOME$§!¤;;;;;;;;;x 
TRADEFAMILY_SIZE;Total Family Size;;;;;;;;;x 
TRADEFAMILY_SIZE_DESC;The number of Trade Posts owned by the §Y$FAMILY$§! Family;;;;;;;;;x 
TRADEPOST_UNDER_CONSTRUCTION;Trade Post under construction by §Y$BUILDER$§!\nWill be finished on §Y$DATE$§!;;;;;;;;;x 
MODIFIER_TRADEVALUE;Trade Value;;;;;;;;;x 
MODIFIER_RETINUESIZE;Retinue Size;;;;;;;;;x 
FROM_TRADEPOSTS;From Trade Posts: §G$AMOUNT$§!\n;;;;;;;;;x 
FROM_MANPOWER;From Manpower: §G$AMOUNT$§!\n;;;;;;;;;x 
FROM_HOLDINGS;From Holdings: §G$AMOUNT$§!\n;;;;;;;;;x 
CUSTOM_MAPMODE_DESC;§YCustom map mode slot§!\nDrag mapmodes here for easy access;;;;;;;;;x 
SHOW_MAPMODES_TOGGLE;Toggle the map modes interface;;;;;;;;;x 
MAPMODE_DRAG;§GDrag this button to the custom slots below for easy access§!;;;;;;;;;x 
SHORTCUT_DESC;Shortcut: §Y$SHORTCUT$§!;;;;;;;;;x 
MAPMODE_TRADE_REPUBLICS;§YRepublic Trade Zones§!;;;;;;;;;x 
MAPMODE_TRADE_REPUBLICS_DESC;All Trade Zones, separated by their owner's republic.;;;;;;;;;x 
MAPMODE_TRADE_FAMILIES;§YFamily Trade Zones§!;;;;;;;;;x 
MAPMODE_TRADE_FAMILIES_DESC;Trade Zones in the selected republic, separated by their owners.;;;;;;;;;x 
MAPMODE_TRADE_REGIONS;§YTrade Regions§!;;;;;;;;;x 
MAPMODE_TRADE_REGIONS_DESC;Building Trade Posts in regions where you dont have Holdings is more expensive;;;;;;;;;x 
region_east_med;East Mediterranean Trade Region;;;;;;;;;x 
region_west_med;West Mediterranean Trade Region;;;;;;;;;x 
region_north_atlantic;North Atlantic Trade Region;;;;;;;;;x 
region_baltic;Baltic Trade Region;;;;;;;;;x 
CANT_BUILD_TRADEPOST_EMBARGO;Is not Embargoed by $WHO$;;;;;;;;;x 
CANT_BUILD_TRADEPOST_COASTAL;Is Coastal;;;;;;;;;x 
IS_YOUNGER_THAN;Is Younger than ;;;;;;;;;x 
IS_OLDER_THAN;Is Older than ;;;;;;;;;x 
CAMPAIGN_FUND;Campaign Fund;;;;;;;;;x 
CAMPAIGN_FUND_DESC;Money in the Campaign Fund will increase your Respect in the senate and make your candidate more likely to be elected the next $RULER_TITLE$. You can freely adjust the amount until the current $RULER_TITLE$ dies, when the Fund will be used up in the election campaign.;;;;;;;;;x 
EXPECTED_SUCCESSOR;Expected Successor;;;;;;;;;x 
EXPECTED_SUCCESSOR_DESC;§Y$HEIR$§! is widely expected to succeed §Y$RULER$§!. However, there is always a degree of uncertainty in the elections - to make sure of success, you might want to invest more money than the strict minimum in your campaign fund.;;;;;;;;;x 
opinion_patrician_wo_council_position;Not on the Council;;;;;;;;;x 
MERCHANT_REPUBLICS_CANNOT_MOVE_CAPITAL;Merchant Republics are not allowed to change Capital;;;;;;;;;x 
THE_REPUBLIC;The Republic;;;;;;;;;x 
PATRICIAN_DYNASTY_FALLS_SETUP;Patrician Family Falls;;;;;;;;;x 
PATRICIAN_DYNASTY_FALLS_LOG;With the death of §Y$PATRICIAN$§!, the illustrious House §Y$DYNASTY$§! has become extinct.;;;;;;;;;x 
PATRICIAN_DYNASTY_RISES_SETUP;Patrician Family Rises;;;;;;;;;x 
PATRICIAN_DYNASTY_RISES_LOG;A new great House has risen to the forefront of $TITLE_ADJ$ politics, under §Y$PATRICIAN$§!.;;;;;;;;;x 
NEW_DOGE_ELECTED_SETUP;Merchant Republic Election;;;;;;;;;x 
NEW_DOGE_ELECTED_LOG;§Y$NEW_DOGE$§! has been elected the new $RULER_TITLE$ of the great Republic of §Y$TITLE$§!;;;;;;;;;x 
GREAT_DUKE;Great Duke;;;;;;;;;x 
city_king;Prince Mayor;;;;;;;;;x 
city_duke;Grand Mayor;;;;;;;;;x 
CB_NAME_EMBARGO;Embargo;;;;;;;;;x 
WAR_NAME_EMBARGO;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Embargo War;;;;;;;;;x 
CB_NAME_COASTAL_REPUBLIC;Seize the City of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$;;;;;;;;;x 
CB_NAME_COASTAL_COUNTY_REPUBLIC;Seize [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_COASTAL_COUNTY_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;;;;;;;;;x 
#BM_THE_MONGOLS;The Mongols;;;;;;;;;x 
#BM_THE_MONGOLS_DESC;The terrible Mongol Horde has swept like a scythe through Eastern Europe, effortlessly mowing down all opposition. As even the Holy Roman Emperor Friedrich II cowers in fear, the great invasion suddenly comes to an inexplicable halt as both Batu Khan of the Golden Horde and Hulagu Khan of the Ilkhanate return to Karakorum to elect a new Great Khan. In Northern Germany, the burghers of the Imperial Free Cities of Lübeck and Hamburg have just formed a trade alliance that will eventually become known as the Hanseatic League.;;;;;;;;;x 
IS_EMBARGOING;Is Embargoing §Y$OTHER$§!;;;;;;;;;x 
REPUBLICAN;Republican;;;;;;;;;x 
HAS_FEWER_TPS_THAN;Has fewer than §Y$NUM$§! Trade Posts;;;;;;;;;x 
HAS_MORE_TPS_THAN;Has at least §Y$NUM$§! Trade Posts;;;;;;;;;x 
NUM_TP_DIFF_LOWER_THAN;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts lower than §Y$VAL$§!;;;;;;;;;x 
NUM_TP_DIFF_AT_LEAST;Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts at least §Y$VAL$§!;;;;;;;;;x 
IS_NOT_EMBARGOING;Is NOT Embargoing §Y$OTHER$§!;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_NO_CONTESTED_TITLES;[Recipient.GetTitledName] has no titles currently contested in a war;;;;;;;;;x 
INTERACTION_REPUBLICS_NEED_IMPRISON_REASON;Ruler of Republic has a valid imprisonment reason;;;;;;;;;x 
INTERACTION_REPUBLICS_NEED_REVOKE_REASON;Ruler of Republic has a valid revocation reason;;;;;;;;;x 
INTERACTION_REQUIRES_PATRICIAN_DOWRY;Can afford the Bride Price of §Y$DOWRY$§!¤ for marriage with a noblewoman;;;;;;;;;x 
OFFER_MARRIGE_INTERACTION_4;Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.;;;;;;;;;x 
ARRANGE_BETROTHAL_INTERACTION_4;Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.;;;;;;;;;x 
OFFER_MARRIGE_INTERACTION_LETTER_BRIDE_PRICE;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] marry. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤;;;;;;;;;x 
ARRANGE_BETROTHAL_INTERACTION_LETTER_BRIDE_PRICE;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_TITLE;Grant Independence;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_DESC;Grant a vassal independence;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_LONG_DESC;An independent liege can grant independence to direct vassals.;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_ACCEPT_SETUP;Independence Accepted;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetTitledName]§W granted §Y[Recipient.GetTitledName]§W independence;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_DECLINE_SETUP;Independence Declined;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetTitledName]§W refused an offer of independence from §Y[Actor.GetTitledName]§W;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_OFFER;[Actor.GetTitledName] has granted you independence!;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_LETTER;I release you from your vassalage and will no longer be your liege. [Actor.Religion.GetRandomGodNameCap] bless your future endeavors!;;;;;;;;;x 
RELEASE_VASSAL_INTERACTION_0;Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion.);;;;;;;;;x 
VASSAL_RELEASED_SETUP;Vassalage Ended;;;;;;;;;x 
VASSAL_RELEASED_LETTER;Esteemed $VASSAL$, for political reasons I have decided to release you from your vassalage and grant you full independence. Good luck!\n\n$LIEGE$;;;;;;;;;x 
VASSAL_RELEASED_LOG;§Y$LIEGE$§! has granted independence to §Y$VASSAL$§!;;;;;;;;;x 
ca_wall_q_1_desc;This shallow moat surrounding the castle provides another obstacle for attackers to overcome.;;;;;;;;;x 
ca_wall_q_2_desc;These narrow slits allow the defenders to rain down arrows on any attacker without being hit in turn.;;;;;;;;;x 
ca_wall_q_3_desc;A fortified portcullis that can quickly be raised or lowered as the situation demands.;;;;;;;;;x 
ca_wall_q_4_desc;A deep moat filled with unsanitary water. A formidable obstacle for any attacker.;;;;;;;;;x 
ca_wall_q_5_desc;This outer network of barbicans ensures that attackers come under fire before they can even approach the main walls.;;;;;;;;;x 
ca_wall_1_desc;A simple palisade to keep out riff-raff, but it will not delay a determined attacker for very long.;;;;;;;;;x 
ca_wall_2_desc;These low walls provide some protection, but they can still easily be scaled.;;;;;;;;;x 
ca_wall_3_desc;These stone walls surround the castle and must be overcome by any attacker.;;;;;;;;;x 
ca_wall_4_desc;These large walls surround the castle and must be overcome by any attacker.;;;;;;;;;x 
ca_wall_5_desc;These massive walls surround the castle and must be overcome by any attacker.;;;;;;;;;x 
ca_keep_1_desc;This keep serves as the fortified residence of the castle's inhabitants.;;;;;;;;;x 
ca_militia_barracks_1_desc;This simple training ground readies the peasants for war.;;;;;;;;;x 
ca_militia_barracks_2_desc;An archery range where the levies can master the art of the bow.;;;;;;;;;x 
ca_militia_barracks_3_desc;An expanded archery range where the levies can master the art of the bow.;;;;;;;;;x 
#ca_training_grounds_1_desc;Training grounds where the castle levies can practise and ready themselves for the inevitability of war.;;;;;;;;;x 
ca_barracks_1_desc;These quarters are the home of the castle's levies.;;;;;;;;;x 
ca_stable_1_desc;This stable just outside the castle walls houses all the steeds of the levy.;;;;;;;;;x 
ca_town_1_desc;A small village has formed around the castle, as local peasants flock to its walls for protection.;;;;;;;;;x 
