#CODE;ENGLISH;;;;;;;;;x 
horse_regret;Saved Instead of Favorite Horse;;;;;;;;;x 
#BUILD_FORT_DESC;Forts can be built in all counties you control, and in hostile counties where you have troops present. Forts cost §Y$COST$§!¤ to construct and can be upgraded to regular Castle Holdings (by §GRight-Clicking the Fort§!). Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition enjoyed by certain Pagan tribes in their homelands.;;;;;;;;;x 
succ_nomad_succession_desc;Under Nomad Succession, the son or brother with the most Prestige normally inherits, but prestigious Clan leaders also stand a chance if their Population is bigger than the Khagan's. Wrong-culture characters are disqualified and adults have precedence over children. If the Khagan's primary heir is still a child, the Khaganate is lost to one of the Clan chiefs. Clan chiefs with more Prestige than the heir get Claims on the Khaganate.;;;;;;;;;x 
CLAN_LIMIT_FORMULA;§YNumber of Clans§!;;;;;;;;;x 
COUNTIES_PER_CLAN;Desired Counties per Clan;;;;;;;;;x 
MAX_NR_OF_CLANS;Max Number of Clans;;;;;;;;;x 
CURRENT_CLANS;Current Clans;;;;;;;;;x 
POPULATION_BREAKDOWN;Current Population Breakdown;;;;;;;;;x 
STAT_POPULATION_DESC;This is the nomadic population of your realm. Each month, it will increase or decrease towards your §YMaximum Population§!, which is determined by the number of empty holdings in the counties you personally hold. The current §YPopulation§! is used to calculate your §YMaximum Manpower§!, and is also along with §YUnused Manpower§! used to calculate your monthly §YNomadic Tax§!.;;;;;;;;;x 
POPULATION_DIFFERENCE;Potential Population Growth: §Y$AMOUNT$§!;;;;;;;;;x 
POPULATION_GROWTH_RATIO;Monthly Population Growth Percentage: §Y$AMOUNT$%§!;;;;;;;;;x 
MANPOWER_DIFFERENCE;Potential Manpower Growth: §Y$AMOUNT$§!;;;;;;;;;x 
MANPOWER_GROWTH_RATIO;Monthly Manpower Growth Percentage: §Y$AMOUNT$%§!;;;;;;;;;x 
INTERACTION_CANNOT_ATTACK_VASSALS;You cannot attack your vassals with this Casus belli.;;;;;;;;;x 
tut_5a_23;Click the button to create a new unit. You can reorganize the selected unit and the newly created unit by dragging subunits from one unit to another.;;;;;;;;;x 
tut_5a_16;To the right you can see a tab named Fleet Levies. Click on it and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.;;;;;;;;;x 
LAND_OF_CLAN;§YProvinces held by Clan $CLAN$§!;;;;;;;;;x 
TECH_CAN_SPREAD;Technology can spread;;;;;;;;;x 
NOT_TECH_CAN_SPREAD;Technology can NOT spread;;;;;;;;;x 
TR_SILK_ROAD_1_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y100§! contains a §YSilk Road Trade Post§!, §YSilk Road Market§! or §YMajor Silk Road City§!.;;;;;;;;;x 
TR_SILK_ROAD_2_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y200§! contains a §YSilk Road Market§! or §YMajor Silk Road City§!.;;;;;;;;;x 
TR_SILK_ROAD_3_OTHER_PROVINCES_CONDITION;No other Silk Road Province within a distance of §Y500§! contains a §YMajor Silk Road City§!.;;;;;;;;;x 
MONTHLY_POPULATION_GROWTH;Monthly Population Growth;;;;;;;;;x 
MONTHLY_POPULATION_DECLINE;Monthly Population Decline;;;;;;;;;x 
MAXIMUM_CIVILIAN_POPULATION;Maximum Population;;;;;;;;;x 
STAT_MANPOWER_DESC;Manpower is an important part of a nomadic realm, as it is used both to recruit hordes and to reinforce them. Each month, it will increase or decrease towards your §YMaximum Manpower§!, determined by the current §YPopulation§!. You cannot recruit hordes to go above this limit, and you should make sure you have enough §YUnused Manpower§! to reinforce your horde when needed. Your §YUnused Manpower§! is also part of the calculation of your monthly §YNomadic Tax§!, along with the §YPopulation§!. Additionally, your §YUnused Manpower§! will contribute to the strength of the §YGarrison§! in your capital.;;;;;;;;;x 
POPULATION_AND_MANPOWER_OF;§YPopulation and Manpower of Clan $CLAN$§!;;;;;;;;;x 
NOMAD_LAND_OVERRUN_GENERIC_DESC;If the Khagan holds too much land compared to the other Clans, it will affect their §YClan Sentiments§!, and there might even be risk of a §YMinor Clan Rising§! revolt, in which a minor clan rises and attempts to seize its rightful position among the major Clans...;;;;;;;;;x 
RETINUE_COST;Retinues: §R-$VALUE$§!;;;;;;;;;x 
INTERACTION_NOT_AT_MAX_CLAN_SIZE;Has not reached the Maximum Clan Size.;;;;;;;;;x 
HORDE_RETTYPE_CAV1;Light Rider;;;;;;;;;x 
HORDE_RETTYPE_CAV2;Marauder;;;;;;;;;x 
HORDE_RETTYPE_CAV3;Skirmish Cavalry;;;;;;;;;x 
HORDE_RETTYPE_CAV4;Light Horse Archer;;;;;;;;;x 
HORDE_RETTYPE_CAV5;Light Vanguard;;;;;;;;;x 
HORDE_RETTYPE_CAV6;Heavy Vanguard;;;;;;;;;x 
HORDE_RETTYPE_CAV7;Horse Archer;;;;;;;;;x 
HORDE_RETTYPE_EUROPE;Lancer;;;;;;;;;x 
RELIGION_ALLOWS_FEMALE_TEMPLE_HOLDERS;The religion of §Y$CHAR$§! allows female temple holders and female spiritual councillors;;;;;;;;;x 
RELIGION_NOT_ALLOWS_FEMALE_TEMPLE_HOLDERS;The religion of §Y$CHAR$§! does NOT allow female temple holders or female spiritual councillors;;;;;;;;;x 
HAS_LOWER_POPULATION_AND_MANPOWER_THAN;Have lower Population and Manpower than ;;;;;;;;;x 
HAS_HIGHER_POPULATION_AND_MANPOWER_THAN;Have higher Population and Manpower than ;;;;;;;;;x 
HAS_LOWER_POPULATION_AND_MANPOWER_GROWTH_THAN;Have lower Civilian Population Growth than ;;;;;;;;;x 
HAS_HIGHER_POPULATION_AND_MANPOWER_GROWTH_THAN;Have higher Civilian Population Growth than ;;;;;;;;;x 
HAS_LOWER_MAX_POPULATION_AND_MANPOWER_THAN;Have lower Max Population and Manpower than ;;;;;;;;;x 
HAS_HIGHER_MAX_POPULATION_AND_MANPOWER_THAN;Have higher Max Population and Manpower than ;;;;;;;;;x 
POPULATION_EFFECT;$DIRECTION$ $VALUE$ Population;;;;;;;;;x 
IS_COUNTY_OWNER;Is county owner;;;;;;;;;x 
TT_NOT_SAME_REALM;Is NOT in own realm;;;;;;;;;x 
PROVINCE_DISTANCE;Distance to §Y$PROV$§!: §Y$DIST$§!;;;;;;;;;x 
NOMAD_CONVERSION_TROOP_SPAWN;Your horde troops will be disbanded and you will instead gain troops proportional to the land you're abandoning on the steppe.\n;;;;;;;;;x 
opinion_killed_horse;Killed My Horse;;;;;;;;;x 
EVTDESC_HL_6512_LIGHTNING;I was just about to leave Lightning by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!;;;;;;;;;x 
EVTDESC_HL_6512_ARROW;I was just about to leave Arrow by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!;;;;;;;;;x 
EVTDESC_HL_6512_DRAGON;I was just about to leave Dragon by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!;;;;;;;;;x 
EVTDESC_HL_6512_SKY;I was just about to leave Sky by the watering hole, when [From.GetFirstName]'s horse reached out and bit [Root.GetHerHim]!;;;;;;;;;x 
EVTOPTA_HL_6512;I'll have that beast killed!;;;;;;;;;x 
EVTOPTB_HL_6512;There's a better watering spot over here...;;;;;;;;;x 
EVTDESC_HL_6990;I haven't been feeling quite like myself during the last couple of weeks. It feels like there's a piece of myself missing now that my favorite horse is gone.;;;;;;;;;x 
EVTOPTA_HL_6990;I have to carry this burden alone.;;;;;;;;;x 
EVTOPTB_HL_6990;I'm lucky to have a [Root.Spouse.GetHusbandWife] to comfort me.;;;;;;;;;x 
EVTOPTC_HL_6990;I'm lucky to have a friend to comfort me.;;;;;;;;;x 
EVTDESC_HL_6520;A foreign painter arrived at your camp today. The painter has previously created beautiful portraits of many noble feudal families and now offers his services to you.;;;;;;;;;x 
EVTOPTA_HL_6520;I want a portrait of myself.;;;;;;;;;x 
EVTOPTB_HL_6520;I want a portrait of my beloved wife.;;;;;;;;;x 
EVTOPTC_HL_6520;I want a portrait of my beautiful concubine.;;;;;;;;;x 
EVTOPTD_HL_6520_SKY;I want a portrait of my magnificent horse, Sky.;;;;;;;;;x 
EVTOPTD_HL_6520_LIGHTNING;I want a portrait of my magnificent horse, Lightning.;;;;;;;;;x 
EVTOPTD_HL_6520_ARROW;I want a portrait of my magnificent horse, Arrow.;;;;;;;;;x 
EVTOPTD_HL_6520_DRAGON;I want a portrait of my magnificent horse, Dragon.;;;;;;;;;x 
EVTOPTE_HL_6520;I can't afford this.;;;;;;;;;x 
EVTDESC_HL_6500_LIGHTNING;Lightning, your favorite warhorse, has now taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take your farewell of an old friend that has served you well. ;;;;;;;;;x 
EVTDESC_HL_6500_SKY;Sky, your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take your farewell of an old friend that has served you well. ;;;;;;;;;x 
EVTDESC_HL_6500_DRAGON;Dragon, your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take your farewell of an old friend that has served you well. ;;;;;;;;;x 
EVTDESC_HL_6500_ARROW;Arrow, your favorite warhorse, has taken [Root.GetHerHis] last gallop across the steppe and begun the eternal sleep. It is time to take farewell to your steed that has served you well.;;;;;;;;;x 
EVTOPTA_HL_6500;Goodbye, old friend.;;;;;;;;;x 
abandon_trade_post;Abandon Trade Post;;;;;;;;;x 
TRADEPOST_FINISHED_NON_REPUBLIC_LOG;A Trade Post has been built by §Y$CHARACTER$§! in §Y$PROVINCE$§!.;;;;;;;;;x 
TRADEPOST_FINISHED_NON_REPUBLIC_SETUP;Trade Route Trade Post Built;;;;;;;;;x 
abandon_trade_post_desc;You can abandon your trade post in this province in favor of a better location.;;;;;;;;;x 
ACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YSilk Road§!\nThe Silk Road brings trade through this province.\n;;;;;;;;;x 
INACTIVE_TRADE_ROUTE_IN_PROVINCE;\n§YSilk Road§!\n§RWar is blocking this part of the Silk Road. Provinces that are occupied or besieged will block the Silk Road downstream.§!\n;;;;;;;;;x 
ACTIVE_TRADE_ROUTE_MODIFIER;\nThe Silk Road gives the following effects:\n$MODIFIER$\n\nTrade posts built in Silk Road provinces increase the modifier for all provinces. If some Silk Road provinces are blocked (by siege or occupation), other Silk Road provinces temporarily get a higher bonus as trade is redirected.;;;;;;;;;x 
INACTIVE_TRADE_ROUTE_MODIFIER;\nIf active, the Silk Road would give the following effects:\n$MODIFIER$\n\nTrade posts built in Silk Road provinces increase the modifier for all provinces. If some Silk Road provinces are blocked (by siege or occupation), other Silk Road provinces temporarily get a higher bonus as trade is redirected.;;;;;;;;;x 
MAPMODE_TRADE_ZONES_DESC;All Trade Zones, separated by their owners. Provinces on the Silk Road are shown striped in yellow if active or red if blocked by siege or occupation.;;;;;;;;;x 
