#CODE;ENGLISH;;;;;;;;;x 
d_venetian_navy;Adriatic Galleys;;;;;;;;;x 
EVTDESC_REP_502;The [FromFrom.GetOnlyDynastyName] family is not doing well, to the detriment of the Republic as a whole. As such, I consider it my duty as [From.GetTitle] to get them back on their feet. Regretfully, this means granting them a few of your many Trade Posts. I am sure you understand the necessity of these measures.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_502;This is outrageous!;;;;;;;;;x 
EVTTOOLTIP_REP_503;You have no choice but to grant his request.;;;;;;;;;x 
EVTDESC_REP_503;It seems I am left with little choice. I am sure the Trade Posts will suffer under their incompetent rule, but if you think this is best, I will transfer them over to this family of paupers and malcontents.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_503;Very good.;;;;;;;;;x 
EVTTOOLTIP_REP_504;You inform the Patrician that his request has been granted.;;;;;;;;;x 
EVTDESC_REP_504;Your petition has some merit, and I have decided to grant you several Trade Posts that previously belonged to the [FromFrom.GetOnlyDynastyName] family. Use them well.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_504;Thank you, most honored [From.GetTitle]!;;;;;;;;;x 
EVTOPTA_REP_505;I see...;;;;;;;;;x 
EVTDESC_REP_508;While I don't deny that your request has some merit, it seems there just aren't any Trade Posts available for transfer to your family. I forwarded a request on your behalf to another patrician, but he wasn't entirely... cooperative. Nevertheless, I wish you the best of luck in any future endeavors, old friend.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_508;Thanks for nothing...;;;;;;;;;x 
EVTTOOLTIP_REP_508;You inform the Patrician that you did your best.;;;;;;;;;x 
EVTTOOLTIP_REP_510;You present your demand for several Trade Posts.;;;;;;;;;x 
EVTDESC_REP_510;In my continuing efforts to safeguard the security of the Republic, I think it best if my family assumed direct control over several strategic Trade Posts currently owned by House [Root.GetOnlyDynastyName]. Thank you for your understanding.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_510;The audacity!;;;;;;;;;x 
EVTOPTB_REP_510;I think not.;;;;;;;;;x 
EVTOPTC_REP_510;Surely this behavior is beneath a [From.GetTitle].;;;;;;;;;x 
EVTOPTD_REP_510;Let's not be hasty, my dear [From.GetFirstName]...;;;;;;;;;x 
EVTDESC_REP_511;Very well. Take the Trade Posts and be damned, but know this: one day the boot will be on the other foot. Enjoy this while it lasts, my dear [Root.GetTitle].\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_511;Good man.;;;;;;;;;x 
EVTTOOLTIP_REP_512;With your high level of stewardship, you can easily prove that the Trade Posts will do far better under your continued rule.;;;;;;;;;x 
EVTDESC_REP_512;As much as I would like to comply with your demand, these Trade Posts will serve the Republic far better under my enlightened stewardship. If you wish, I can provide ample evidence of how I have improved their management. I cannot in good conscience transfer them away from my control.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA_REP_512;You win this round, [From.GetFirstName]...;;;;;;;;;x 
EVTTOOLTIP_REP_513;You use your diplomatic skill to point out the folly of this request, and how it threatens the very foundation of the Republic.;;;;;;;;;x 
EVTDESC_REP_513;My dear [Root.GetFirstName], permit me to share some of my insights into the art of diplomacy. As [Root.GetTitle], you depend on the continued goodwill of the other patricians. How do you think they will react if it becomes public knowledge that you might arbitrarily confiscate their property?\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTTOOLTIP_REP_514;With your skill at intrigue, you have already taken steps to ensure the continued loyalty of the men serving at these Trade Posts.;;;;;;;;;x 
EVTDESC_REP_514;I'm afraid those Trade Posts will do you little good, [Root.GetTitle]. Through various means of intrigue, I have ensured the complete loyalty of all men stationed within them. They have orders to burn them to the ground if [Root.GetOnlyDynastyName] rule over them is ever threatened...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
SongsOfProsperityDLC;Songs of Prosperity;;;;;;;;;x 
