#CODE;ENGLISH;;;;;;;;;x 
AIREASON_ALL_HELP_IS_APPRECIATED;All help is appreciated;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W declined §Y[Actor.GetBestName]'s§W offer to join §Y$WAR$§!;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_OFFER;[Actor.GetBestName] wants to join §Y$WAR$§!;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_LETTER;Your cause is righteous! Please accept my offer to join you in the $WAR$.;;;;;;;;;x 
INTERACTION_CANNOT_JOIN_LIEGE_WAR;We cannot join our lieges' wars;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_IS_SAME_RELIGION;[Recipient.GetTitledName] is [Actor.Religion.GetName];;;;;;;;;x 
EVTDESC293;I gladly accept your offer of assistance in my war. Let our enemies tremble!\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTDESC294;I appreciate your offer, but I do not need your meddling in my war.\n\n[From.GetTitledFirstName];;;;;;;;;x 
CALL_ALLY_INTERACTION_TITLE;Call to Arms;;;;;;;;;x 
CALL_ALLY_INTERACTION_DESC;Request that §Y[Recipient.GetBestName]§! join us in our current war efforts.;;;;;;;;;x 
CALL_ALLY_INTERACTION_LONG_DESC;Characters can be called into wars only if they are of the same dynasty or have close marital ties.;;;;;;;;;x 
CALL_ALLY_INTERACTION_0;Request that §Y[Recipient.GetBestName]§! join us in §Y$WAR$§!.;;;;;;;;;x 
CALL_ALLY_INTERACTION_ACCEPT_SETUP;Call to Arms Accepted;;;;;;;;;x 
CALL_ALLY_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W call to arms for §Y$ACTOR_WARS$§!;;;;;;;;;x 
CALL_ALLY_INTERACTION_DECLINE_SETUP;Call to Arms Declined;;;;;;;;;x 
CALL_ALLY_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W declined §Y[Actor.GetBestName]'s§W call to arms for §Y$ACTOR_WARS$§!;;;;;;;;;x 
CALL_ALLY_INTERACTION_OFFER;[Actor.GetBestName] wants us to join §Y$ACTOR_WARS$§!;;;;;;;;;x 
ACTOR_WARS;[GetPossPronoun] wars;;;;;;;;;x 
DECLARE_WAR_INTERACTION_3;§R[Recipient.GetTitledFirstName] is currently revolting against [Recipient.GetPossPronoun] liege. If that conflict ends, our war will end too! The forces of the liege and any other revolters will be hostile to our armies.§!;;;;;;;;;x 
DECLARE_WAR_INTERACTION_4;§RNearby [Recipient.Religion.GetName] rulers might ask to join [Recipient.GetTitledName] in defense of their faith.§!;;;;;;;;;x 
plot_gain_vassal_title_title;Revoke the [This.GetFullBaseName];;;;;;;;;x 
plot_gain_vassal_title_desc;[From.GetBestName] is plotting to revoke the title of [This.GetFullBaseName].;;;;;;;;;x 
plot_gain_vassal_title_decision;[Root.GetPlot];;;;;;;;;x 
plot_gain_vassal_title_decision_desc;Put the plot into motion by sending an ultimatum to [Root.PlotTarget.GetTitledName].;;;;;;;;;x 
EVTTOOLTIP8030;[Root.PlotTarget.GetTitledName] receives a letter.;;;;;;;;;x 
EVTDESC8030;I have decided to [From.GetPlot]. The vassals in the realm have studied the legal documents presented in this case and the majority of them have deemed my demand justified. Either step down peacefully or I will be forced to take what is mine by military means.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8068;Rather than risking civil war tearing the realm apart, I have decided to give in to your demand and hand my title over to you. But this treacherous act of blackmail will not be forgotten...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA8068;Excellent!;;;;;;;;;x 
EVTDESC8096;Rather than letting civil war tear the realm apart, [FromFrom.PlotTarget.GetTitledName] has agreed to step down and let me [FromFrom.GetPlot]. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTOPTA8096;Good;;;;;;;;;x 
EVTDESC8118;Your shameful attempt at blackmail has not succeeded. No matter how many corrupted souls you have enticed to help carry out your plan I will not give in without a fight. What is rightfully mine is mine!\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA8118;Then war it is!;;;;;;;;;x 
CRUSADE_DESC_IRO;His Holiness, §Y$POPE$§! has declared a $CRUSADE$ to reclaim all parts of the §Y$TITLE$§! held by §Y$ENEMY$§!.;;;;;;;;;x 
CRUSADE_DESC_DRO_1;Since the Crown of §Y$TITLE$§! is already held by a good [Religion.GetName] ruler - §Y[GetTitledFirstName]§! - all gains will be handed over to [GetObjectPronoun].;;;;;;;;;x 
CRUSADE_DESC_DRO_2;Since the Crown of §Y$TITLE$§! is not held by a $RELIGION$ ruler, all gains will be handed over to the ruler who contributes the most to the $CRUSADE$, which is currently §Y$RULER$§!.;;;;;;;;;x 
PARTICIPATION_SCORE;Contribution to the $CRUSADE$;;;;;;;;;x 
CLICK_TO_OPEN_WAR_VIEW;§GClick to Open the War View§!;;;;;;;;;x 
EVTNAME620;Successful [From.Religion.GetCrusadeName] for [Root.GetBaseName]!;;;;;;;;;x 
EVTDESC620;[From.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName]. [From.RelHead.GetTitledName] has called for a month of celebration across the whole [From.Religion.GetGroupName] world!;;;;;;;;;x 
EVTOPTA620;Praise [From.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTNAME621;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] Fails!;;;;;;;;;x 
EVTDESC621;[From.Religion.GetRandomGodNameCap], it seems, does not favour the [From.Religion.GetGroupName] faithful. After a string of defeats and setbacks, [From.GetTitledName] has called off the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName].;;;;;;;;;x 
TITLE_CREATION_NOT_PRIMARY_TYPE;Special title holders cannot create or usurp equal or higher rank titles.;;;;;;;;;x 
IS_NOT_LOCATED_IN_AREA;Is NOT Located in;;;;;;;;;x 
IS_LOCATED_IN_AREA;Is Located in;;;;;;;;;x 
IS_NOT_DE_JURE_VASSAL_OR_BELOW;Is NOT de jure vassal or below;;;;;;;;;x 
IS_DE_JURE_VASSAL_OR_BELOW;Is de jure vassal or below;;;;;;;;;x 
WAR_NAME_CRUSADE;$ORDER$$RELIGION$ $HOLY_WAR$ for $OTHER_TITLE$;;;;;;;;;x 
CB_NAME_CLAIM_VASSAL;Revoke [Title.GetBaseName];;;;;;;;;x 
#coastal_republic_desc;As a Naval Republic, §Y$CLAIMANT$§! can declare war to seize control of the coastal §Y$TITLE$§!;;;;;;;;;x 
HOLDING_TYPE_IS_NOT;Holding Type is NOT ;;;;;;;;;x 
HOLDING_TYPE_IS;Holding Type is ;;;;;;;;;x 
REPUBLIC_HELD_CITY;Republic held City;;;;;;;;;x 
REPUBLIC_HELD_COASTAL_CITY;Republic held Coastal City;;;;;;;;;x 
REPUBLIC_GRAND_CAPITAL_CITY;Grand Republic Capital City;;;;;;;;;x 
MATRILINEAL_MARRIAGE;Matrilineal Marriage;;;;;;;;;x 
MATRILINEAL;Matrilineal;;;;;;;;;x 
BETROTHAL_SUCC;Matrilineal Betrothal;;;;;;;;;x 
BETROTHED_SUCC_IRO;These characters are promised to each other and cannot marry anyone else unless the betrothal is broken. They have agreed to marry matrilineally, meaning any children born to the couple will be of the bride's dynasty.;;;;;;;;;x 
OFFER_SUCCESSION_MARRIGE_INTERACTION_3;§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!;;;;;;;;;x 
OFFER_MARRIGE_INTERACTION_3;§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_TITLE;Arrange Matrilineal Betrothal;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_DESC;Arrange a Matrilineal Betrothal between two characters;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_LONG_DESC;While children are not allowed to marry, they can get betrothed. The betrothal will last until the characters get married, one of them should die, or it is explicitly broken.;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_0;Select a future bride and groom.;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_1;Select a character from the court of §Y$CHAR$§W.;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_ACCEPT_SETUP;Matrilineal Betrothal Offer Accepted;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§W accepts the suggestion by §Y[Actor.GetBestName]§W that §Y[ActorExtra.GetBestName]§W and §Y[RecipientExtra.GetBestName]§W should get betrothed matrilineally;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_DECLINE_SETUP;Matrilineal Betrothal Offer Declined;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W declines the suggestion by §Y[Actor.GetBestName]§W that §Y[ActorExtra.GetBestName]§W and §Y[RecipientExtra.GetBestName]§W should get betrothed matrilineally;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_OFFER;[Actor.GetBestName] proposes that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_LETTER;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally.;;;;;;;;;x 
ARRANGE_SUCC_BETROTHAL_INTERACTION_3;§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!;;;;;;;;;x 
ARRANGE_BETROTHAL_INTERACTION_3;§RChildren born to the couple will not be of your Dynasty - consider a Matrilineal marriage!§!;;;;;;;;;x 
EVTDESC330;I have decided to accept your suggestion of a matrilineal betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;;;;;;;;;x 
EVTDESC331;I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName] matrilineally.;;;;;;;;;x 
WAR_NAME_CLAIM_ALL;$ORDER$$FIRST_ADJ$ War for the $CLAIMS$;;;;;;;;;x 
ALL_WARS;All Wars;;;;;;;;;x 
stressed_death;of severe stress;;;;;;;;;x 
depressed_death;of depression;;;;;;;;;x 
ill_death;after a period of illness;;;;;;;;;x 
pneumonic_death;of Pneumonia;;;;;;;;;x 
syphilitic_death;of Great Pox;;;;;;;;;x 
leper_death;of terminal stage Leprosy;;;;;;;;;x 
wounded_death;of an infected wound;;;;;;;;;x 
maimed_death;a maimed cripple;;;;;;;;;x 
infirm_death;bedridden and infirm;;;;;;;;;x 
incapable_death;comatose in bed;;;;;;;;;x 
has_tuberculosis_death;of Consumption;;;;;;;;;x 
has_typhoid_fever_death;of the Slow Fever;;;;;;;;;x 
has_typhus_death;of Camp Fever;;;;;;;;;x 
has_bubonic_plague_death;of the dreaded Plague;;;;;;;;;x 
has_measles_death;of the Measles;;;;;;;;;x 
has_small_pox_death;of Smallpox;;;;;;;;;x 
inbred_death;an inbred freak;;;;;;;;;x 
weak_death;of poor physique;;;;;;;;;x 
DEATH_BY_TRAIT;died $TRAIT_DEATH$;;;;;;;;;x 
DEATH_BY_NATURE;died a natural death;;;;;;;;;x 
DEATH_BY_MURDER;was murdered on the orders of $KILLER$;;;;;;;;;x 
DEATH_BY_MURDER_UNKNOWN;died under suspicious circumstances;;;;;;;;;x 
DEATH_EXECUTION;was executed by $KILLER$;;;;;;;;;x 
DEATH_ACCIDENT;died in an accident;;;;;;;;;x 
DEATH_BATTLE;died in battle against $KILLER$;;;;;;;;;x 
DEATH_BATTLE_NO_KILLER;died in battle;;;;;;;;;x 
DEATH_DUNGEON;died in the dungeons of $KILLER$;;;;;;;;;x 
DEATH_SUICIDE;committed suicide;;;;;;;;;x 
DEATH_RABBLE;was killed by rabble;;;;;;;;;x 
DEATH_DUEL;was slain by $KILLER$ in personal combat;;;;;;;;;x 
CHARACTER_DEAD_TOOLTIP;[GetDeathReasonCap] on §Y[GetDeathDate]§! at age §Y[GetAgeYears]§! (born §Y[GetBirthDate]§!).;;;;;;;;;x 
CHAR_DEATH_LOG;At age $AGE$, §Y$NAME$§! $CAUSE$.;;;;;;;;;x 
CHAR_DEATH_LETTER;At the age of $AGE$ my $RELATION$ $NAME$ $CAUSE$.;;;;;;;;;x 
SUCCESSION_DESC;$OLD_TITLE$ $OLD_NAME$ $SUCC_RAND_DESC$ at age [GetAgeYears]. [GetSubjectPronounCap] [GetDeathReason]. Long live $NEW_TITLE$ $NEW_NAME$!;;;;;;;;;x 
NOT_READY_TO_PLAY_MP;§Y$PLAYER$§! is not ready;;;;;;;;;x 
DESTROY_LANDED_TITLE_EFFECT;The §Y$TITLE$§! is forfeit.\n;;;;;;;;;x 
READY;Ready;;;;;;;;;x 
nick_haardraade;Hårdråde;;;;;;;;;x 
DE_JURE_LIEGE_CHANGED_SETUP;Landed title changes de jure liege;;;;;;;;;x 
DE_JURE_LIEGE_CHANGED_LOG;After §Y$YEARS$§! years under the §Y$NEW_LIEGE$§!, the §Y$TITLE$§! is no longer considered a de jure part of the §Y$OLD_LIEGE$§!.;;;;;;;;;x 
DE_JURE_ASS_DESC;Being incorporated, de jure, into the §Y$TITLE$§! (§Y$YEARS$§!/$NEEDED_YEARS$ years);;;;;;;;;x 
SEND_ASSASSIN_INTERACTION_DESC;Attempt to assassinate §Y[Recipient.GetBestName]§! for §Y$GOLD$§!¤. We have a §Y$CHANCE$%§W chance of success and a §Y$DISC$%§W chance of being discovered. §RIf I am discovered, it will be a black stain on my honor.§W;;;;;;;;;x 
DS_HOSTILE_2;§YHostile§! towards §Y$LIEGE$§! due to the war with their rebelling vassal §Y$VASSAL$§!.;;;;;;;;;x 
DS_HOSTILE_3;§YHostile§! towards §Y$ATTACKER$§! due to their war on the rebelling vassal §Y$VASSAL$§!.;;;;;;;;;x 
DS_HOSTILE_4;§YHostile§! towards §Y$OTHER$§! due to the war on the other rebelling vassal, §Y$VASSAL$§!.;;;;;;;;;x 
DS_HOSTILE_5;§YHostile§! towards §Y$VASSAL$§! due to the war on their liege, §Y$LIEGE$§!.;;;;;;;;;x 
DS_HOSTILE_6;§YHostile§! towards §Y$ATTACKER$§! due to their war on the nominal liege, §Y$LIEGE$§!.;;;;;;;;;x 
UW_NOT_POSSIBLE_TO_ATTACH;There are no friendly units here to attach to.;;;;;;;;;x 
UW_UNITS_ATTACHED;The following units are attached.;;;;;;;;;x 
UW_ATTACH_TO;Attach to always follow $NAME$.;;;;;;;;;x 
UW_DETACH_FROM;Detach from following $NAME$.;;;;;;;;;x 
INTERACTION_NO_OUTSIDER_OCCUPATION;None of $REVOLTER$'s holdings are occupied by $OUTSIDER$.;;;;;;;;;x 
OL_UNIT_MOVING;Next province on route is §Y$TARGET$§W.;;;;;;;;;x 
k_andalusia;Andalusia;;;;;;;;;x 
k_brittany;Brittany;;;;;;;;;x 
k_brittany_adj;Breton;;;;;;;;;x 
k_aquitaine;Aquitaine;;;;;;;;;x 
k_aquitaine_adj;Aquitanian;;;;;;;;;x 
d_aquitaine_adj;Aquitanian;;;;;;;;;x 
b_asperg;Asperg;;;;;;;;;x 
opinion_father_of_child;My Child;;;;;;;;;x 
plot_kill_character_short;Kill Character;;;;;;;;;x 
plot_kill_spouse_short;Kill Spouse;;;;;;;;;x 
CB_NAME_DEJURECLAIM;De Jure Claim on [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_DEJURECLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ De Jure War over $OTHER_TITLE$;;;;;;;;;x 
TITLE_CREATION_REQ_DUCHIES;You need to hold at least §Y$DUCHIES$§! Duchy titles.;;;;;;;;;x 
TITLE_TITULAR_NO_CAPITAL;This title cannot be created normally.;;;;;;;;;x 
TITLE_TITULAR_CREATION_DESC;Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§!¤ and §R$PIETY$§! $PIETYNAME$.;;;;;;;;;x 
TITLE_TITULAR_REQ_HELD_CAPITAL;You must hold the §Y$TITLE$§!.;;;;;;;;;x 
EVTDESC65115;I find tasty mud on ground. Eat some. While eat, young girl come to me. She ask, 'Are you stupid or something?';;;;;;;;;x 
EVTOPTA65115;I smart. Girl stupid.;;;;;;;;;x 
EVTOPTB65115;Stupid is as stupid does.;;;;;;;;;x 
EVTDESC65120;Practise with sword on field today. Noticed hand was red when practise over. Held sword by wrong end whole time! Hahaha.;;;;;;;;;x 
EVTOPTA65120;YOW!;;;;;;;;;x 
EVTDESC65125;Horse strange today while riding. Head missing and only moved backwards. Rode this way into [Root.Location.GetName] where stable boy said, ;;;;;;;;;x 
EVTOPTA65125;Oops. I done bad...;;;;;;;;;x 
EVTOPTB65125;Riding my way better.;;;;;;;;;x 
EVTDESC65126;Forgot to put on pants this morning. Much shouting, many upset. I not understand.;;;;;;;;;x 
EVTOPTA65126;Calm down! Simple mistake!;;;;;;;;;x 
EVTDESC65130;Today I stumbled upon a painting of the most wretched, hideous creature I had ever laid eyes on. This affront to nature left me chilled to the bone. The crooked teeth, the ears... [Root.GetHerHis] oversized nose alone was enough to make me nauseous! A nearby courtier then asked what I thought of my new portrait.;;;;;;;;;x 
EVTOPTA65130;I need a mirror...;;;;;;;;;x 
EVTOPTB65130;The poor light deceived me. That nose has character!;;;;;;;;;x 
EVTDESC65135;I learned today that mothers in [Root.Location.GetName] keep their daughters in line by threatening to marry them off to someone as hideous as... me.;;;;;;;;;x 
EVTOPTA65135;I should spend more time indoors...;;;;;;;;;x 
EVTOPTB65135;They could do worse!;;;;;;;;;x 
EVTDESC65140;Vicious rumors that I am a witch have been spreading in [Root.Location.GetName] due to my... unique appearance. At least my station prevents the peasants from acting on these baseless accusations.;;;;;;;;;x 
EVTOPTA65140;The wretches will soon find someone uglier to pester.;;;;;;;;;x 
EVTOPTB65140;A pox on them! May they breed ugly, ugly children.;;;;;;;;;x 
EVTDESC65145;As I grew up, those near me never made it a secret that I was a particularly ugly child. Now, as I am growing into a [Root.GetManWoman], they seem to react differently to my appearance...;;;;;;;;;x 
EVTOPTA65145;An ugly duckling no longer...;;;;;;;;;x 
EVTDESC65150;Today as I mounted my favorite horse with the help of six stable boys, it let out a strange sigh and collapsed. The stable master claimed the horse was dead, its back broken. He hinted that perhaps it would be best for all concerned if I walk from now on.;;;;;;;;;x 
EVTOPTA65150;I may have put on some weight...;;;;;;;;;x 
EVTOPTB65150;Nonsense! Find me another horse!;;;;;;;;;x 
EVTDESC65151;Enough is enough. I have decided to eat less and exercise more. Why, I think I can finally see my feet!;;;;;;;;;x 
EVTDESC65155;I was touring the defenses of [Root.Location.GetName] and as I tried to enter one of the towers, I got stuck in the doorway! I found myself unable to move in either direction and it took the strength of four men to pull me free.;;;;;;;;;x 
EVTOPTA65155;What have I become? No more suckling pig for me.;;;;;;;;;x 
EVTOPTB65155;Was this tower designed for use by children? Expand all doorways!;;;;;;;;;x 
EVTDESC65160;As I strolled through the streets of [Root.Location.GetName], I was approached by the local Coin Purse Inspector. He asked to see my purse, and I duly complied.;;;;;;;;;x 
EVTOPTA65160;Wait... that wasn't the Coin Purse Inspector...;;;;;;;;;x 
EVTDESC3460;A holy man came to court today to talk about matters of faith, but it soon became clear he held rather unorthodox views. Being a zealous defender of the church at all times, I believe I did the right thing when I gave the order to imprison a blasphemous pagan who dared criticise my faith and my church.;;;;;;;;;x 
EVTOPTA3460;Deus vult!;;;;;;;;;x 
EVTDESC61100;As the regent of [Root.Liege.GetTitledFirstName], my duty is to safeguard the realm. I feel that one of [Root.Liege.GetHerHis] holdings would flourish much more under my direct supervision.;;;;;;;;;x 
EVTOPTA61100;[Root.Liege.GetTitledFirstName] wills it!;;;;;;;;;x 
EVTOPTB61100;Nay, I must remember the limits of my station.;;;;;;;;;x 
EVTTOOLTIP61101;You usurp a title from [Root.Liege.GetTitledFirstName].;;;;;;;;;x 
EVTDESC61101;[Root.Regent.GetTitledName], your regent, has decided in [Root.Regent.GetHerHis] infinite wisdom that one of your titles would benefit the realm more if it was awarded directly to [Root.Regent.GetHerHim].;;;;;;;;;x 
EVTOPTA61101;*drool*;;;;;;;;;x 
EVTOPTB61101;*stare vacantly ahead*;;;;;;;;;x 
EVTDESC61105;The poor of the realm have suffered terribly under the rule of [Root.Liege.GetTitledFirstName]. As [Root.Liege.GetHerHis] regent, I am in a position to give something back to the people.;;;;;;;;;x 
EVTOPTA61105;Here you are... courtesy of [Root.Liege.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTB61105;Tempting, but the gold isn't mine to spend.;;;;;;;;;x 
EVTTOOLTIP61106;You give alms to the poor in the name of [Root.Liege.GetTitledFirstName].;;;;;;;;;x 
EVTDESC61106;[Root.Regent.GetTitledName], your regent, seems to have given in to [Root.Regent.GetHerHis] charitable nature and has been donating alms to the poor from your coffers. Worst of all, [Root.Regent.GetSheHe] has been doing it in your name!;;;;;;;;;x 
EVTOPTA61106;Ggghnnn..n-n-nooooo...!;;;;;;;;;x 
EVTDESC61110;The administration of your realm has improved significantly since [Root.Regent.GetTitledFirstName] became your regent. If only you had [Root.Regent.GetHerHis] skills!;;;;;;;;;x 
EVTOPTA61110;*emit grunt of approval*;;;;;;;;;x 
EVTDESC61120;[Root.Liege.GetTitledFirstName] is a decrepit fool and a pathetic shell of a [Root.Liege.GetManWoman]. As [Root.Liege.GetHerHis] appointed regent, I think the court needs a new jester...;;;;;;;;;x 
EVTOPTA61120;Humiliate [Root.Liege.GetHerHim] in front of the court.;;;;;;;;;x 
EVTOPTB61120;Perhaps I had better not.;;;;;;;;;x 
EVTTOOLTIP61121;Those in court with low opinion of [Root.Liege.GetHerHim] approve.;;;;;;;;;x 
EVTDESC61121;As you sit powerless on your throne, your regent, [Root.Regent.GetTitledName], has made a regular habit of mocking you in front of the rest of the court - [Root.Regent.GetSheHe] hangs [Root.Regent.GetHerHis] coat on your head, [Root.Regent.GetSheHe] writes crude sentiments on your forehead with charcoal and one time [Root.Regent.GetSheHe] even cracked open a walnut using your teeth. The indignity!;;;;;;;;;x 
EVTOPTA61121;*suffer series of involuntary spasms*;;;;;;;;;x 
EVTOPTB61121;*bob head in reckless, unpredictable manner*;;;;;;;;;x 
EVTDESC61122;[Root.Liege.Regent.GetTitledName], the regent of [Root.Liege.GetTitledFirstName], has been physically humiliating [Root.Liege.GetHerHim] in public. Due to the [Root.Liege.GetTitle]'s infirm nature, [Root.Liege.GetSheHe] is powerless to resist. Honor demands that you put an end to this disgrace!;;;;;;;;;x 
EVTOPTA61122;Approach [Root.Liege.GetTitledFirstName] and seek [Root.Liege.GetHerHis] blessing to act.;;;;;;;;;x 
EVTOPTB61122;Ah, the fool deserves no less.;;;;;;;;;x 
EVTTOOLTIP61123;You speak with the [Root.Liege.GetTitle].;;;;;;;;;x 
EVTDESC61123;The way your regent has been treating you has not gone unnoticed. [From.GetTitledName] approaches you alone one evening to express [From.GetHerHis] disgust at the vile indignities you have been made to suffer. Eyes tearful with anger, [From.GetSheHe] promises to take action against your regent... if only you would give your approval.;;;;;;;;;x 
