#CODE;ENGLISH;;;;;;;;;x 
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetBestName] must not be married;;;;;;;;;x 
EVTDESC20236;My trusted [Root.GetChancellorName], [From.GetTitledFirstName], reports success from the Clan of [target_chief.Clan.GetBaseName]. Their elders now like the [Root.Clan.GetName] a lot better!;;;;;;;;;x 
INCOME_TRIBUTE;Tributes;;;;;;;;;x 
EXPENSE_TRIBUTE;Tribute;;;;;;;;;x 
#EXPENSE_TRIBUTE;Tribute;;;;;;;;;x 
PAYS_TRIBUTE_TO;Is a Tributary of §Y$OTHER$§!;;;;;;;;;x 
PAYS_NOT_TRIBUTE_TO;Is NOT a Tributary of §Y$OTHER$§!;;;;;;;;;x 
free_tributary_cb_desc;You can declare war to free yourself or one of your vassals from tributary status.;;;;;;;;;x 
alert_available_minor_title_name;Available Minor Title;;;;;;;;;x 
alert_available_targetted_decision_name;Special Character Actions Possible;;;;;;;;;x 
alert_available_title_decision_name;Special Title Actions Possible;;;;;;;;;x 
alert_available_settlement_decision_name;Special Holding Actions Possible;;;;;;;;;x 
alert_inefficent_land_management_name;Inefficient Land Management;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2I;Since §Y[Recipient.GetTitledFirstName]§! is a Tribal barbarian, our vassals will not object.;;;;;;;;;x 
religious_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. This Casus Belli is valid against neighbors, and also against infidels up to two sea zones away if either the attacker or the defender is a Muslim, or if the era of Great Holy Wars has started for the attacker's religion.;;;;;;;;;x 
INTERACTION_REQUIRES_NO_UNITS_IN_ENEMY;We have no units in enemy provinces where we lack Holdings;;;;;;;;;x 
EVTDESC236_NC;The vile excesses of [Root.GetTitledFirstName] can no longer be tolerated! We agree that [Root.GetSubjectPronoun] should be excommunicated!;;;;;;;;;x 
ASK_FOR_EXCOMMUNICATION_INTERACTION_TITLE_HEAD;Excommunicate;;;;;;;;;x 
ASK_FOR_EXCOMMUNICATION_INTERACTION_DESC_HEAD;Have §Y[ThirdPartyCharacter.GetBestName]§W excommunicated. This will cost you §R100§W Piety and will be viewed as an insult by [ThirdPartyCharacter.GetPossPronoun] relatives.;;;;;;;;;x 
ASK_FOR_EXCOMMUNICATION_INTERACTION_0_HEAD;Have §Y[ThirdPartyCharacter.GetBestName]§W excommunicated. This will cost you §R$COST$§W Piety and will be viewed as an insult by [ThirdPartyCharacter.GetPossPronoun] relatives.;;;;;;;;;x 
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_DESC_HEAD;Lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W.;;;;;;;;;x 
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_0_HEAD;Lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W. This will cost you §R$COST$§W Piety.;;;;;;;;;x 
DESIGNATE_HEIR_PROGENY;You can only Designate your Children;;;;;;;;;x 
EVTDESC327;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\n The dark manifestations of [Root.Religion.GetRandomEvilGodName] must be cleansed in healing flames!;;;;;;;;;x 
EVTDESC327_MUSLIMS;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old arch-enemy!\n\n Muhammed was the mouthpiece of [Root.Religion.GetRandomEvilGodName] and all his works must be destroyed!;;;;;;;;;x 
EVTDESC327_CHRIST;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\n The Magi will cleanse their churches in healing flames!;;;;;;;;;x 
EVTDESC328;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All righteous [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\n The idolators will learn to fear the Lord!;;;;;;;;;x 
EVTDESC328_MUSLIMS;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! The whole [Root.Religion.GetName] nation is called to arms against the [New.Religion.GetName] menace!\n\n The false works of the Madman must be torn down!;;;;;;;;;x 
EVTDESC328_CHRIST;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetGroupName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old oppressors!\n\n The Lord will prove us right!;;;;;;;;;x 
EVTOPTA328;For God and Israel!;;;;;;;;;x 
temple_desc;Temples provide moderate income and good levies. They may also give Piety to their holder, and the holder's liege.;;;;;;;;;x 
ARRANGE_BETROTHAL_DESC;Arrange a betrothal with the most eligible potential spouse.;;;;;;;;;x 
HINT_SPLASH_TEXT;In Crusader Kings II, you play as a succession of medieval rulers from a single dynasty. There is no set goal, but the world is filled with ambitious rivals... Secure more land to increase your power and protect your family.;;;;;;;;;x 
HINT_SPLASH_START;As a ruler, your first priority is to secure an heir. If you do not have a legitimate heir when your character dies, the game will end. Other pressing matters appear as Alerts along the top of the screen!;;;;;;;;;x 
HINT_SPLASH_VICTORY;You cannot hold infinite amounts of land yourself. To expand, you will need to rely on vassal rulers. Keep them happy with titles and gifts lest they decide to revolt! The game will end in 1452, if your line can stay in power that long...;;;;;;;;;x 
HINT_SPLASH_2_TITLE;[Culture.GetName] [Religion.GetName] [Government.GetName];;;;;;;;;x 
#HINT_SPLASH_2_INTRO;You have chosen to play as a [Culture.GetName] [Religion.GetName] [PrimaryTitle.GetRulerTitle].;;;;;;;;;x 
HINT_SPLASH_2_CUL_DESC;[Culture.GetName] culture effects:;;;;;;;;;x 
HINT_SPLASH_2_CUL_FEATURES;[Culture.GetFeatures];;;;;;;;;x 
HINT_SPLASH_2_GOV_DESC;[Government.GetDesc];;;;;;;;;x 
HINT_SPLASH_2_GOV_FEATURES;[Government.GetFeatures];;;;;;;;;x 
HINT_SPLASH_2_REL_DESC;[Religion.GetDesc];;;;;;;;;x 
HINT_SPLASH_2_REL_FEATURES;[Religion.GetFeatures];;;;;;;;;x 
REL_INVESTITURE_DESC;$NAME$ Bishops may pay tax to the Pope rather than their secular liege;;;;;;;;;x 
REL_ANTIPOPES_DESC;$NAME$ Rulers can set up Antipopes;;;;;;;;;x 
REL_EXCOMMUNICATION_DESC;The $HEAD_TITLE$ can Excommunicate $NAME$ characters;;;;;;;;;x 
REL_GRANT_DIVORCE_DESC;The $HEAD_TITLE$ can grant divorces;;;;;;;;;x 
REL_GRANT_INVASION_DESC;The $HEAD_TITLE$ can grant the Invasion Casus Belli;;;;;;;;;x 
REL_GRANT_CLAIM_DESC;The $HEAD_TITLE$ can grant Claims on titles;;;;;;;;;x 
REL_CALL_CRUSADE_DESC;The $HEAD_TITLE$ can call for a $CRUSADE$;;;;;;;;;x 
REL_PRIESTS_INHERIT_DESC;Priests (Temple holders) can inherit titles;;;;;;;;;x 
REL_PRIESTS_MARRY_DESC;Priests can marry;;;;;;;;;x 
REL_FEMALE_TEMPLE_HOLDERS_DESC;Women may own Temple Holdings;;;;;;;;;x 
REL_NO_FEMALE_RULER_OPINION_PENALTY_DESC;No opinion penalty against female rulers and heirs;;;;;;;;;x 
REL_AUTOCEPHALY_DESC;Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings;;;;;;;;;x 
REL_PREPARED_INVASIONS_DESC;Fairly weak rulers can Prepare Invasions;;;;;;;;;x 
REL_RIVER_MOVEMENT_DESC;Fleets can navigate major rivers;;;;;;;;;x 
REL_RAIDING_DESC;Rulers can raid infidel neighbors for loot;;;;;;;;;x 
REL_VASSALS_DONT_MIND_RAISED_DESC;Vassals do not mind if their levies are raised;;;;;;;;;x 
REL_DIVINE_BLOOD_DESC;Rulers can marry close kin to improve vassal opinions;;;;;;;;;x 
REL_DECADENCE_DESC;$NAME$ dynasties may grow Decadent;;;;;;;;;x 
REL_NO_MATRI_MARRIAGES_DESC;Matrilineal marriages are not allowed;;;;;;;;;x 
REL_POLYGAMY_DESC;$NAME$ men can have up to §Y$NUM$§! wives (unless they are allowed to have concubines);;;;;;;;;x 
REL_CONCUBINAGE_DESC;$NAME$ men can take up to §Y$NUM$§! Concubines;;;;;;;;;x 
REL_DEF_ATTRITION_DESC;Non-pagans (with low tech) have a very low Supply Limit in $NAME$ counties;;;;;;;;;x 
REL_PEACE_PRESTIGE_LOSS_DESC;Rulers lose Prestige if at peace for too long;;;;;;;;;x 
REL_CAN_REFORM_DESC;Can be Reformed;;;;;;;;;x 
REL_HEAD_CAN_BE_CREATED_DESC;A religious head (the $HEAD_TITLE$) can be created by a special Decision;;;;;;;;;x 
REL_SECULAR_HEAD_DESC;$TITLE_NAME$ is held by a secular ruler, and can be destroyed or created normally;;;;;;;;;x 
REL_ALWAYS_A_HEAD_DESC;There is always a $HEAD_TITLE$, landed or not;;;;;;;;;x 
REL_NO_HEAD_DESC;There is (and can exist) no religious head;;;;;;;;;x 
REL_CASTE_OPINIONS_DESC;Caste Traits have great effect on opinions;;;;;;;;;x 
REL_PACIFIST_DESC;Much lower chance of provincial revolts\n§Y*§! Large bonuses to all vassal opinions\n§Y*§! Rulers can hold larger Demesnes\n§Y*§! Rulers cannot declare Holy Wars;;;;;;;;;x 
REL_HEIR_DESIGNATION_DESC;Can designate any valid offspring as the heir;;;;;;;;;x 
buddhist_FEATURES;§Y*§! Can only declare limited Holy Wars against non-Indian religions;;;;;;;;;x 
hindu_FEATURES;§Y*§! Can only declare Holy Wars against non-Indian religions;;;;;;;;;x 
cathar_FEATURES;§Y*§! Women may hold all councillor positions\n§Y*§! Women may lead armies;;;;;;;;;x 
#feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have.;;;;;;;;;x 
#muslim_government_desc;The Arabic Iqta system is similar to the Feudal system - rulers must rely on land holding vassals or varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits.;;;;;;;;;x 
nomadic_government_desc;Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum population. While Nomads can have normal vassals, they are mostly concerned with managing the other, few but powerful, major Clans of the tribe.;;;;;;;;;x 
republic_government_desc;The leaders of regular republics are randomly chosen from among the citizenry. This kind of republic is not playable, since there is no dynastic persistence between the generations of rulers.;;;;;;;;;x 
tribal_government_desc;Tribes are settled but agrarian. Each county can only have one Tribal 'Holding', representing the entire local tribal population - the more empty Holding slots, the more powerful the Tribal Holding. Tribal rulers are limited to the 'Elective Gavelkind' Succession Law, which tends to fragment the realm between sons on the death of the chief.;;;;;;;;;x 
theocracy_government_desc;Theocracies, like minor republics, are unplayable. Rulers are appointed or elected from among the ecclesiarchy, and there is no dynastic persistence between generations of rulers.;;;;;;;;;x 
GOV_DECADENCE_DESC;$NAME$ dynasties may grow Decadent if the religion also allows it;;;;;;;;;x 
#GOV_POLL_TAX_DESC;Vassals of other religions pay the Jizya tax;;;;;;;;;x 
GOV_PIETY_LAW_CHANGE_DESC;Laws are changed by expending Piety, not by votes;;;;;;;;;x 
GOV_RAIDING_DESC;Rulers can raid infidel neighbors for loot;;;;;;;;;x 
GOV_FREE_RETRACT_DESC;Other vassals will not object to vassal retraction;;;;;;;;;x 
GOV_IGNORES_DE_JURE_LAWS_DESC;De Jure Law effects are ignored;;;;;;;;;x 
GOV_CANNOT_CREATE_KINGDOMS_DESC;Cannot create kingdoms;;;;;;;;;x 
GOV_CANNOT_USURP_K_OR_E_DESC;Cannot usurp kingdoms or empires;;;;;;;;;x 
GOV_NO_GENDER_SUCC_LAWS_DESC;No Gender Succession Laws;;;;;;;;;x 
GOV_CONCUBINAGE_DESC;Male rulers can take up to §Y$NUM$§! Concubines;;;;;;;;;x 
CUL_RAIDING_DESC;Rulers can raid infidel neighbors for loot;;;;;;;;;x 
CUL_OVERSEAS_RAIDER_DESC;Can raid overseas with ships;;;;;;;;;x 
CUL_BLINDING_DISINHERITS_DESC;Blind characters cannot inherit titles;;;;;;;;;x 
NO_SPECIAL_FEATURES;No special features;;;;;;;;;x 
nomad_ruling_clan_too_powerful;Minor Clans on the Rise;;;;;;;;;x 
cb_minor_clan_revolt_desc;Powerful 'minor' clans can rise up in revolt, demanding a place among the major clans.;;;;;;;;;x 
CB_NAME_MINOR_CLAN_REVOLT;Minor Clan Revolt;;;;;;;;;x 
WAR_NAME_MINOR_CLAN_REVOLT;Minor Clan Rising;;;;;;;;;x 
ISNT_CLOSE_RELATIVE;Is NOT a close relative;;;;;;;;;x 
IS_CLOSE_RELATIVE;Is a close relative;;;;;;;;;x 
HOLYSITE_LOCATION_COUNTY;§Y$SITENAME$§! contains a Holy Site;;;;;;;;;x 
NOT_REALM_TITLE_STARTS;No Realm Title;;;;;;;;;x 
ANY_TRADE_ROUTE_PROVINCE_STARTS;Any Trade Route County;;;;;;;;;x 
NOT_ANY_TRADE_ROUTE_PROVINCE_STARTS;No Trade Route County;;;;;;;;;x 
HINT_NOMAD_VIEW_TITLE;The Clan View;;;;;;;;;x 
AIREASON_NO_WAR_AGAINST_SPOUSE;Will not join wars against spouse (§Y[GetTitledName]§!)!;;;;;;;;;x 
HINT_NOMAD_VIEW_TEXT_1;Nomadic Tribes are always dominated by a number of major Clans. Keeping the clan chiefs in line - and balancing their number and power - should be a priority for any Khan. Have too few Clans, and one is likely to emerge by force if necessary. Have too many Clans, and they will be unhappy about lack of grazing land.;;;;;;;;;x 
HINT_NOMAD_VIEW_TEXT_2;Each Clan has an opinion of every other Clan, called Clan Sentiments. The Clan chiefs must respect these sentiments, which is reflected in their normal Opinions of the other chiefs. Keep a careful eye on the Clan Sentiments to prevent internal strife before it happens.;;;;;;;;;x 
HINT_NOMAD_VIEW_TEXT_3;Clans are always semi-autonomous and must be called to war even against a rebellion by another Clan. Worse, each Clan (even the ruling one) can only be allied to one other Clan, by swearing a Blood Oath. It is also common for Clans to be feuding, which allows them to war with each other for land. Positive or negative treatment of one Clan will also affect the Sentiments of any feuding or Blood Brother clan, as appropriate...;;;;;;;;;x 
HINT_NOMAD_VIEW_TEXT_4;The key to managing the Clans is to use the special actions available to you - 'Split Clan', 'Settle Feud', etc.;;;;;;;;;x 
EVTTOOLTIP62920;León and Asturias are now one kingdom;;;;;;;;;x 
EVTNAME62920;León and Asturias are One;;;;;;;;;x 
EVTDESC62920;The Kingdoms of León and Asturias are to stay united forever, so there will be only one crown and one king ruling them forever.;;;;;;;;;x 
EVTDESC62921;[From.GetTitledName] has decided to unite the Kingdoms of León and Asturias as a single entity - León.;;;;;;;;;x 
EVTTOOLTIP62922;I'm crowned King of Castille;;;;;;;;;x 
EVTNAME62922;The Kingdom of Castille;;;;;;;;;x 
EVTDESC62922;After centuries of subjugation, Castille has grown in power and autonomy. It is time to be recognized as an equal by the other rulers in our region!;;;;;;;;;x 
EVTOPTA62922;The crown fits me perfectly!;;;;;;;;;x 
EVTDESC62923;[From.GetTitledName] has been created King of Castille due to the prestige of [From.GetPossPronoun] independent rule over [From.GetPossPronoun] ancestral lands.;;;;;;;;;x 
