#CODE;ENGLISH;;;;;;;;;x 
IS_NOT_LOVER_OF;Is NOT a Lover of §Y$WHO$§!;;;;;;;;;x 
EVTOPTB_RoI_164;I will not accept it.;;;;;;;;;x 
EVTDESC_RoI_165;You will need to build a proper stable for your white elephant. It is a unique and holy animal and must have an abode fitting its status.;;;;;;;;;x 
EVTOPTA_RoI_165;I shall build it a house of fine woods and gold.;;;;;;;;;x 
EVTOPTB_RoI_165;A normal elephant pen will do.;;;;;;;;;x 
EVTDESC_RoI_166;My [Root.GetLordLady], the guards keeping watch over your white elephant report that they have caught some trespassers. It seems they are members of a rather strange local Ganesha cult, and they have been stealing the white elephant's dung for worship.;;;;;;;;;x 
EVTOPTA_RoI_166;Kill the blasphemers!;;;;;;;;;x 
EVTOPTB_RoI_166;No harm done, give them the droppings as a gift.;;;;;;;;;x 
EVTOPTC_RoI_166;Let them work in the stables. We will pay them with dung.;;;;;;;;;x 
EVTDESC_RoI_167;Your white elephant has still not gotten used to its new housing, and it seems restless and bored. Last night it got worse, it started kicking around and going on a rampage, almost tearing the whole place apart.;;;;;;;;;x 
EVTOPTA_RoI_167;Just repair it.;;;;;;;;;x 
EVTOPTB_RoI_167;I've had enough, return this cursed gift.;;;;;;;;;x 
EVTOPTC_RoI_167;Sell the damned thing.;;;;;;;;;x 
EVTOPTD_RoI_167;This stupid animal needs to die - now.;;;;;;;;;x 
EVTDESC_RoI_168;My [Root.GetLordLady], there is a problem with your white elephant. Yesterday, it broke out from its stable and ran out into to the nearby fields. Once there, it immediately attempted to mate with several elephants - this desire may actually have been the reason for its escape.;;;;;;;;;x 
EVTOPTA_RoI_168;From now on, make sure it gets weekly 'exercise'.;;;;;;;;;x 
EVTOPTB_RoI_168;I've had enough, return the lecherous beast.;;;;;;;;;x 
EVTOPTC_RoI_168;Hmm, maybe we could sell it for breeding.;;;;;;;;;x 
EVTOPTD_RoI_168;Kill this elephant. Now.;;;;;;;;;x 
EVTDESC_RoI_169;If you truly wish to kill the White Elephant, you must decide how to proceed, my [Root.GetLordLady]. Whichever method we employ, we should try to make it look like an accident so as to avoid insulting the person who gave it to us.;;;;;;;;;x 
EVTOPTA_RoI_169;Poison it.;;;;;;;;;x 
EVTOPTB_RoI_169;Let's just starve it to death.;;;;;;;;;x 
EVTOPTC_RoI_169;Push it over a cliff.;;;;;;;;;x 
EVTOPTD_RoI_169;I don't care who's insulted. Send in the soldiers with lances.;;;;;;;;;x 
EVTDESC_RoI_170;The caretakers poison the white elephant's drinking water. The elephant soon starts to wail in pain and becomes quite sick. It is a slow poison, and it takes several days for the beast to expire. Everyone is very concerned and very sad at this sudden 'illness'. No one suspects that you had the elephant poisoned.;;;;;;;;;x 
EVTOPTA_RoI_170;Excellent.;;;;;;;;;x 
EVTDESC_RoI_171;The caretakers poison the white elephant's drinking water. The elephant soon starts to wail in pain and becomes quite sick, vomiting blood and dying within minutes. Most people think it very strange that such a healthy animal suddenly died so quickly. Rumor quickly spreads that you had it poisoned.;;;;;;;;;x 
EVTOPTA_RoI_171;Unfortunate.;;;;;;;;;x 
EVTDESC_RoI_172;You instruct the caretakers to stop feeding the elephant. The animal gets progressively weaker and weaker until one morning it is found dead. You have your servants and medics complain loudly about the animal having been sick and refusing to eat. Everyone is sad, but no one suspects foul play.;;;;;;;;;x 
EVTOPTA_RoI_172;Excellent.;;;;;;;;;x 
EVTDESC_RoI_173;You instruct the caretakers to stop feeding the elephant. The animal gets progressively weaker and weaker until one morning it is found dead. Word gets out, however, that your servants had stopped delivering food to the stable and soon it is common knowledge that you starved the elephant to death.;;;;;;;;;x 
EVTOPTA_RoI_173;Unfortunate.;;;;;;;;;x 
EVTDESC_RoI_174;You arrange to bring the white elephant on an official procession very near some high cliffs. At the right moment, the guards prod the elephant with spears and drive it over the cliff, and it falls to its death. You swiftly have the guards spread the news of the terrible accident. Everyone is shocked, but no one suspects your involvement.;;;;;;;;;x 
EVTOPTA_RoI_174;Excellent.;;;;;;;;;x 
EVTDESC_RoI_175;You arrange to bring the white elephant on an official procession very near some high cliffs. At the right moment, the guards prod the elephant with spears and drive it over the cliff, and it falls to its death. Unluckily, however, some hunters passing by witnessed the whole incident, and rumor of your bloody deed swiftly spread throughout the realm.;;;;;;;;;x 
EVTOPTA_RoI_175;Unfortunate.;;;;;;;;;x 
EVTDESC_RoI_176;You send twenty soldiers armed with lances into the white elephant's stable. They attack and swiftly kill the animal in a few very noisy and bloody moments. Everyone knows it was done on your direct orders, and that's exactly the way you want it to be.;;;;;;;;;x 
EVTOPTA_RoI_176;It had to be done.;;;;;;;;;x 
EVTDESC_RoI_177;The white elephant seems to be a lot calmer now, and hasn't broken anything or injured anyone in quite a while. It seems that perhaps our troubles with it are over.;;;;;;;;;x 
EVTOPTA_RoI_177;Let's hope so.;;;;;;;;;x 
EVTDESC_RoI_180;A group of wandering Buddhist monks have come to visit the province. They are staging impressive shows of acrobatic unarmed fighting techniques in the villages.;;;;;;;;;x 
EVTOPTA_RoI_180;Those guys are fast as lightning!;;;;;;;;;x 
EVTOPTB_RoI_180;They had better not teach those things to my peasants.;;;;;;;;;x 
EVTOPTD_RoI_245;I think I know who it was...;;;;;;;;;x 
EVTDESC_RoI_190;A strange man has approached you, seeking audience with you. He claims he is an 'engineer' and he wishes to build a boat that can travel under water and sail it up the Indus. All he needs is a sponsor for the project. If you help him, he will name the boat after you - 'a you-boat', he jokes, smiling nervously.;;;;;;;;;x 
EVTOPTA_RoI_190;Interesting. How much money do you need?;;;;;;;;;x 
EVTOPTB_RoI_190;You-boat?' Get out. Now.;;;;;;;;;x 
EVTDESC_RoI_191;The 'engineer' spent many days building his underwater boat. In the end it was finished and he set out, submerging the craft to the sound of amazed murmuring from the great crowd gathered along the shore. A faint trail of bubbles could be seen as the boat navigated underwater up the river.\nAlas, he was never seen nor heard of again.;;;;;;;;;x 
EVTOPTA_RoI_191;Hmm, what have we learned from this?;;;;;;;;;x 
EVTDESC_RoI_193;It is rumored that a sacred yogi has mastered the art of levitation, and that he can be seen at a marketplace nearby.;;;;;;;;;x 
EVTOPTA_RoI_193;I must see this!;;;;;;;;;x 
EVTOPTB_RoI_193;I have no time for superstitions.;;;;;;;;;x 
EVTDESC_RoI_194;You arrive at the marketplace. There is a large crowd gathered around the yogi. He does indeed seem to be levitating above the ground, eyes closed. Someone mutters that he has been still like that for several hours.;;;;;;;;;x 
EVTOPTA_RoI_194;Interesting.;;;;;;;;;x 
EVTOPTB_RoI_194;Fascinating! I must donate money to this holy man.;;;;;;;;;x 
EVTOPTC_RoI_194;Let's poke him and see what happens.;;;;;;;;;x 
EVTOPTD_RoI_194;I think I'll give him a hard shove.;;;;;;;;;x 
EVTDESC_RoI_195;You leave the levitating yogi, pondering the magical mysteries of these holy men.;;;;;;;;;x 
EVTOPTA_RoI_195;The world holds so many fantastic things.;;;;;;;;;x 
EVTDESC_RoI_196;You poke the yogi. He blinks, then regains his composure.;;;;;;;;;x 
EVTOPTA_RoI_196;Poke him again.;;;;;;;;;x 
EVTOPTB_RoI_196;Leave him alone.;;;;;;;;;x 
EVTOPTC_RoI_196;Give him a good shove.;;;;;;;;;x 
EVTDESC_RoI_197;The yogi opens his eyes, irritated. He steps down and leaves without a word. The rest of the crowd eyes you with disapproval.;;;;;;;;;x 
EVTOPTA_RoI_197;What?;;;;;;;;;x 
EVTDESC_RoI_198;You take step back, then throw yourself forward, giving the yogi a forceful shove. He topples over with a frightened screech, hitting his head on the ground. The crowd stares in stunned silence at you and the yogi.;;;;;;;;;x 
EVTOPTA_RoI_198;I knew he was a fake!;;;;;;;;;x 
EVTDESC_RoI_158;An elephant has gone crazy and is running amuck in the town outside the castle. It has already killed several people - what shall we do?;;;;;;;;;x 
EVTOPTA_RoI_158;Send soldiers to kill it.;;;;;;;;;x 
EVTOPTB_RoI_158;Try to capture it.;;;;;;;;;x 
EVTDESC_RoI_159;Several soldiers were severely injured, but they managed to kill the elephant. The animal died screaming, spilling a whole river of blood all over the street. The peasants are very upset.;;;;;;;;;x 
EVTOPTA_RoI_159;Well, at least the town is safe now.;;;;;;;;;x 
EVTDESC_RoI_160;The soldiers managed to lure the elephant to a safe area and then kill it with spears.;;;;;;;;;x 
EVTOPTA_RoI_160;Ah, good.;;;;;;;;;x 
EVTDESC_RoI_161;It was impossible to capture the crazed beast. It killed several more people, flattened a couple of buildings and then ran off into the countryside.;;;;;;;;;x 
EVTOPTA_RoI_161;Unfortunate.;;;;;;;;;x 
EVTDESC_RoI_162;A couple of veteran elephant handlers managed to snare and capture the elephant. It has been brought safely to the pens.;;;;;;;;;x 
EVTOPTA_RoI_162;Excellent!;;;;;;;;;x 
EVTDESC_RoI_400;It seems that my interest in the Indian religions has come to the attention of one of their practitioners within the realm. We met and have had the most fruitful discussions about theology and other matters.;;;;;;;;;x 
EVTOPTA_RoI_400;I have made a friend!;;;;;;;;;x 
EVTDESC_RoI_401;You have received a visitor - an emissary from the famous university at Nalanda. He tells of you of the research and other work they do there and offers you a formal invitation to visit and see this marvel of Bihar.;;;;;;;;;x 
EVTOPTA_RoI_401;Interesting - I will accept the invitation.;;;;;;;;;x 
EVTOPTB_RoI_401;I don't have the time.;;;;;;;;;x 
EVTNAME_RoI_402;Nalanda;;;;;;;;;x 
EVTDESC_RoI_402;You have arrived at the magnificent University of Nalanda. It's a massive complex of red brick buildings, busy with a bustle of scholars and monks. You have been told that people come here from all over India and beyond in order to study and exchange ideas. The library has a huge amount of texts in every language known to man.\n\nIt's an impresssive place. You don't have much time to spend here, however, so you need to decide what to do...;;;;;;;;;x 
EVTOPTA_RoI_402;I will focus on studying the architecture.;;;;;;;;;x 
EVTOPTB_RoI_402;I think I will spend a few days in the library.;;;;;;;;;x 
EVTOPTC_RoI_402;I have come to receive religious instruction.;;;;;;;;;x 
become_samrat_chakravartin;Become Samrat Chakravartin;;;;;;;;;x 
become_samrat_chakravartin_desc;An Indian ruler who manages to emulate Ashoka the Great and unite all the lands of India under [Root.GetHerHis] rule may claim the title of Samrat Chakravartin, Emperor of Emperors. This title embodies the concept of the ideal and universal world ruler in Indian tradition. Claiming it is a hard task, but living up to it may be even harder...;;;;;;;;;x 
has_court_guru;Court Guru;;;;;;;;;x 
nick_the_leper;the Leper;;;;;;;;;x 
PEACE;Peace;;;;;;;;;x 
d_tamil_band;Tamil Band;;;;;;;;;x 
d_tamil_band_adj;Tamil;;;;;;;;;x 
d_marathi_company;Marathi Company;;;;;;;;;x 
d_marathi_company_adj;Marathi;;;;;;;;;x 
d_marathi_band;Marathi Band;;;;;;;;;x 
d_marathi_band_adj;Marathi;;;;;;;;;x 
d_bengal_company;Bengal Company;;;;;;;;;x 
d_bengal_company_adj;Bengal;;;;;;;;;x 
d_bengal_band;Bengal Band;;;;;;;;;x 
d_bengal_band_adj;Bengal;;;;;;;;;x 
d_rajput_company;Rajput Company;;;;;;;;;x 
d_rajput_company_adj;Rajput;;;;;;;;;x 
d_rajput_band;Rajput Band;;;;;;;;;x 
d_rajput_band_adj;Rajput;;;;;;;;;x 
TRAIT_OPINION_CHURCH;Church Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_CHRISTIAN_CHURCH;Christian Church Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_SPOUSE;Spouse Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_SEX_APPEAL;Attraction Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_DYNASTY;Dynasty Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_VASSAL;Vassal Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_LIEGE;Liege Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_INFIDEL;Other Faith Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_SAME_TRAIT;Same Trait Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_SAME_TRAIT_SAME_REL;Religious Same Trait Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_OPPOSITE_TRAIT;Opposite Trait Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_SAME_RELIGION;Same Faith Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_MUSLIM;Muslim Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_ZORO;Zoroastrian Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_JEWISH;Jewish Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_CHRISTIAN;Christian Opinion: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_AMBITION;Ambition Opinion: $VALUE$;;;;;;;;;x 
indian_has_not_converted;Has not already converted;;;;;;;;;x 
EVTDESC_RoI_1080;Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost but he suffered only minor wounds.;;;;;;;;;x 
EVTDESC_RoI_1081;Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost and lies wounded on the ground.;;;;;;;;;x 
EVTDESC_RoI_1082;Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost and was horribly maimed.;;;;;;;;;x 
EVTDESC_RoI_1083;Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] was killed!;;;;;;;;;x 
EVTDESC_RoI_3202;Lately, you have been enganging in long philosophical conversations with [From.GetFirstNameWithNick], your court guru. You have been discussing Buddhism, and how you can become master over your desires and weaknessess and eliminate the suffering they cause in your soul.;;;;;;;;;x 
EVTOPTA_RoI_3202;I feel I have been helped by this!;;;;;;;;;x 
EVTOPTB_RoI_3202;It's no use!;;;;;;;;;x 
obj_buddhist_stop_drinking_title;Stop Drinking;;;;;;;;;x 
obj_buddhist_stop_drinking_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;;;;;;;;;x 
obj_buddhist_reject_empty_pleasures_title;Learn to Reject Empty Pleasures;;;;;;;;;x 
obj_buddhist_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject emply pleasures.;;;;;;;;;x 
obj_buddhist_abstain_sexual_excess_title;Learn to Abstain from Excesses of the Flesh;;;;;;;;;x 
obj_buddhist_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to abstain from excesses of the flesh.;;;;;;;;;x 
obj_buddhist_reject_cruelty_title;Reject Cruelty;;;;;;;;;x 
obj_buddhist_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject cruelty.;;;;;;;;;x 
obj_buddhist_temperance_food_title;Learn Temperance with Food;;;;;;;;;x 
obj_buddhist_temperance_food_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to eat without excess.;;;;;;;;;x 
obj_buddhist_reject_greed_title;Learn to Reject the Poison of Greed;;;;;;;;;x 
obj_buddhist_reject_greed_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that greed brings to the mind.;;;;;;;;;x 
obj_buddhist_reject_envy_title;Learn to Reject Envy;;;;;;;;;x 
obj_buddhist_reject_envy_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that envy brings to the mind.;;;;;;;;;x 
obj_buddhist_reject_hate_title;Learn to Reject Hate;;;;;;;;;x 
obj_buddhist_reject_hate_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that hate and anger brings to the mind.;;;;;;;;;x 
obj_buddhist_reject_pride_title;Learn to Reject Pride;;;;;;;;;x 
obj_buddhist_reject_pride_desc;[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject pride.;;;;;;;;;x 
obj_buddhist_defeat_fear_title;Defeat Fear;;;;;;;;;x 
