#CODE;ENGLISH;;;;;;;;;x 
set_government_type;Government is changed to §Y$GOVERNMENT$§!\n;;;;;;;;;x 
alert_available_settlement_decision_delayed;The following Special Holding Actions are available:\n$LIST$;;;;;;;;;x 
FLANK_DAMAGE_FINAL;Final Damage Values: §Y$DAMAGE$§! Damage (£1£), §Y$MORALE_DAMAGE$§! Morale Damage (£2£);;;;;;;;;x 
TACTICAL_DISADVANTAGE;Penalty against §Y$TACTIC$§!: $PERC$;;;;;;;;;x 
TOTAL_DEFENCE;Total Defence: §Y$DEF$§!;;;;;;;;;x 
COMBATVIEW_TOTALTROOPS;Total Remaining Troops\n§GClick to show composition of Flanks§!;;;;;;;;;x 
COMBATVALUES;$NAME$\nDamage (£1£): §Y$DAMAGE$§!\nMorale Damage (£2£): §Y$MORALEDMG$§!\nDefence (£3£): §Y$DEFENCE$§!;;;;;;;;;x 
COMBATVALUES_SUBUNIT;Damage per Soldier: §Y$DAMAGE$§!\nDefence per Soldier: §Y$DEFENCE$§!\n\nTotal Damage: §Y$TOTAL_DAMAGE$§!\nTotal Defence: §Y$TOTAL_DEFENCE$§!;;;;;;;;;x 
COMBATVIEW_FLANK_MORALE;Average morale in this flank: $MORALE$ (§Y+$DELTA$§W / week)\nTotal Morale: §Y$TOTAL_MORALE$§!;;;;;;;;;x 
COMBATVIEW_MORALE;Average morale: §Y$MORALE$§W (§Y+$DELTA$§W / week)\nTotal Morale: §Y$TOTAL_MORALE$§!;;;;;;;;;x 
FLANK_DESIGNER_SHOW_VALUES;Show Values;;;;;;;;;x 
FLANK_DESIGNER_SHOW_TROOPS;Show Troops;;;;;;;;;x 
convert_tribal_to_city;Upgrade to City;;;;;;;;;x 
convert_tribal_to_city_named;Upgrade [Root.GetName] to a City;;;;;;;;;x 
#convert_tribal_to_city_desc;I can upgrade [Root.GetFullName] to a proper City.;;;;;;;;;x 
convert_tribal_to_castle;Upgrade to Castle;;;;;;;;;x 
convert_tribal_to_castle_named;Upgrade [Root.GetName] to a Castle;;;;;;;;;x 
#convert_tribal_to_castle_desc;I can upgrade [Root.GetFullName] to a proper Castle.;;;;;;;;;x 
MODIFIER_TRIBAL_OPINION;Tribal Vassal Opinion;;;;;;;;;x 
MODIFIER_UNREFORMED_TRIBAL_OPINION;Unreformed Pagan Tribal Vassal Opinion;;;;;;;;;x 
UNREFORMED_TRIBAL_VIEW_ON_TRAIT;Unreformed Pagan Tribal view on $TRAIT$: $VALUE$;;;;;;;;;x 
TRAIT_OPINION_UNREFORMED_TRIBAL;Unreformed Pagan Tribal Opinion: $VALUE$;;;;;;;;;x 
TRIBAL_VASSAL_OPINION;Tribal Vassal Opinion;;;;;;;;;x 
PROVINCE_HAS_NO_REGION; This province does not belong to any region;;;;;;;;;x 
PROVINCE_HAS_REGION_SELECT;Press §YLeft Click§W to select next region.;;;;;;;;;x 
PROVINCE_HAS_REGION_DESELECT;Press §YRight Click§W to deselect region.;;;;;;;;;x 
PROVINCE_HAS_REGION;This province belongs to the following regions:;;;;;;;;;x 
FIND_PROVINCE;Find Title or Region;;;;;;;;;x 
REGION_OF;Region of;;;;;;;;;x 
HINT_DIPLO_VIEW_TITLE;The Diplomacy Menu;;;;;;;;;x 
EVTDESC107104;You currently have one unhappy Vassal. You can find this Vassal by clicking on your portrait and open the 'Vassals' tab. Try to increase the Opinion of this Vassal to a positive number. You can increase the Opinion of your Vassals towards you in several ways, for example by giving them more land (but do try to hold as much land as your Demesne Limit allows!). You can also give them an Honorary Title, or send them a gift. All this can be done in the Diplomacy Menu.;;;;;;;;;x 
EVTDESC107009;When you have found a good character to marry, right-click on their portrait to open the Diplomacy Menu. Here you may ask the Liege of your intended about the possibility of arranging a marriage. The Diplomacy Menu is the main way to interact with other characters. Go ahead and arrange the marriage!;;;;;;;;;x 
EVTDESC107300;You now have a Claim and it's time to let slip the dogs of War! Click on Canarias province and right-click the Ruler Portrait in the County View. Select 'Declare War' in the Diplomacy Menu and the 'Claim Canarias' Casus Belli. Send the War Declaration.;;;;;;;;;x 
EVTDESC107301;Whenever you have Allies that can aid in your Wars, you will see an icon indicating this at the top of the screen. Clicking on this icon will open the Diplomacy Menu of your Allies, where you have the option to Call them to Arms, thus bringing them into your War (if they accept).;;;;;;;;;x 
EVTDESC107326;You are now over your Vassal Limit, meaning you have more Vassals than you can control. Your Vassals will then give you reduced Taxes and Levies, and you might even lose some Vassals when you die and your Heir takes over. In the long term you can increase your Vassal Limit by increasing your Diplomacy, but in the short term you can Transfer Vassalage so that you have fewer Direct Vassals. You can do this by clicking on the character you want to give Vassals to, and open their Diplomacy Menu. The target character must be of a higher tier than the Vassal you wish to give away.;;;;;;;;;x 
EVTDESC107334;One of your children is now old enough to be Tutored by a Guardian. By opening your Diplomacy Menu you can select the 'Educate Child' option. A Guardian will be automatically suggested, but feel free to click on the suggested Guardian in order to choose another one if you wish. You will want a Guardian with good Traits and Attributes, or use this opportunity and let a Vassal that dislike you to get the honor of becoming the Guardian of your child.;;;;;;;;;x 
EVTDESC107325;You are now over your Demesne Limit, meaning you have more Holdings than is seemly for you to rule personally. Your Vassals will dislike you for being over this limit, so you need to do something about it, and soon! In the long term, you can increase your demesne limit by increasing your Stewardship Attribute (and your wife's), but in the short term you need to give some of your Titles to your Vassals. You can do this by clicking on the character you want to give Titles to, and open their Diplomacy Menu. Look in the Character Finder or in the Court Tab in your Character View to find suitable characters.;;;;;;;;;x 
EVTDESC107310;You are now ready to make Peace. To do this, click on the War icon in the bottom right of the screen. You can also right-click the portrait of the character you are fighting and open their Diplomacy Menu.;;;;;;;;;x 
PART_OF_REGION;Part of $REGION$ region;;;;;;;;;x 
NOT_PART_OF_REGION;Not part of $REGION$ region;;;;;;;;;x 
SPAWN_UNIT_EFFECT_REINFORCE_RATE;Reinforce Speed: §Y$RATE$§!%;;;;;;;;;x 
SPAWN_UNIT_EFFECT_MAINTENANCE_FREE;Maintenance Free;;;;;;;;;x 
SPAWN_UNIT_EFFECT_NON_REINFORCING;Non Reinforcing;;;;;;;;;x 
SPAWN_UNIT_EFFECT_FORCED_LOOTING;These troops will always be raiding.;;;;;;;;;x 
TOGGLE_LOOTER_FAIL_FORCED_LOOT; Unit is not forced to raid;;;;;;;;;x 
HorseLordsDLC;Horse Lords;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_TITLE;Settle Adventurer;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_DESC;Grant a landed title and settle the adventurer;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_LONG_DESC;Grant one of your landed titles to settle an adventurer. This will significantly improve their opinion of you. Settling an adventurer will stop them from raiding you, and the adventurer will also prevent other raiders from attacking for a long time.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_0;Select a title to grant to §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_2;The capital will change from §Y$CURRENT$§W to §Y$NEW$§W.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_3;Vassals going with the grant: ;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_4;[Player.Religion.GetPietyName] from temple grant: §G$PIETY$§!.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_5;§RMaking [Recipient.GetObjectPronoun] a $TITLE$ will disqualify [Recipient.GetObjectPronoun] from the succession!§!;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_ACCEPT_SETUP;Offer to Settle Adventurer Accepted;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W settled the adventurer §Y[Recipient.GetBestName]§W by giving [Recipient.GetHerHim] the [ThirdPartyTitle.GetFullName].;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_7;Decadence lost from grant to dynasty member: §G$DECADENCE$%§! (the effect is relative to the dynasty's current Decadence.);;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_9;Settling an adventurer will significantly reduce the risk of further raid attempts against you for a long time.;;;;;;;;;x 
IS_ALLOWED_TO_LOOT;Is allowed to raid;;;;;;;;;x 
CANNOT_DESTROY_DURING_WAR;Cannot destroy contested title during war;;;;;;;;;x 
NOT_IS_ALLOWED_TO_LOOT;Is NOT allowed to raid;;;;;;;;;x 
settled_adventurer;Settled Adventurer;;;;;;;;;x 
desc_settled_adventurer;This province have been settled by a raiding adventurer and can not be raided.;;;;;;;;;x 
LOOTING_SETTLED_ADVENTURER;This province has recently been settled by a raider adventurer.;;;;;;;;;x 
TOGGLE_LOOTER_FAIL_FORCED_NOT_LOOT; Unit is allowed to raid;;;;;;;;;x 
SPAWN_UNIT_EFFECT_FORCED_NOT_LOOTING;These troops cannot raid.;;;;;;;;;x 
SPAWN_UNIT_EFFECT_LOOTING;These troops will start off as raiders.;;;;;;;;;x 
tut_0a_6;Click the portrait. All characters have a view like this. This is the King of Scotland, and here you can see that his parents and grandparents are dead. He has three children and three siblings.;;;;;;;;;x 
REALM_LEVY_DIFF_LOWER_THAN;Current realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
REALM_LEVY_DIFF_AT_LEAST;Current realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;;;;;;;;;x 
MAX_REALM_LEVY_DIFF_LOWER_THAN;Maximum realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
MAX_REALM_LEVY_DIFF_AT_LEAST;Maximum realm levy difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;;;;;;;;;x 
REALM_LEVY_LESS;Current realm levies less than ?$VAL$?;;;;;;;;;x 
REALM_LEVY_LEAST;Current realm levies at least ?$VAL$?;;;;;;;;;x 
MAX_TROOP_STRENGTH_LESS;Maximum realm levies less than ?$VAL$?;;;;;;;;;x 
MAX_TROOP_STRENGTH_LEAST;Maximum realm levies at least ?$VAL$?;;;;;;;;;x 
ANY_UNIT;Any Unit;;;;;;;;;x 
ALL_UNITS;All Units;;;;;;;;;x 
IS_SEAFARER;Is seafarer;;;;;;;;;x 
NOT_IS_SEAFARER;Is NOT seafarer;;;;;;;;;x 
IS_ISLAND;Is an island;;;;;;;;;x 
NOT_IS_ISLAND;Is NOT an island;;;;;;;;;x 
DYNAMIC_MERCENARY_COMPANY;[Root.GetFirstName]'s [Root.Culture.GetName] Band;;;;;;;;;x 
create_mercenary_company;Send Away as Mercenary;;;;;;;;;x 
create_mercenary_company_desc;Send [Root.GetFirstName] away to seek experience, fame and fortune as a mercenary, taking some soldiers from your current levy with [Root.GetHerHim] as a starting force. You will be able to recall [Root.GetHerHim] to [From.Capital.GetName] at any time, and hopefully by then [Root.GetSheHe] will have brought honor to your dynasty by amassing a suitably impressive amount of gold and prestige.;;;;;;;;;x 
maintaining_mercenary_band;Maintaining Mercenary Band;;;;;;;;;x 
desc_maintaining_mercenary_band;This holding is used to refill mercenary bands;;;;;;;;;x 
ANY_MERCENARY_BAND_STARTS;Any mercenary band;;;;;;;;;x 
TRIGGER_BAND_CREATOR;Band creator;;;;;;;;;x 
DEMESNE_GARRISON_MORE_THAN;Garrison of entire demesne is more or equal to ;;;;;;;;;x 
DEMESNE_GARRISON_LESS_THAN;Garrison of entire demesne is less than ;;;;;;;;;x 
AIREASON_NOT_DUCHY;Desires a duchy;;;;;;;;;x 
AIREASON_NO_PORT;Desires coastal provinces;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_LETTER;We offer you the landed title of [ThirdPartyTitle.GetFullName] in exchange for your protection against future raids in this area.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_OFFER;[Actor.GetBestName] wants to offer us the landed title of [ThirdPartyTitle.GetFullName] in exchange for our protection.;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_DECLINE_SETUP;Offer to Settle Adventurer Declined;;;;;;;;;x 
SETTLE_ADVENTURER_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W refused §Y[Actor.GetBestName]§W's offer to settle in [Actor.GetHerHis] lands.;;;;;;;;;x 
dissolve_mercenary_company;Recall to Court;;;;;;;;;x 
dissolve_mercenary_company_desc;Order [Root.GetFirstName] to disband [Root.GetHerHis] mercenary band and return home.;;;;;;;;;x 
is_mercenary_leader_YEAR;Has been leading the company for five years\n;;;;;;;;;x 
HAS_NOT_RAISED_STANDING_TROOPS;Has not raised standing troops;;;;;;;;;x 
HAS_RAISED_STANDING_TROOPS;Has raised standing troops;;;;;;;;;x 
EVTDESC288;I accept your offer of settling down.;;;;;;;;;x 
EVTDESC289;I refuse to accept your offer of settling down.;;;;;;;;;x 
INTERACTION_REQUIRES_NO_ACTOR_MERCENARY_TITLE;[Actor.GetBestName] must not be a Mercenary;;;;;;;;;x 
INTERACTION_REQUIRES_NO_RECIPIENT_MERCENARY_TITLE;[Recipient.GetBestName] must not be a Mercenary;;;;;;;;;x 
started_mercenary_company;Started Mercenary Company;;;;;;;;;x 
IS_ADVENTURER;Is adventurer;;;;;;;;;x 
IS_NOT_ADVENTURER;Is not adventurer;;;;;;;;;x 
TRIGGER_MOST_PART_CRUSADER;Most Contributing Crusader;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_FEUDAL;[Recipient.GetBestName] is feudal.;;;;;;;;;x 
CHRONICLE_DIVORCED;[New.GetTitledFirstName] announced the formal annulment of [From.GetTitledFirstName]s marriage with [Root.GetTitledName].;;;;;;;;;x 
CHRONICLE_DIVORCED_NO_HEAD;[From.GetTitledFirstName] divorced [Root.GetTitledName].;;;;;;;;;x 
LAW_ALLOWED;Can enact §Y$LAW$§! law;;;;;;;;;x 
LAW_NOT_ALLOWED;Can NOT enact §Y$LAW$§! law;;;;;;;;;x 
LAW_POTENTIAL;Eligible to enact §Y$LAW$§! law;;;;;;;;;x 
LAW_NOT_POTENTIAL;NOT eligible to enact §Y$LAW$§! law;;;;;;;;;x 
GOVERNMENT_ALLOWED;Can enact §Y$GOVERNMENT$§! government;;;;;;;;;x 
GOVERNMENT_NOT_ALLOWED;Can NOT enact §Y$GOVERNMENT$§! government;;;;;;;;;x 
GOVERNMENT_POTENTIAL;Eligible to enact §Y$GOVERNMENT$§! government;;;;;;;;;x 
GOVERNMENT_NOT_POTENTIAL;NOT eligible to enact §Y$GOVERNMENT$§! government;;;;;;;;;x 
DECISION_ALLOWED;Can take §Y$DECISION$§! decision;;;;;;;;;x 
DECISION_NOT_ALLOWED;Can NOT take §Y$DECISION$§! decision;;;;;;;;;x 
DECISION_POTENTIAL;Eligible to take §Y$DECISION$§! decision;;;;;;;;;x 
DECISION_NOT_POTENTIAL;NOT eligible to take §Y$DECISION$§! decision;;;;;;;;;x 
TARGETTED_DECISION_ALLOWED;Can take §Y$DECISION$§! decision against §Y$CHARACTER$§!;;;;;;;;;x 
TARGETTED_DECISION_NOT_ALLOWED;Can NOT take §Y$DECISION$§! decision against §Y$CHARACTER$§!;;;;;;;;;x 
TARGETTED_DECISION_POTENTIAL;Eligible to take §Y$DECISION$§! decision against §Y$CHARACTER$§!;;;;;;;;;x 
TARGETTED_DECISION_NOT_POTENTIAL;NOT eligible to take §Y$DECISION$§! decision against §Y$CHARACTER$§!;;;;;;;;;x 
TITLE_DECISION_ALLOWED;Can take §Y$DECISION$§! decision for §Y$TITLE$§!;;;;;;;;;x 
TITLE_DECISION_NOT_ALLOWED;Can NOT take §Y$DECISION$§! decision for §Y$TITLE$§!;;;;;;;;;x 
TITLE_DECISION_POTENTIAL;Eligible to take §Y$DECISION$§! decision for §Y$TITLE$§!;;;;;;;;;x 
TITLE_DECISION_NOT_POTENTIAL;NOT eligible to take §Y$DECISION$§! decision for §Y$TITLE$§!;;;;;;;;;x 
SETTLEMENT_DECISION_ALLOWED;Can take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!;;;;;;;;;x 
SETTLEMENT_DECISION_NOT_ALLOWED;Can NOT take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!;;;;;;;;;x 
SETTLEMENT_DECISION_POTENTIAL;Eligible to take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!;;;;;;;;;x 
SETTLEMENT_DECISION_NOT_POTENTIAL;NOT eligible to take §Y$DECISION$§! decision in §Y$SETTLEMENT$§!;;;;;;;;;x 
PROV1293;Gulf of Kutch;;;;;;;;;x 
PROV1382;Gulf of Suez;;;;;;;;;x 
PROV1383;Northern Red Sea;;;;;;;;;x 
PROV1384;Central Red Sea;;;;;;;;;x 
PROV1385;Southern Red Sea;;;;;;;;;x 
PROV1386;Strait of Mandeb;;;;;;;;;x 
PROV1387;Gulf of Aden;;;;;;;;;x 
PROV1388;Horn of Africa;;;;;;;;;x 
PROV1389;Coast of Dhofar;;;;;;;;;x 
PROV1390;Southern Coast of Oman;;;;;;;;;x 
PROV1391;Coast of Muscat;;;;;;;;;x 
PROV1392;Gulf of Oman;;;;;;;;;x 
PROV1393;Strait of Hormuz;;;;;;;;;x 
PROV1394;Eastern Persian Gulf;;;;;;;;;x 
PROV1395;Western Persian Gulf;;;;;;;;;x 
PROV1396;Coast of Makran;;;;;;;;;x 
PROV1397;Indus Delta;;;;;;;;;x 
PROV1398;Coast of Gujarat;;;;;;;;;x 
PROV1399;Coast of Konkan;;;;;;;;;x 
PROV1400;Coast of Malabar;;;;;;;;;x 
PROV1401;Karnataka Coast;;;;;;;;;x 
PROV1402;Gulf of Mannar;;;;;;;;;x 
PROV1403;South Lanka Coast;;;;;;;;;x 
PROV1404;Palk Strait;;;;;;;;;x 
PROV1405;North Lanka Coast;;;;;;;;;x 
PROV1406;South Coromandel Coast;;;;;;;;;x 
PROV1407;North Coromandel Coast;;;;;;;;;x 
#PROV1408;Outer Mongolia;;;;;;;;;x 
PROV1409;Coast of Orissa;;;;;;;;;x 
PROV1410;Coast of Kataka;;;;;;;;;x 
PROV1411;Ganges Delta;;;;;;;;;x 
PROV1412;Arabian Sea;;;;;;;;;x 
EVTDESC_HL_101;[From.GetBestName] has gathered a band of warriors with the intention to raid foreign lands to create a fortune of [From.GetPossPronoun] own.;;;;;;;;;x 
EVTDESC_HL_112;The [GetRootFromInsult] [From.GetBestName] has declared [From.GetHerHis] intentions of trying to seize land from your realm by force with [From.GetHerHis] band of thieves and robbers.;;;;;;;;;x 
EVTOPTA_HL_112;We must stop [From.GetHerHim].;;;;;;;;;x 
EVTDESC_HL_121;Dear [GetFromReverseRelation],\n[From.Religion.GetRandomGodNameCap] has smiled upon me the during my recent adventures. I now have so much wealth that I'm having trouble spending it all. However I would like to have a realm of my own fitting for a warrior of my rank, therefore I propose a small exchange.\n\nSigned,\nyour [GetFromRelation] [From.GetFirstName];;;;;;;;;x 
world_europe_west_brittania;Britannia;;;;;;;;;x 
world_europe_west_germania;Germania;;;;;;;;;x 
world_europe_west_francia;Francia;;;;;;;;;x 
world_europe_west_iberia;Iberia;;;;;;;;;x 
world_europe_west;Western Europe;;;;;;;;;x 
world_europe_north;Northern Europe;;;;;;;;;x 
world_europe_south_east;South-East Europe;;;;;;;;;x 
world_europe_south_italy;Italia;;;;;;;;;x 
world_europe_south;Southern Europe;;;;;;;;;x 
world_europe_east;Eastern Europe;;;;;;;;;x 
world_asia_minor;Asia Minor;;;;;;;;;x 
world_middle_east_jerusalem;Jerusalem;;;;;;;;;x 
world_middle_east_arabia;Arabian Peninsula;;;;;;;;;x 
world_india_deccan;Deccan;;;;;;;;;x 
world_india_bengal;Bengal;;;;;;;;;x 
world_india_rajastan;Rajastan;;;;;;;;;x 
world_persia;Persia;;;;;;;;;x 
world_africa_north;North Africa;;;;;;;;;x 
world_africa_west;West Africa;;;;;;;;;x 
world_africa_east;East Africa;;;;;;;;;x 
world_africa;Africa;;;;;;;;;x 
world_steppe_west;Western Steppes;;;;;;;;;x 
world_steppe_east;Eastern Steppes;;;;;;;;;x 
world_steppe;Steppes;;;;;;;;;x 
world_europe;Europe;;;;;;;;;x 
world_middle_east;Middle-East;;;;;;;;;x 
world_india;India;;;;;;;;;x 
world_steppe_tarim;Tarim Basin;;;;;;;;;x 
custom_eastern_baltic;Eastern Baltic;;;;;;;;;x 
custom_frisia;Frisia;;;;;;;;;x 
custom_england;England;;;;;;;;;x 
custom_castillian;North Iberia;;;;;;;;;x 
custom_catalan;East Iberia;;;;;;;;;x 
custom_andalusian;South Iberia;;;;;;;;;x 
custom_portuguese;North-West Iberia;;;;;;;;;x 
custom_swedish;Sweden;;;;;;;;;x 
custom_danish;Denmark;;;;;;;;;x 
custom_norwegian;Norway;;;;;;;;;x 
custom_scotland;Scotland;;;;;;;;;x 
opinion_humiliated_rival;Humiliated by rival;;;;;;;;;x 
MAPMODE_REALM;§YRealms§!;;;;;;;;;x 
PROV1347;Taklamakan Desert;;;;;;;;;x 
pyramid;Pyramid;;;;;;;;;x 
k_mongolia;Mongolia;;;;;;;;;x 
d_altay;Altay;;;;;;;;;x 
d_otuken;Ötüken;;;;;;;;;x 
d_khangai;Khangai;;;;;;;;;x 
d_ikh_bogd;Ikh Bogd;;;;;;;;;x 
k_khotan;Khotan;;;;;;;;;x 
d_kashgar;Kashgar;;;;;;;;;x 
d_khotan;Khotan;;;;;;;;;x 
d_karashar;Karashar;;;;;;;;;x 
d_kumul;Kumul;;;;;;;;;x 
EVTOPTA_WOL_415;I have butterflies in my stomach!;;;;;;;;;x 
EVTTOOLTIP_CM_4332;[This.GetTitledFirstName] becomes a member of the Haruriyyah Order;;;;;;;;;x 
tower_topples;Tower topples.;;;;;;;;;x 
tower_stands;Tower stands.;;;;;;;;;x 
promised_to_clear_out_heresy;Promised to clear out heresy;;;;;;;;;x 
alert_can_tech_name;You can invest in technology;;;;;;;;;x 
MAPMODE_REALM_DESC;This map mode shows all independent Realms and it's substructure.;;;;;;;;;x 
MAPMODE_REALM_ONMAP_TOOLTIP_DESC1;Press §GControl + Left Click§! to show Sub-Realms of ;;;;;;;;;x 
MAPMODE_REALM_ONMAP_TOOLTIP_DESC2;Press §GControl + Right Click§! to hide Sub-Realms of ;;;;;;;;;x 
MAPMODE_GOVERNMENTS;§YGovernments§!;;;;;;;;;x 
MAPMODE_GOVERNMENTS_DESC;This mapmode shows the different governments.;;;;;;;;;x 
#REVOKE_TITLE_INTERACTION_2G;Our $GOVERNMENT$ administration allows us to revoke Emirates without objections from the aristocracy.;;;;;;;;;x 
EVTDESC_SoA_566;It's time to rescind that old and absurd decree banning Jews from the realm.;;;;;;;;;x 
EVTOPTA_SoA_566;Let such injustices be consigned to history.;;;;;;;;;x 
BARONY_DESTROYED;This barony has been destroyed;;;;;;;;;x 
DEJURE_LIEGE_STARTS;De Jure Liege;;;;;;;;;x 
DEFACTO_LIEGE_STARTS;De Facto Liege;;;;;;;;;x 
destroy_settlement;§Y$SETTLEMENT$§! will be destroyed.\n;;;;;;;;;x 
make_capital_holding;§Y$SETTLEMENT$§! will become the primary settlement in §Y$COUNTY$§!.\n;;;;;;;;;x 
make_primary;Make County Capital;;;;;;;;;x 
make_primary_desc;I can make this holding the county capital of this province.;;;;;;;;;x 
nomad_ARMY_OF;Nomads of $CHARACTER$;;;;;;;;;x 
nomad_ARMY;$CULTURE$ Nomads;;;;;;;;;x 
EVTDESC_HL_10101;Warriors serving with your [GetFromRelation] [From.GetFirstName] have sent word to inform you that they have recently observed a marked improvement in [From.GetHerHis] military leadership abilities.;;;;;;;;;x 
EVTOPTA_HL_10101;There is no substitute for experience!;;;;;;;;;x 
EVTDESC_HL_10201;Rumors reach you regarding [GetFromRelation] [From.GetFirstName], the mercenary. You always knew him as a coward, but now the word is that [From.GetSheHe] has been cured of [From.GetHerHis] shameful fear of battle.;;;;;;;;;x 
EVTOPTA_HL_10201;Finally, my [GetFromRelation] is a real [From.GetManWoman]!;;;;;;;;;x 
EVTDESC_HL_10211;Life as a mercenary seems to have hardened your [GetFromRelation] [From.GetFirstName]. Words of [From.GetHerHis] courage in battle reach you every so often.;;;;;;;;;x 
EVTOPTA_HL_10211;[From.GetHerHisCap] deeds honor the [Root.GetOnlyDynastyName] dynasty!;;;;;;;;;x 
EVTDESC_HL_10221;It is said that your [GetFromRelation] [From.GetFirstName] has become known as a very energetic and tenacious mercenary leader.;;;;;;;;;x 
