#CODE;ENGLISH;;;;;;;;;x 
AIREASON_TOO_OLD;§Y[GetTitledFirstName]§! is past childbearing age;;;;;;;;;x 
AIREASON_DARE_NOT_REFUSE;Dare not refuse;;;;;;;;;x 
AIREASON_CONFLICTING_INTERESTS;Conflicting Interests;;;;;;;;;x 
AIREASON_SAME_REALM;Same Realm;;;;;;;;;x 
AIREASON_GREED;Greed;;;;;;;;;x 
AIREASON_LAND_IS_GOOD;Land is Good;;;;;;;;;x 
AIREASON_FEAR;Fear of §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_GOLD_IS_GOOD;Gold is Good;;;;;;;;;x 
AIREASON_CONSANGUINITY;Consanguinity;;;;;;;;;x 
AIREASON_TOO_YOUNG;§Y[GetTitledFirstName]§! is too young;;;;;;;;;x 
AIREASON_GOT_MORE_ADVANCED_PLOT;Already leading a similar Plot;;;;;;;;;x 
AIREASON_GOT_SAME_PLOT;Has got the same Plot;;;;;;;;;x 
AIREASON_BACKING_SIMILAR_PLOT;Already backing a similar Plot;;;;;;;;;x 
AIREASON_LIEGE_REALM_ATTACKED;Realm under Foreign Attack;;;;;;;;;x 
AIREASON_FIGHTING_WAR;Busy Fighting a War;;;;;;;;;x 
AIREASON_WARY_OF_FOREIGN_INTERVENTION;Wary of Foreign Intervention;;;;;;;;;x 
AIREASON_AGE_POWER_DIFFERENCE;Age vs Suitor Power;;;;;;;;;x 
AIREASON_WE_LIKE_ENEMY_BETTER;We like your enemies too much;;;;;;;;;x 
AIREASON_WE_LIKE_YOU_BETTER;We like you more than your enemies;;;;;;;;;x 
AIREASON_BASE_RELUCTANCE;Base Reluctance;;;;;;;;;x 
AIREASON_SMALL_TIER_DIFF;Small difference in Rank;;;;;;;;;x 
AIREASON_NOT_NEIGHBOR;Distant Realm;;;;;;;;;x 
AIREASON_INFERTILE;Unlikely to have Children;;;;;;;;;x 
AIREASON_WANTS_GOOD_ALLIANCE;Desires a better Alliance;;;;;;;;;x 
alert_casus_belli_will_expire_instant;§YTemporary Casus belli against:§!;;;;;;;;;x 
alert_casus_belli_will_expire_delayed;$LIST$.;;;;;;;;;x 
alert_build_province_improvement_instant;§YYou can build province improvements!§!;;;;;;;;;x 
alert_build_province_improvement_delayed;$LIST$;;;;;;;;;x 
alert_troops_in_foreign_territory_instant;§YYou have troops in foreign territory.§!;;;;;;;;;x 
alert_troops_in_foreign_territory_delayed;In $LIST$.;;;;;;;;;x 
alert_revoltrisk_in_provinces_instant;§YRevolts Possible§!;;;;;;;;;x 
alert_revoltrisk_in_provinces_delayed;The following provinces run a risk of having a revolt:\n$LIST$;;;;;;;;;x 
alert_noheir_delayed;If your ruler dies now the game will end!;;;;;;;;;x 
alert_court_not_filled_instant;§YOpen Council Positions§!;;;;;;;;;x 
alert_court_not_filled_delayed;The following spots need to be filled:\n$LIST$\n§GClick to go to Court View§!;;;;;;;;;x 
alert_lose_title_on_succ_instant;§YTitle Loss on Succession§!;;;;;;;;;x 
alert_lose_title_on_succ_delayed;The following titles will be lost on succession:\n$LIST$;;;;;;;;;x 
alert_should_nominate_heir_instant;§YSuccessor Nomination§!;;;;;;;;;x 
alert_should_nominate_heir_delayed;You should nominate successors for these titles:\n$LIST$;;;;;;;;;x 
alert_you_can_create_titles_instant;§Y$NUM$ Title(s) can be Created§!;;;;;;;;;x 
alert_you_can_create_titles_delayed;The following titles can be created:\n$LIST$;;;;;;;;;x 
alert_you_can_usurp_titles_instant;§Y$NUM$ Title(s) can be Usurped§!;;;;;;;;;x 
alert_you_can_usurp_titles_delayed;The following titles can be usurped:\n$LIST$;;;;;;;;;x 
alert_ruler_should_marry_instant;§YRuler Unmarried§!;;;;;;;;;x 
alert_ruler_should_marry_delayed;You should get married\n§GClick to go to Character View§!;;;;;;;;;x 
alert_heir_should_marry_instant;§YUnmarried Heir§!;;;;;;;;;x 
alert_heir_should_marry_delayed;$HEIR$ should get married\n§GClick to go to Character View§!;;;;;;;;;x 
alert_should_appoint_guardian_instant;§Y$NUM$ Children Lack a Guardian§!;;;;;;;;;x 
alert_should_appoint_guardian_delayed;The following children need a guardian:\n$LIST$;;;;;;;;;x 
#alert_demesne_too_big_instant;§YDemesne too Big§!;;;;;;;;;x 
#alert_demesne_too_big_delayed;Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation and resentment among your vassals.;;;;;;;;;x 
alert_adult_sons_notitle_instant;§YUnlanded Sons§!;;;;;;;;;x 
alert_adult_sons_notitle_delayed;The following adult sons do not hold any land:\n$LIST$;;;;;;;;;x 
alert_betrothed_should_marry_instant;§YBetrothed can Marry§!;;;;;;;;;x 
alert_betrothed_should_marry_delayed;The following betrothed characters can get married:\n$LIST$;;;;;;;;;x 
alert_can_imprison_instant;§YRighteous Imprisonment§!;;;;;;;;;x 
alert_can_imprison_delayed;You can imprison the following subjects without incurring tyranny:\n$LIST$;;;;;;;;;x 
alert_titles_may_pass_from_realm_instant;§YVassal Inheritance Warning§!;;;;;;;;;x 
alert_titles_may_pass_from_realm_delayed;There are vassals with worrisome lines of succession.\nOn death, their titles might pass from your Realm:\n$LIST$;;;;;;;;;x 
alert_can_call_vassals_to_arms_instant;§YWe can call in vassals of our former liege§!;;;;;;;;;x 
alert_can_call_vassals_to_arms_delayed;The following vassals can join our war against our former liege:\n$LIST$;;;;;;;;;x 
CLICK_TO_ROTATE;§GClick to cycle through the list§!;;;;;;;;;x 
ALERT_RIGHTCLICK;§GRight-click to show dismiss buttons§!;;;;;;;;;x 
ALERT_DISMISS;Dismiss for now;;;;;;;;;x 
ALERT_DISMISS_ALWAYS;Disable;;;;;;;;;x 
alert_available_decision_instant;§YNew Important Decisions are Available§!;;;;;;;;;x 
alert_available_decision_delayed;The following important Decisions are available:\n$LIST$;;;;;;;;;x 
alert_available_plot_instant;§YNew Plots are Available§!;;;;;;;;;x 
alert_available_plot_delayed;The following Plots have become available:\n$LIST$;;;;;;;;;x 
#ca_wall_q_1;Shallow Castle Moat;;;;;;;;;x 
#ca_wall_q_2;Arrow Slits;;;;;;;;;x 
#ca_wall_q_3;Portcullis;;;;;;;;;x 
#ca_wall_q_4;Deep Castle Moat;;;;;;;;;x 
#ca_wall_q_5;Barbicans;;;;;;;;;x 
#ca_wall_1;Wooden Palisade;;;;;;;;;x 
#ca_wall_2;Low Stone Wall;;;;;;;;;x 
#ca_wall_3;Medium Stone Wall;;;;;;;;;x 
#ca_wall_4;Large Stone Wall;;;;;;;;;x 
#ca_wall_5;Huge Stone Wall;;;;;;;;;x 
#ca_keep_1;Castle Donjon;;;;;;;;;x 
ca_keep_1;Keep;;;;;;;;;x 
ca_keep_2;Keep;;;;;;;;;x 
ca_keep_3;Keep;;;;;;;;;x 
ca_keep_4;Keep;;;;;;;;;x 
ca_keep_5;Keep;;;;;;;;;x 
ca_keep_6;Keep;;;;;;;;;x 
#ca_keep_3;Expanded Keep;;;;;;;;;x 
#ca_keep_4;Large Keep;;;;;;;;;x 
ca_militia_barracks_1;Militia Training Ground;;;;;;;;;x 
ca_militia_barracks_2;Militia Training Ground;;;;;;;;;x 
ca_militia_barracks_3;Militia Training Ground;;;;;;;;;x 
ca_militia_barracks_4;Militia Training Ground;;;;;;;;;x 
#ca_militia_barracks_2;Archery Range;;;;;;;;;x 
#ca_militia_barracks_3;Large Archery Range;;;;;;;;;x 
ca_training_grounds_1;Training Grounds;;;;;;;;;x 
ca_training_grounds_2;Training Grounds;;;;;;;;;x 
ca_training_grounds_3;Training Grounds;;;;;;;;;x 
ca_warrior_cult;Warrior Cult;;;;;;;;;x 
ca_culture_saxon_english_1;Longbow Range;;;;;;;;;x 
ca_culture_saxon_english_2;Longbow Range;;;;;;;;;x 
ca_culture_saxon_english_3;Longbow Range;;;;;;;;;x 
ca_culture_saxon_english_4;Longbow Range;;;;;;;;;x 
#ca_culture_saxon_english_3;Expanded Longbow Range;;;;;;;;;x 
#ca_culture_saxon_english_4;Large Longbow Range;;;;;;;;;x 
ca_culture_group_baltic_1;Warrior Gathering Ground;;;;;;;;;x 
ca_culture_group_baltic_2;Warrior Gathering Ground;;;;;;;;;x 
ca_culture_group_baltic_3;Warrior Gathering Ground;;;;;;;;;x 
ca_culture_group_baltic_4;Warrior Gathering Ground;;;;;;;;;x 
#ca_culture_frank_norman_german_1;Squire Lists;;;;;;;;;x 
#ca_culture_frank_norman_german_2;Knight Lists;;;;;;;;;x 
#ca_culture_frank_norman_german_3;Chevalier Lists;;;;;;;;;x 
ca_culture_frank_norman_german_1;Jousting Lists;;;;;;;;;x 
ca_culture_frank_norman_german_2;Jousting Lists;;;;;;;;;x 
ca_culture_frank_norman_german_3;Jousting Lists;;;;;;;;;x 
ca_culture_frank_norman_german_4;Jousting Lists;;;;;;;;;x 
ca_culture_group_iberian_1;Caballero Training Ground;;;;;;;;;x 
ca_culture_group_iberian_2;Caballero Training Ground;;;;;;;;;x 
ca_culture_group_iberian_3;Caballero Training Ground;;;;;;;;;x 
ca_culture_group_iberian_4;Caballero Training Ground;;;;;;;;;x 
#ca_culture_group_iberian_1;Small Caballero Training Ground;;;;;;;;;x 
#ca_culture_group_iberian_2;Caballero Training Ground;;;;;;;;;x 
#ca_culture_group_iberian_3;Large Caballero Training Ground;;;;;;;;;x 
#ca_culture_italian_1;Small Pike Training Ground;;;;;;;;;x 
ca_culture_italian_1;Pike Training Ground;;;;;;;;;x 
ca_culture_italian_2;Pike Training Ground;;;;;;;;;x 
ca_culture_italian_3;Pike Training Ground;;;;;;;;;x 
ca_culture_italian_4;Pike Training Ground;;;;;;;;;x 
#ca_culture_italian_3;Large Pike Training Ground;;;;;;;;;x 
#ca_culture_russian_1;Small Druzhina Training Ground;;;;;;;;;x 
ca_culture_russian_1;Druzhina Training Ground;;;;;;;;;x 
ca_culture_russian_2;Druzhina Training Ground;;;;;;;;;x 
ca_culture_russian_3;Druzhina Training Ground;;;;;;;;;x 
ca_culture_russian_4;Druzhina Training Ground;;;;;;;;;x 
#ca_culture_russian_3;Large Druzhina Training Ground;;;;;;;;;x 
city_barracks;Militia Barracks;;;;;;;;;x 
city_barracks_2;Enlarged Militia Barracks;;;;;;;;;x 
city_stable;Militia Stable;;;;;;;;;x 
#ct_wall_q_1;City Moat;;;;;;;;;x 
#ct_wall_q_2;City Gatehouse;;;;;;;;;x 
#ct_wall_q_3;City Portcullis;;;;;;;;;x 
#ct_wall_q_4;Deep City Moat;;;;;;;;;x 
#ct_wall_q_5;City Barbicans;;;;;;;;;x 
#ct_wall_1;Town Palisade;;;;;;;;;x 
#ct_wall_2;Small City Wall;;;;;;;;;x 
#ct_wall_3;Medium City Wall;;;;;;;;;x 
#ct_wall_4;Large City Wall;;;;;;;;;x 
#ct_wall_5;Huge City Wall;;;;;;;;;x 
#ct_training_grounds_2;Small Militia Training Grounds;;;;;;;;;x 
#ct_training_grounds_3;Medium Militia Training Grounds;;;;;;;;;x 
#ct_training_grounds_4;Large Militia Training Grounds;;;;;;;;;x 
#ct_training_grounds_5;Huge Militia Training Grounds;;;;;;;;;x 
#ct_barracks_1;Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_2;Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_3;Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_4;Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_5;Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_6;Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_2;City Archery Range;;;;;;;;;x 
#ct_barracks_3;Large Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_4;Large City Archery Range;;;;;;;;;x 
#ct_barracks_5;Huge Militia Mustering Grounds;;;;;;;;;x 
#ct_barracks_6;Huge City Archery Range;;;;;;;;;x 
ct_marketplace_1;Town Market;;;;;;;;;x 
ct_marketplace_2;City Guild Hall;;;;;;;;;x 
ct_marketplace_3;Toll Booth;;;;;;;;;x 
ct_marketplace_4;Court;;;;;;;;;x 
ct_marketplace_5;Assay Office;;;;;;;;;x 
ct_marketplace_6;Fair;;;;;;;;;x 
#ct_port_1;Small Harbour;;;;;;;;;x 
#ct_port_2;Harbour;;;;;;;;;x 
#ct_port_3;Small Port;;;;;;;;;x 
#ct_port_4;Medium Port;;;;;;;;;x 
#ct_port_5;Large Port;;;;;;;;;x 
#tp_wall_q_2;Church Gatehouse;;;;;;;;;x 
#tp_wall_q_3;Church Portcullis;;;;;;;;;x 
#tp_wall_q_4;Deep Church Moat;;;;;;;;;x 
#tp_wall_q_5;Church Barbicans;;;;;;;;;x 
#tp_wall_1;Church Palisade;;;;;;;;;x 
#tp_wall_2;Small Church Wall;;;;;;;;;x 
#tp_wall_3;Medium Church Wall;;;;;;;;;x 
#tp_wall_4;Large Church Wall;;;;;;;;;x 
#tp_wall_5;Huge Church Wall;;;;;;;;;x 
#tp_monastery_1;Small Church;;;;;;;;;x 
tp_monastery_1;Church;;;;;;;;;x 
tp_monastery_2;Church;;;;;;;;;x 
tp_monastery_3;Church;;;;;;;;;x 
#tp_monastery_3;Large Church;;;;;;;;;x 
tp_monastery_4;Cathedral;;;;;;;;;x 
tp_monastery_5;Cathedral;;;;;;;;;x 
tp_monastery_6;Cathedral;;;;;;;;;x 
#tp_monastery_5;Large Cathedral;;;;;;;;;x 
#tp_monastery_6;Grand Cathedral;;;;;;;;;x 
tp_town_1;Church Town;;;;;;;;;x 
tp_town_2;Church Town;;;;;;;;;x 
tp_town_3;Church Town;;;;;;;;;x 
tp_town_4;Church Town;;;;;;;;;x 
tp_town_5;Church Town;;;;;;;;;x 
tp_town_6;Church Town;;;;;;;;;x 
#tp_town_3;Large Church Town;;;;;;;;;x 
#tp_town_4;Church City;;;;;;;;;x 
#tp_town_5;Large Church City;;;;;;;;;x 
GIVEN_GOLD;$NAME$ receives $GOLD$¤;;;;;;;;;x 
CB_NAME_CLAIM;Claim [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_CLAIM;$ORDER$$FIRST_ADJ$ Claim on $OTHER_TITLE$ War;;;;;;;;;x 
CB_NAME_SENIORITY_SUCCESSION_LAW;Seniority Succession Law;;;;;;;;;x 
WAR_NAME_SENIORITY_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Seniority;;;;;;;;;x 
CB_NAME_PRIMOGENITURE_SUCCESSION_LAW;Primogeniture Succession Law;;;;;;;;;x 
WAR_NAME_PRIOGENITURE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Primogeniture;;;;;;;;;x 
CB_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW;Elective Monarchy Succession Law;;;;;;;;;x 
WAR_NAME_FEUDAL_ELECTIVE_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Elective Monarchy;;;;;;;;;x 
CB_NAME_RELIGIOUS;Holy War for [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_RELIGIOUS;$ORDER$$FIRST_ADJ$ Holy War for $OTHER_TITLE$;;;;;;;;;x 
CB_NAME_CRUSADE;$HOLY_WAR$ for [Title.GetBaseName];;;;;;;;;x 
CB_NAME_EXCOMMUNICATED_RULER;Excommunicated ruler;;;;;;;;;x 
WAR_NAME_EXCOMMUNICATED_RULER;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Excommunication War;;;;;;;;;x 
CB_NAME_INDEPENDENCE;Independence;;;;;;;;;x 
WAR_NAME_INDEPENDENCE;$ORDER$War of $FIRST_ADJ$ Independence;;;;;;;;;x 
CB_NAME_OVERTHROWRULER;Overthrow ruler;;;;;;;;;x 
WAR_NAME_OVERTHROWRULER;$ORDER$War against the Tyranny of $DEFENDER$;;;;;;;;;x 
CB_NAME_SUCCESSION;Dispute Succession;;;;;;;;;x 
WAR_NAME_SUCCESSION;$ORDER$$SECOND_ADJ$ Succession Crisis;;;;;;;;;x 
CB_NAME_DEJUREBARONYCLAIM;County Claim on [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ County War over $OTHER_TITLE$;;;;;;;;;x 
ON_CB_ADD_DESC;§YWhen we declare war:§W\n;;;;;;;;;x 
ON_CB_SUCCESS_DESC;§YIf we win the war:§W\n;;;;;;;;;x 
ON_CB_FAIL_DESC;§YIf we make a white peace:§W\n;;;;;;;;;x 
ON_CB_REVERSEDEMAND_DESC;§YIf we lose the war:§W\n;;;;;;;;;x 
ON_CB_ATTACKERDEATH_DESC;§YIf leader of attacking alliance dies:§W\n;;;;;;;;;x 
ON_CB_DEFENDERDEATH_DESC;§YIf leader of defending alliance dies:§W\n;;;;;;;;;x 
ON_CB_THIRDPARTY_DESC;§YIf $CHARACTER$ dies:§W\n;;;;;;;;;x 
CB_NAME_CLAIM_ALL;Press all Claims;;;;;;;;;x 
WAR_NAME_CLAIM_LIEGE;$ATTACKER$'s $ORDER$War for $OTHER_TITLE$;;;;;;;;;x 
claim_desc;This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!;;;;;;;;;x 
claim_on_liege_desc;This Casus Belli can be used by §Y$CLAIMANT$§! to press the claim on the §Y$TITLE$§!;;;;;;;;;x 
other_claim_on_liege_desc;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!;;;;;;;;;x 
invasion_desc;§Y$CLAIMANT$§! has been granted the right to invade the §Y$TITLE$§!. If successful, the titles to all currently occupied holdings will be seized.;;;;;;;;;x 
religious_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;;;;;;;;;x 
excommunicated_ruler_desc;§Y$TARGET$§! has been excommunicated, a just cause for war if ever there was one!;;;;;;;;;x 
bid_for_independence_desc;§Y$CLAIMANT$§! can attempt to declare independence from §Y$TARGET$§!;;;;;;;;;x 
overthrow_ruler_desc;§Y$TARGET$§! has tried and failed to imprison §Y$CLAIMANT$§!, which has resulted in an armed conflict;;;;;;;;;x 
dejure_county_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;;;;;;;;;x 
dejure_barony_claim_desc;The §Y$TITLE$§! is, de jure, a vassal of §Y$CLAIMANT$'s§!, which is cause enough for war.;;;;;;;;;x 
change_seniority_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to seniority!;;;;;;;;;x 
change_primogeniture_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to primogeniture!;;;;;;;;;x 
change_feudal_elective_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to feudal elective!;;;;;;;;;x 
crusade_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;;;;;;;;;x 
change_gavelkind_succession_law_desc;§Y$CLAIMANT$§! can declare war to change the succession law in the §Y$TITLE$§! to gavelkind!;;;;;;;;;x 
CB_NAME_GAVELKIND_SUCCESSION_LAW;Gavelkind Succession Law;;;;;;;;;x 
WAR_NAME_GAVELKIND_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Gavelkind;;;;;;;;;x 
lower_crown_authority_law_desc;§Y$CLAIMANT$§! can declare war to lower Crown Authority in the §Y$TITLE$§!;;;;;;;;;x 
CB_NAME_LOWER_CROWN_AUTHORITY_LAW;Lower Crown Authority;;;;;;;;;x 
WAR_NAME_LOWER_CROWN_AUTHORITY_LAW;$ORDER$$SECOND_ADJ$ Civil War to lower Crown Authority;;;;;;;;;x 
SEARCH_ALL;Search All;;;;;;;;;x 
SEARCH_REALM;Search Realm;;;;;;;;;x 
SEARCH_VASSALS;Search Vassals;;;;;;;;;x 
CHAR_MARRIED;Married;;;;;;;;;x 
CHAR_UNMARRIED;Unmarried;;;;;;;;;x 
FILTER_YES;Yes;;;;;;;;;x 
FILTER_NO;No;;;;;;;;;x 
FILTER_ANY;Any;;;;;;;;;x 
FILTER_RULER;Ruler;;;;;;;;;x 
FILTER_PRISON;In Prison;;;;;;;;;x 
FILTER_GENDER;Gender;;;;;;;;;x 
FILTER_MARRIAGE;Married;;;;;;;;;x 
FILTER_ADULT;Adult;;;;;;;;;x 
FILTER_LANDED_DYNASTY;Great House;;;;;;;;;x 
CHAR_NAME;Name;;;;;;;;;x 
CHAR_BOTH;Both;;;;;;;;;x 
YOUR_RELATION;Your $RELATION$;;;;;;;;;x 
YOU;You;;;;;;;;;x 
CHARACTER_TOOLTIP;§Y[GetBestName]§!§P[GetHumanNameLine]§!§G[GetPlayerRelation]§!\n[GetHighestTitles];;;;;;;;;x 
CHARACTER_TOOLTIP_DELAYED;[GetStatusInfo];;;;;;;;;x 
no_tactic;No Tactic;;;;;;;;;x 
generic_skirmish_tactic;Generic Skirmish Tactic;;;;;;;;;x 
harass_tactic;Harass Tactic;;;;;;;;;x 
volley_tactic;Volley Tactic;;;;;;;;;x 
swarm_volley_tactic;Swarm Volley Tactic;;;;;;;;;x 
swarm_tactic;Swarm Tactic;;;;;;;;;x 
shieldwall_tactic;Shieldwall Tactic;;;;;;;;;x 
fient_tactic;Feint Tactic;;;;;;;;;x 
prepare_tactic;Prepare Tactic;;;;;;;;;x 
charge_of_opportunity_tactic;Charge of Opportunity;;;;;;;;;x 
charge_tactic;Charge Tactic;;;;;;;;;x 
wait_tactic;Wait Tactic;;;;;;;;;x 
advance_tactic;Advance Tactic;;;;;;;;;x 
awesome_advance_tactic;Awesome Advance Tactic;;;;;;;;;x 
stand_fast_tactic;Stand Fast Tactic;;;;;;;;;x 
slow_advance_tactic;Slow Advance;;;;;;;;;x 
barrage_tactic;Barrage Tactic;;;;;;;;;x 
raid_tactic;Raid Tactic;;;;;;;;;x 
pursue_tactic;Pursue Tactic;;;;;;;;;x 
CHAR_BORN_AND_DEATH_DATE;[GetBornAndDeathDate];;;;;;;;;x 
CHAR_INSTANT_PLAYER_OPINION;[GetInstantPlayerOpinion];;;;;;;;;x 
CHAR_DELAYED_PLAYER_OPINION;[GetDelayedPlayerOpinion];;;;;;;;;x 
CHAR_INSTANT_LIEGE_OPINION;[GetInstantLiegeOpinion];;;;;;;;;x 
CHAR_DELAYED_LIEGE_OPINION;[GetDelayedLiegeOpinion];;;;;;;;;x 
CHAR_DIPLOMACY;Diplomacy: §Y[GetDiplomacy]§W;;;;;;;;;x 
CHAR_DIPLOMACY_BREAKDOWN;[GetDiplomacyBreakdown];;;;;;;;;x 
CHAR_MARTIAL;Martial: §Y[GetMartial]§W;;;;;;;;;x 
CHAR_MARTIAL_BREAKDOWN;[GetMartialBreakdown];;;;;;;;;x 
CHAR_STEWARDSHIP;Stewardship: §Y[GetStewardship]§W;;;;;;;;;x 
CHAR_STEWARDSHIP_BREAKDOWN;[GetStewardshipBreakdown];;;;;;;;;x 
CHAR_INTRIGUE;Intrigue: §Y[GetIntrigue]§W;;;;;;;;;x 
CHAR_INTRIGUE_BREAKDOWN;[GetIntrigueBreakdown];;;;;;;;;x 
CHAR_LEARNING;Learning: §Y[GetLearning]§W;;;;;;;;;x 
CHAR_LEARNING_BREAKDOWN;[GetLearningBreakdown];;;;;;;;;x 
CHAR_PRIMARY_TITLES;[GetPrimaryTitles];;;;;;;;;x 
CHAR_ONLY_DYNASTYNAME;[GetOnlyDynastyName];;;;;;;;;x 
CHAR_DEBUG_INFO;[GetStatusInfo];;;;;;;;;x 
CHAR_FULLNAME;[GetFullName];;;;;;;;;x 
CHAR_DEMESNESIZERATIO;[GetDemesneSizeRatio];;;;;;;;;x 
CHAR_MONTHLY_INCOME;[GetMonthlyIncome];;;;;;;;;x 
CHAR_MONTHLY_PRESTIGE;[GetMonthlyPrestige];;;;;;;;;x 
CHAR_MONTHLY_PRESTIGE_BREAKDOWN;[GetMonthlyPrestigeBreakdown];;;;;;;;;x 
CHAR_MONTHLY_PIETY;[GetMonthlyPiety];;;;;;;;;x 
CHAR_MONTHLY_PIETY_BREAKDOWN;[GetMonthlyPietyBreakdown];;;;;;;;;x 
alpha_story_load;A test story;;;;;;;;;x 
alpha_story_title;Testing Story;;;;;;;;;x 
alpha_story_desc;This would describe it if it was a true story..;;;;;;;;;x 
swedish;Swedish;;;;;;;;;x 
norwegian;Norwegian;;;;;;;;;x 
danish;Danish;;;;;;;;;x 
german;German;;;;;;;;;x 
english;English;;;;;;;;;x 
saxon;Anglo-Saxon;;;;;;;;;x 
dutch;Dutch;;;;;;;;;x 
#frankish;Frankish;;;;;;;;;x 
norman;Norman;;;;;;;;;x 
italian;Italian;;;;;;;;;x 
occitan;Occitan;;;;;;;;;x 
basque;Basque;;;;;;;;;x 
castillan;Castilian;;;;;;;;;x 
catalan;Catalan;;;;;;;;;x 
portuguese;Portuguese;;;;;;;;;x 
armenian;Armenian;;;;;;;;;x 
abghazian;Abkhazian;;;;;;;;;x 
greek;Demotic;;;;;;;;;x 
alan;Alan;;;;;;;;;x 
georgian;Georgian;;;;;;;;;x 
irish;Irish;;;;;;;;;x 
scottish;Scottish;;;;;;;;;x 
welsh;Welsh;;;;;;;;;x 
breton;Breton;;;;;;;;;x 
finnish;Finnish;;;;;;;;;x 
lappish;Lappish;;;;;;;;;x 
ugricbaltic;Estonian;;;;;;;;;x 
