#CODE;ENGLISH;;;;;;;;;x 
EVTTOOLTIP6358;A fateful collision...;;;;;;;;;x 
EVTDESC6358;I awoke in my own bed weak and sweating. The servants told me that they had found me on the shore, naked and half-drowned. I asked them about the creature and the ship but they just looked at me with worried eyes and shook their heads. It seems I am the only living witness to these events.;;;;;;;;;x 
EVTOPTA6358;I must put them to print;;;;;;;;;x 
EVTOPTB6358;Fools! I saved you all!;;;;;;;;;x 
LOWER_RELATIVE_POWER;Army is less than §Y$VAL$%§W of §Y$OTHER$§W.;;;;;;;;;x 
HIGHER_RELATIVE_POWER;Army is at least §Y$VAL$%§W of §Y$OTHER$§W.;;;;;;;;;x 
TRIBAL_TITLE_DESTROYED_SETUP;Tribal Title Abandoned;;;;;;;;;x 
TRIBAL_TITLE_DESTROYED_LOG;The formal title '§Y$TITLE$?' has been abandoned.;;;;;;;;;x 
TRIBAL_TITLE_DESTROYED_LETTER;There is no reason to formally use the title '§Y$TITLE$?' anymore - it sounds primitive and shall henceforth be abandoned.;;;;;;;;;x 
killed_an_old_one;Godslayer;;;;;;;;;x 
alert_can_reform_religion_name;§YReligion can be Reformed?;;;;;;;;;x 
alert_can_reform_religion_instant;§YReligion can be Reformed?;;;;;;;;;x 
alert_can_reform_religion_delayed;The §Y$RELIGION$? faith can be reformed into an organized religion;;;;;;;;;x 
HOLYSITE_CONTROL_OURS;The Holy Site of §Y$SITENAME$? is completely under the control of §Y$RELIGION$?;;;;;;;;;x 
HOLYSITE_CONTROL_PARTIAL;The Holy Site of §Y$SITENAME$? is held by a member of §Y$RELIGION$?, but is a vassal of another religion;;;;;;;;;x 
HOLYSITE_CONTROL_NOT;The Holy Site of §Y$SITENAME$? is not held by a member of §Y$RELIGION$?;;;;;;;;;x 
HOLYSITE_LOCATION;The Holy Site of §Y$SITENAME$? is located in the county of §Y$COUNTY$?;;;;;;;;;x 
INTERACTION_REQUIRES_NO_LOOTING_HOSTILITY;We cannot declare war on §Y$RECIPIENT$? while we are raiding them;;;;;;;;;x 
FROM_ATTRIBUTES;From Attributes: §G+$AMOUNT$?;;;;;;;;;x 
HOLY_SITES_LESS;Does NOT control at least §Y$VAL$§W holy sites\n;;;;;;;;;x 
HOLY_SITES_LEAST;Controls at least §Y$VAL$§W holy sites\n;;;;;;;;;x 
MAJOR_RIVER_SHORT;Crossing of the Major River §Y$RIVER$? to §Y$TO$?;;;;;;;;;x 
MAJOR_RIVER_DESC;When attacking over a Major River, the attacking army will get a significant combat penalty;;;;;;;;;x 
RETCAP_FROM_REALM;From Realm: §G$REALM$?\n   Holdings: §Y$HOLDINGS$?\n   Cap per Holding: §Y$PERHOLDING$?\n;;;;;;;;;x 
RETCAP_FROM_BUILDINGS;From Buildings: §G$AMOUNT$?\n;;;;;;;;;x 
RETCAP_FROM_TECH;From Technology: §G+$PERCENT$%?\n;;;;;;;;;x 
RETCAP_MINIMUM_RETINUE;Minimum Retinue: §Y$MIN$?\n;;;;;;;;;x 
RETCAP_FROM_RELIGION;From Religion: $AMOUNT$\n;;;;;;;;;x 
RETCAP_TOTAL;\nTotal: §Y$TOTAL$?;;;;;;;;;x 
RAISE_COUNTY_LEVIES;Raise County Levies;;;;;;;;;x 
RAISE_COUNTY_FLEETS;Raise County Fleets;;;;;;;;;x 
TECH_DEM_INC_EMPERORS;§G+$AMOUNT$? Demesne size for Emperors;;;;;;;;;x 
TECH_DEM_INC_KINGS;§G+$AMOUNT$? Demesne size for Kings;;;;;;;;;x 
TECH_DEM_INC_DUKES;§G+$AMOUNT$? Demesne size for Dukes;;;;;;;;;x 
TECH_DEM_INC_COUNTS;§G+$AMOUNT$? Demesne size for Counts;;;;;;;;;x 
TECH_DEM_INC_BARONS;§G+$AMOUNT$? Demesne size for Barons;;;;;;;;;x 
#MONTHLY_PIETY_TO_LIEGE;Monthly Piety to Liege:\n;;;;;;;;;x 
HINT_TECH_VIEW_TEXT_2;All Rulers above the rank of Count accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.;;;;;;;;;x 
UNDER_PLAYER;This Holy Site is under your control;;;;;;;;;x 
RELIGION_UNIT_MODIFIER;Modifier to all Units and Holdings controlled by this religion:;;;;;;;;;x 
RELIGION_UNIT_HOME_MODIFIER;Additional Modifier in provinces of this religion:;;;;;;;;;x 
PROVINCE_HAS_HOLYSITE;This County contains §Y$HOLYSITE$?, a Holy Site of §Y$RELIGION$?;;;;;;;;;x 
recently_conquered;Recently conquered;;;;;;;;;x 
new_administration;New Administration;;;;;;;;;x 
#obj_become_king_title;Become King of [This.Capital.Kingdom.GetName];;;;;;;;;x 
#obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName]. If pagan, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom.;;;;;;;;;x 
#obj_become_king_tip;Is King of [This.Capital.Kingdom.GetName];;;;;;;;;x 
won_crusade;Victorious in Crusade;;;;;;;;;x 
lost_crusade;Defeated in Crusade;;;;;;;;;x 
won_holy_war;Won Holy Wars;;;;;;;;;x 
lost_holy_war;Lost Holy Wars;;;;;;;;;x 
paragon_of_virtue;Paragons of Virtue;;;;;;;;;x 
ruler_bowed_to_pope;Papal Demands Accepted;;;;;;;;;x 
ruler_defied_pope;Papal Demands Refused;;;;;;;;;x 
ruler_bowed_to_patriarch;Patriarchal Demands Accepted;;;;;;;;;x 
ruler_defied_patriarch;Patriarchal Demands Refused;;;;;;;;;x 
religious_order_formed;Religious Orders Formed;;;;;;;;;x 
head_of_religion_neglect;Neglectful Head of Religion;;;;;;;;;x 
convert_to_attacker_religion;Convert to Attacker's Religion;;;;;;;;;x 
convert_to_attacker_religion_desc;We are currently under attack for religious reasons. If I accept conversion, I can end this war now and protect my people...;;;;;;;;;x 
#VASSAL_OPINION_CHANGE;All vassals' opinion of §Y$ABOUT$? changes by $MUCH$;;;;;;;;;x 
OPINION_CHANGE;§Y$ACTIVE$'s? opinion of §Y$PASSIVE$? changes by $MUCH$;;;;;;;;;x 
OPINION_CHANGE_TIMER;for §Y$TIME$? $TIMEUNIT$.;;;;;;;;;x 
HOSTILE_LOOTING;§YHostile? and raiding §Y$ENEMY$? for loot.\nThis will last another §Y$DAYS$? days.;;;;;;;;;x 
HOSTILE_LOOTED;§YHostile? towards §Y$ENEMY$? due to being raided.\nThis will last another §Y$DAYS$? days.;;;;;;;;;x 
HOSTILE_BOTH_LOOTING;§YHostile? towards §Y$ENEMY$? due to mutual raids.\nThis will last another §Y$DAYS$? days.;;;;;;;;;x 
TIMEUNIT_YEARS;years;;;;;;;;;x 
TIMEUNIT_MONTHS;months;;;;;;;;;x 
ca_shipyard_1;Castle Shipyard;;;;;;;;;x 
ca_shipyard_2;Castle Shipyard;;;;;;;;;x 
ca_shipyard_3;Castle Shipyard;;;;;;;;;x 
ca_shipyard_4;Castle Shipyard;;;;;;;;;x 
ct_shipyard_1;City Shipyard;;;;;;;;;x 
ct_shipyard_2;City Shipyard;;;;;;;;;x 
ct_shipyard_3;City Shipyard;;;;;;;;;x 
ct_shipyard_4;City Shipyard;;;;;;;;;x 
tp_shipyard_1;Temple Shipyard;;;;;;;;;x 
tp_shipyard_2;Temple Shipyard;;;;;;;;;x 
tp_shipyard_3;Temple Shipyard;;;;;;;;;x 
tp_shipyard_4;Temple Shipyard;;;;;;;;;x 
shipyard_desc;Skilled shipwrights are hard at work here, building all sorts of seafaring vessels.;;;;;;;;;x 
TOGGLE_LOOTER;Toggle Looter;;;;;;;;;x 
TOGGLE_LOOTER_DESC;Setting this Unit to be a Looter will allow it to loot the provinces and holdings of other rulers.\nThis will cause a temporary state of hostility with them however, allowing them to attack any of your troops;;;;;;;;;x 
REL_AUTHORITY_CHANGE;§Y$RELIGION$?: $PERC$ Moral Authority for §Y$TIME$? $TIMEUNIT$.\n;;;;;;;;;x 
IS_HOLY_CITY_FOR_RELIGION;The §Y$RELIGION$? faith considers §Y$HOLDING$? a holy site;;;;;;;;;x 
IS_HOLY_CITY_FOR_RELIGION_2;They have control of the holding;;;;;;;;;x 
IS_HOLY_ORDER;Is Holy Order;;;;;;;;;x 
IS_NOT_HOLY_ORDER;Is NOT Holy Order;;;;;;;;;x 
opinion_looted;Pillaged my Lands;;;;;;;;;x 
opinion_heir_guardian_my_culture;Heir Educated with Proper Culture;;;;;;;;;x 
opinion_heir_guardian_foreign_culture;Heir Educated with Foreign Culture;;;;;;;;;x 
PORTAGE;Portage between §Y$FROM$? and §Y$TO$?;;;;;;;;;x 
PORTAGE_DESC;A Portage allows ships to move between Major Rivers over a land province;;;;;;;;;x 
HOLY_SITE_CONTROLLED;(controlled);;;;;;;;;x 
HOLY_SITE_PARTIALLY_CONTROLLED;(partial control);;;;;;;;;x 
HOLY_SITE_NOT_CONTROLLED;(not controlled);;;;;;;;;x 
RELHEAD_CONTROLS;controls a holy site;;;;;;;;;x 
HOLY_SITE_OF;Holy Site of;;;;;;;;;x 
RELHEAD_DIPLO;Diplomacy of;;;;;;;;;x 
RELHEAD_PIETY;[Player.Religion.GetPietyName] of;;;;;;;;;x 
ORGANIZED_RELIGION;Organized Religion;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_CAN_MARRY;§Y[Recipient.GetTitledName]? must be able to marry and produce heirs;;;;;;;;;x 
INTERACTION_PREP_INV_ALREADY_TARGETTED;§Y[Recipient.GetTitledName]? is not already targeted by a Prepared Invasion;;;;;;;;;x 
INTERACTION_PREP_INV_ONLY_ONCE;§Y[Actor.GetTitledName]? can only prepare one invasion in [Actor.GetPossPronoun] lifetime;;;;;;;;;x 
MORAL_AUTHORITY_OF_RELIGION;Moral Authority of the §Y$RELIGION$? faith: §Y$AUTHORITY$%?;;;;;;;;;x 
EVTNAME670;The [Root.Religion.GetName] Reformation;;;;;;;;;x 
EVTDESC670;The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;;;;;;;;;x 
EVTOPTA670;For [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTOPTB670;Embrace the Reformation!;;;;;;;;;x 
EVTOPTC670;The old ways are still best;;;;;;;;;x 
EVTOPTD670;They are still barbarians!;;;;;;;;;x 
NUM_CULTURE_REALM_PROVS_LESS;Fewer than §Y$NUM$? §Y$CULTURE$? Counties in Realm;;;;;;;;;x 
NUM_CULTURE_REALM_PROVS_MORE;At least §Y$NUM$? §Y$CULTURE$? Counties in Realm;;;;;;;;;x 
NUM_TITLE_REALM_PROVS_LESS;Fewer than §Y$NUM$? Counties within the §Y$TITLE$? in Realm;;;;;;;;;x 
NUM_TITLE_REALM_PROVS_MORE;At least §Y$NUM$? Counties within the §Y$TITLE$? in Realm;;;;;;;;;x 
d_norse_pagan_reformed;The Fylkirate;;;;;;;;;x 
d_norse_pagan_reformed_adj;Norse;;;;;;;;;x 
d_baltic_pagan_reformed;The Romuvan Church;;;;;;;;;x 
d_baltic_pagan_reformed_adj;Romuva;;;;;;;;;x 
d_slavic_pagan_reformed;The Slavic Church;;;;;;;;;x 
d_slavic_pagan_reformed_adj;Slavic;;;;;;;;;x 
d_tengri_pagan_reformed;The Tengri Church;;;;;;;;;x 
d_tengri_pagan_reformed_adj;Tengri;;;;;;;;;x 
d_finnish_pagan_reformed;The Suomenusko Church;;;;;;;;;x 
d_finnish_pagan_reformed_adj;Suomenusko;;;;;;;;;x 
d_aztec_pagan_reformed;The Aztec Church;;;;;;;;;x 
d_aztec_pagan_reformed_adj;Aztec;;;;;;;;;x 
d_west_african_pagan_reformed;West African Church;;;;;;;;;x 
d_west_african_pagan_reformed_adj;West African;;;;;;;;;x 
e_slavinia;Slavinia;;;;;;;;;x 
e_slavinia_adj;Slavinian;;;;;;;;;x 
e_tartaria;Tartaria;;;;;;;;;x 
e_tartaria_adj;Tartar;;;;;;;;;x 
e_carpathia;Carpathia;;;;;;;;;x 
e_carpathia_adj;Carpathian;;;;;;;;;x 
d_york_adj_norse;Jorvik;;;;;;;;;x 
d_york_adj_swedish;Jorvik;;;;;;;;;x 
d_york_adj_danish;Jorvik;;;;;;;;;x 
d_york_adj_norwegian;Jorvik;;;;;;;;;x 
d_pecs_adj_bohemian;Balaton;;;;;;;;;x 
c_pecs_adj_bohemian;Balaton;;;;;;;;;x 
d_ungvar_adj_croatian;Chrobatian;;;;;;;;;x 
k_asturias;Asturias;;;;;;;;;x 
k_asturias_adj;Asturian;;;;;;;;;x 
d_lendians;Lendians;;;;;;;;;x 
d_lendians_adj;Lendian;;;;;;;;;x 
d_kryvians;Kryvians;;;;;;;;;x 
d_kryvians_adj;Kryvian;;;;;;;;;x 
d_vyatichi;Vyatichi;;;;;;;;;x 
d_vyatichi_adj;Vyatich;;;;;;;;;x 
d_severians;Severians;;;;;;;;;x 
d_severians_adj;Severian;;;;;;;;;x 
d_glomacze;Glomacze;;;;;;;;;x 
d_glomacze_adj;Glomacz;;;;;;;;;x 
d_sorbs;Sorbs;;;;;;;;;x 
d_sorbs_adj;Sorbian;;;;;;;;;x 
d_obotrites;Obotrites;;;;;;;;;x 
d_obotrites_adj;Obotrite;;;;;;;;;x 
d_brandenburg_adj_pommeranian;Brennaburgian;;;;;;;;;x 
d_mecklemburg_adj_pommeranian;Weligradian;;;;;;;;;x 
WEST_FRANCIA;West Francia;;;;;;;;;x 
WEST_FRANCIA_ADJ;West Francian;;;;;;;;;x 
EAST_FRANCIA;East Francia;;;;;;;;;x 
EAST_FRANCIA_ADJ;East Francian;;;;;;;;;x 
FYLKIR;Fylkir;;;;;;;;;x 
FYLKJA;Fylkja;;;;;;;;;x 
FYLKIR_FOA;Your Holiness;;;;;;;;;x 
HEAD_PRIEST;High Priest;;;;;;;;;x 
HEAD_PRIESTESS;High Priestess;;;;;;;;;x 
HEAD_PRIEST_FOA;Your Holiness;;;;;;;;;x 
TRIBAL;Tribal;;;;;;;;;x 
TRIBAL_TITLE;§YTribal Title? (cannot have de jure vassals);;;;;;;;;x 
TRIBAL_TITLE_DESC;Tribal Titles do not and cannot have de jure vassal titles. If a tribal chief gains control of a proper title of the same or higher rank, the tribal title will be destroyed forever.;;;;;;;;;x 
TITULAR_TITLE_DESC;Titular Titles do not have any de jure vassals under them. However, given time, vassal duchies and kingdoms can become their de jure vassals, making the titular title a 'proper' one.;;;;;;;;;x 
ISNT_VALID_PREP_INV_TARGET;§Y$CHAR$?'s holdings in the §Y$TITLE$? can NOT be taken through a Prepared Invasion;;;;;;;;;x 
IS_VALID_PREP_INV_TARGET;§Y$CHAR$?'s holdings in the §Y$TITLE$? can be taken through a Prepared Invasion;;;;;;;;;x 
NOT_ENOUGH_AUTHORITY_TO_REFORM_RELIGION;§RThe Moral Authority of §Y$RELIGION$§R must be at least §Y$NEED$?;;;;;;;;;x 
NOT_ENOUGH_HOLY_SITES_TO_REFORM_RELIGION;§RYou only control §Y$CURRENT$§R of the §Y$RELIGION$§R holy sites, you need at least §Y$NEED$?;;;;;;;;;x 
NOT_ENOUGH_PIETY_TO_REFORM_RELIGION;§RWe need at least §Y$NEED$§R $PIETYNAME$?;;;;;;;;;x 
REFORM_RELIGION;Reform the $RELIGION$ Faith;;;;;;;;;x 
REFORM_RELIGION_DESC;Reforming the $RELIGION$ faith will turn it into an organized religion with a religious head. Unless you control all of the Holy Sites, doing so requires §Y$AUTHORITY_REQ$? Moral Authority and control of §Y$HOLY_SITES_REQ$? $RELIGION$ holy sites. It will cost you §R$PIETY_COST$? [Player.Religion.GetPietyName]. Rulers of a Reformed Pagan religion can use the Holy War Casus Belli, get access to most succession laws, no longer suffer Prestige loss while at peace, and will have less trouble with independent minded vassals. However, they also lose the defensive supply limit penalty for religious enemies in their territory and vassals will get upset if you have their levies raised for too long for no good reason.;;;;;;;;;x 
title_courtesan;Concubine;;;;;;;;;x 
REVOLT_SHARED_TICKING_WS_DESC;$PERC$: The Rebels Control all their Holdings;;;;;;;;;x 
REFORMED;Reformed;;;;;;;;;x 
BM_THE_OLD_GODS;The Old Gods;;;;;;;;;x 
BM_THE_OLD_GODS_DESC;§Y'How the little piglets would grunt if they knew how the old boar suffered.'? Those were the prophetic last words of the legendary viking §YRagnarr Loðbrok? as he lay dying in the snake pit of Northumbrian king §YÆlla?. In 867 the vengeful sons of Loðbrok and their 'Great Heathen Army' descended upon the petty kingdoms of Britain to make of §YÆlla? a 'Blood Eagle'. Meanwhile, two other Norse lords - §YRurik? and §YDyre? - were carving out their own rival states among the Slavic and Finnish tribes of the East, laying down the foundations for what would one day become Russia. The Old Gods are still strong and their warriors mighty!;;;;;;;;;x 
k_magyar;Magyars;;;;;;;;;x 
k_magyar_adj;Magyar;;;;;;;;;x 
d_grodno;Grodno;;;;;;;;;x 
d_grodno_adj;Grodnian;;;;;;;;;x 
d_jazira;Jazira;;;;;;;;;x 
d_jazira_adj;Jaziran;;;;;;;;;x 
d_hlynov_adj;Ugran;;;;;;;;;x 
d_armenia_minor_adj;Cilician;;;;;;;;;x 
d_dregovichi;Dregovichi;;;;;;;;;x 
d_radimichi;Radimichi;;;;;;;;;x 
c_viken_adj_norse;Alfish;;;;;;;;;x 
RAIDER_ARMY;Raiders;;;;;;;;;x 
RAIDER_ARMY_NAME;Raiders of $NAME$;;;;;;;;;x 
DEMESNE_TITLE_STARTS;Any Held Title;;;;;;;;;x 
truce_breaker;Truce Breaker;;;;;;;;;x 
create_hungary;Create Hungary;;;;;;;;;x 
create_hungary_desc;The Magyar tribes have travelled far and fought viciously against nomads, farmers and city dwellers alike. The fertile plains of the Carpathian basin may offer us peace and succor - a new homeland at last...;;;;;;;;;x 
create_leon;Create the Kingdom of León;;;;;;;;;x 
create_leon_desc;With our capital in León, the kingdom will shift its political impetus away from Asturias and the periphery towards the heartlands of the Iberian peninsula.;;;;;;;;;x 
convert_to_reformed;Convert to Reformed;;;;;;;;;x 
convert_to_reformed_desc;I can choose to embrace the Reformed form of the old faith - perhaps better late than never...;;;;;;;;;x 
convert_to_spouse_catholic;Convert to Catholicism;;;;;;;;;x 
convert_to_spouse_catholic_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;;;;;;;;;x 
convert_to_spouse_orthodox;Convert to Orthodoxy;;;;;;;;;x 
convert_to_spouse_orthodox_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;;;;;;;;;x 
convert_to_spouse_sunni;Convert to Sunni Islam;;;;;;;;;x 
convert_to_spouse_sunni_desc;The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?;;;;;;;;;x 
convert_to_spouse_shiite;Convert to Shi'a Islam;;;;;;;;;x 
convert_to_spouse_shiite_desc;The pillow talk of a spouse or concubine can be very persuasive. Can this Allah beat the Old Gods though?;;;;;;;;;x 
convert_to_spouse_zoroastrian;Convert to Zoroastrianism;;;;;;;;;x 
convert_to_spouse_zoroastrian_desc;The pillow talk of a spouse or concubine can be very persuasive. Zoroaster was undoubtedly a wise prophet - perhaps life really is a struggle between good and evil?;;;;;;;;;x 
convert_to_spouse_miaphysite;Convert to Miaphysitism;;;;;;;;;x 
convert_to_spouse_miaphysite_desc;The pillow talk of a spouse or concubine can be very persuasive. This White Christ does not sound very warlike though...;;;;;;;;;x 
opinion_regent_lowered_CA;Lowered Crown Authority;;;;;;;;;x 
EVTDESC61300;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Crown Authority in the [Root.PrimaryTitle.Kingdom.GetName]...;;;;;;;;;x 
EVTOPTA61300;Make it so!;;;;;;;;;x 
EVTOPTB61300;No, the Crown comes first!;;;;;;;;;x 
EVTDESC61301;My regent, [From.GetTitledName], has managed to push through a law lowering the Crown Authority in the [Root.PrimaryTitle.Kingdom.GetName]!;;;;;;;;;x 
EVTOPTA61301;I shall remember this...;;;;;;;;;x 
EVTDESC61302;My position as regent to [Root.Liege.GetTitledName] would allow me to lower the Crown Authority in the [Root.PrimaryTitle.Empire.GetName]...;;;;;;;;;x 
EVTDESC61303;My regent, [From.GetTitledName], has managed to push through a law lowering the Crown Authority in the [Root.PrimaryTitle.Empire.GetName]!;;;;;;;;;x 
EVTTOOLTIP62910;I am crowned King of Hungary;;;;;;;;;x 
EVTNAME62910;A New Kingdom;;;;;;;;;x 
EVTDESC62910;The Magyar tribes have travelled far and fought viciously against nomads, farmers and city dwellers alike. The fertile plains of the Carpathian basin may offer us peace and succor - a new homeland at last!;;;;;;;;;x 
EVTOPTA62910;We will run no more!;;;;;;;;;x 
EVTNAME62911;Magyar Nomads no More;;;;;;;;;x 
EVTDESC62911;The King of the Magyars, [From.GetFirstName], has decided to settle down in the Carpathian basin, making it the new homeland of the Magyar tribes.;;;;;;;;;x 
EVTOPTA62911;Interesting...;;;;;;;;;x 
#EVTTOOLTIP62920;I am crowned King of León;;;;;;;;;x 
#EVTNAME62920;The Kingdom of León;;;;;;;;;x 
#EVTDESC62920;With our new capital in León, I have decided to rename the kingdom of Asturias to León, thereby clearly declaring my ambitions in the Iberian heartlands...;;;;;;;;;x 
EVTOPTA62920;Let this be the dawn of a new era!;;;;;;;;;x 
#EVTNAME62921;The Kingdom of León;;;;;;;;;x 
#EVTDESC62921;[From.GetTitledName] has decided to rename [From.GetPossPronoun] kingdom to León after its new capital, signaling an increased political focus on the Iberian heartlands and away from the coastal periphery.;;;;;;;;;x 
EVTOPTA62921;Asturias or León... what's the difference?;;;;;;;;;x 
EVTNAME62930;The Kingdom of France;;;;;;;;;x 
EVTDESC62930;With the end of Carolingian domination of West Francia, the realm is now more commonly referred to as the Kingdom of France.;;;;;;;;;x 
EVTOPTA62930;I like it!;;;;;;;;;x 
EVTNAME62931;The Kingdom of Germany;;;;;;;;;x 
EVTDESC62931;With the end of Carolingian domination of East Francia, the realm is now more commonly referred to as the Kingdom of Germany.;;;;;;;;;x 
EVTOPTA62931;I like it!;;;;;;;;;x 
ANY_CONSORT_STARTS;Any Concubine;;;;;;;;;x 
CONSORT_IRO_1;is;;;;;;;;;x 
CONSORT_IRO_2;s concubine and not truly married. However, any children she bears him will be considered legitimate.;;;;;;;;;x 
TAKECONSORTEFFECT;§Y$WHO$? becomes a concubine of §Y$SPOUSE$?.\n;;;;;;;;;x 
REMOVECONSORTEFFECT;§Y$CONSORT$? will no longer be a concubine of §Y$WHO$?.\n;;;;;;;;;x 
IS_PARENT_REL;Is NOT a Heresy;;;;;;;;;x 
IS_NOT_PARENT_REL;Is a Heresy;;;;;;;;;x 
IS_REFORMED_REL;Is a Reformed Religion;;;;;;;;;x 
IS_NOT_REFORMED_REL;Is NOT a Reformed Religion;;;;;;;;;x 
IS_REFORMED_REL_OF;Is the Reformed version of §Y$RELIGION$? Religion;;;;;;;;;x 
IS_NOT_REFORMED_REL_OF;Is NOT the Reformed version of §Y$RELIGION$? Religion;;;;;;;;;x 
IS_NOT_CONSORT;Is NOT a Concubine;;;;;;;;;x 
OLD_RELIGION;Old;;;;;;;;;x 
MAKE_PRIMARY_TITLE_EFFECT;The §Y$TITLE$? becomes the primary title of §Y$HOLDER$?\n;;;;;;;;;x 
IS_CONSORT;Is a Concubine;;;;;;;;;x 
IS_NOT_CONSORT_OF;Is NOT a Concubine of §Y$WHO$?;;;;;;;;;x 
IS_CONSORT_OF;Is a Concubine of §Y$WHO$?;;;;;;;;;x 
FAM_CONSORT_HUSBAND;Man;;;;;;;;;x 
CANCEL_JOB_ACTION_EFFECT;Cancels the Current Job;;;;;;;;;x 
AIREASON_NOT_MY_LOVER;§Y[GetTitledFirstName]? is my lover;;;;;;;;;x 
AIREASON_NOT_CONSORT_RELIGION;The §Y[Religion.GetName]? faith does not permit the taking of concubines;;;;;;;;;x 
AIREASON_CONSORT_IS_MY_HEIR;Is my heir;;;;;;;;;x 
AIREASON_CONSORT_CHILD;Is my child;;;;;;;;;x 
AIREASON_CONSORT_CLOSE_RELATIVE;Is my close relative;;;;;;;;;x 
AIREASON_CONSORT_TOO_LOW_RANK;§Y[GetTitledFirstName]? is of too lowly rank for such a highborn concubine;;;;;;;;;x 
AIREASON_NO_WAR_AGAINST_REL_BRETHREN;Will not join religious enemies against brothers of the Faith;;;;;;;;;x 
INTERACTION_CONSORTS_MUST_MARRY_LIEGE;Concubines can only marry their liege!;;;;;;;;;x 
