#CODE;ENGLISH;;;;;;;;;x 
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;;;;;;;;;x 
EVTDESC39661;The Roman Empire in the East. Byzantium - Christianity's firm bulwark against the Mohammedan infidels of the Orient - is failing. The dire situation has convinced His Holiness, [Root.GetTitledName], to accept the possibility of an outright invasion by joint Christian forces. This signals a new era of large scale Christian holy wars - the Crusades.;;;;;;;;;x 
EVTDESC39662;Rome, the city of Saint Peter and the very seat of the Papacy itself, has fallen to infidels. In response, the Pope-in-exile, His Holiness, [Root.GetTitledName], has declared his intention to forge a great alliance of Christian lords in order to reclaim the eternal city. This signals a new era of large scale Christian holy wars - the Crusades.;;;;;;;;;x 
EVTDESC39663;The very heartlands of Western Christianity are under siege by infidels! Desperate Christian lords have persuaded His Holiness, [Root.GetTitledName], to declare his intention of forging a great and righteous alliance to expel the heathens in the name of God. This signals a new era of large scale Christian holy wars - the Crusades.;;;;;;;;;x 
EVTNAME39670;Renewed Jihad;;;;;;;;;x 
EVTDESC39670;His Magnificence, [Root.GetTitledName], has been convinced by his [Root.Religion.GetPriestTitle]s that it is time to declare another era of Great Conquests, such as was the case under the first Caliphs. The Dar al-Islam must grow again. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.;;;;;;;;;x 
EVTOPTA39670;Allahu Akbar!;;;;;;;;;x 
EVTOPTB39670;Disturbing News;;;;;;;;;x 
EVTDESC39671;The Holy City of Jerusalem, where the Prophet was taken up to heaven, has fallen to infidels! His Magnificence, [Root.GetTitledName], will not let this stand, and has declared that another era of Great Conquests is upon us, such as was the case in the days of the first Caliphs. The Dar al-Islam must be defended! All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.;;;;;;;;;x 
EVTDESC39672;The unthinkable has happened! The holy city of Mecca has fallen to infidels and the Kaaba is even now being defiled by their very presence. His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The holy city must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.;;;;;;;;;x 
EVTDESC39673;The House of Islam is under grave threat from the onslaught of heathens and infidels in its very heartlands. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The core regions of the Dar al-Islam must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.;;;;;;;;;x 
EVTDESC39674;The House of Islam is under grave threat from the onslaught of heathens and infidels in Africa. In response, His Magnificence, [Root.GetTitledName], has declared that an era of renewed Jihad is upon the world. The western regions of the Ummah must be retaken at all costs. All righteous Muslim men should prepare to join the ranks of the mujahideen for the upcoming struggles. This signals a renewed era of Islamic expansion.;;;;;;;;;x 
EVTNAME39680;Wrath of the Old Gods;;;;;;;;;x 
EVTDESC39680;In response to the new era of Crusades and Jihads among the Abrahamic monotheists, the Great [Root.GetTitledName] has informed all [Root.Religion.GetName] [Root.Religion.GetPriestTitle]s of [Root.GetPossPronoun] plans for a magnificent [Root.Religion.GetName] Pagan response. In fact, all pagan heads of religion may now declare Great Holy Wars. This could be the beginning of unprecedented Heathen aggression.;;;;;;;;;x 
EVTOPTA39680;Great [Root.Religion.GetRandomGodName] is with us!;;;;;;;;;x 
EVTOPTB39680;The Old Gods are Mighty!;;;;;;;;;x 
EVTOPTC39680;Lock up your son and daughter!;;;;;;;;;x 
EVTDESC_TOG_1060;[Root.Religion.GetName] rebels have risen up in [Root.GetName], led by a militant [Root.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!;;;;;;;;;x 
EVTOPTA_TOG_1060;Curses!;;;;;;;;;x 
EVTOPTB_TOG_1060;Accursed Infidels!;;;;;;;;;x 
EVTDESC_TOG_1061;[From.Religion.GetName] rebels have risen up in [From.GetName], led by a militant [From.Religion.GetPriestTitle]. If not swiftly crushed, this revolt could spread like wildfire!;;;;;;;;;x 
EVTDESC_TOG_1070;Another raving mob of [Root.Religion.GetName] infidels have risen up in [Root.GetName], reinforcing the ongoing uprising!;;;;;;;;;x 
EVTOPTA_TOG_1070;Infidel Scum!;;;;;;;;;x 
EVTDESC_TOG_1071;Another raving mob of [From.Religion.GetName] infidels have risen up in [From.GetName], reinforcing the ongoing uprising!;;;;;;;;;x 
EVTDESC_TOG_1190;A rebel mob breaks down my door and streams into the room. It's no use pleading for my life, I will go out fighting!;;;;;;;;;x 
EVTOPTA_TOG_1190;Die you bastards! Arrgh...;;;;;;;;;x 
#EVTDESC_TOG_1191;§Y[From.GetTitledName]§! was murdered by rebels after the siege of §Y[FromFrom.GetName]§! in §Y[FromFrom.County.GetName]§!.;;;;;;;;;x 
EVTOPTA_TOG_1191;They will all hang for this!;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_TITLE;Order to Take the Vows;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_DESC;Order §Y[Recipient.GetBestName]§! to take the vows and join a monastic order.;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_LONG_DESC;You can order unlanded courtiers to take the vows and join a monastic order of their choice. This will disqualify them from normal inheritance, but they can still be claimants.;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_0;§Y[Recipient.GetFirstName]§! will join the §Y$TITLE$§! in their defense of the [Recipient.Religion.GetName] faith.;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_1;§Y[Recipient.GetFirstName]§! will become a monk, but stay in your court.;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_2;§Y[Recipient.GetFirstName]§! will become a nun, but stay in your court.;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_3;§Y[Recipient.GetFirstName]§! will be released from prison.;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_ACCEPT_SETUP;Character Joins Monastic Order;;;;;;;;;x 
RETIRE_TO_MONASTERY_INTERACTION_ACCEPT_LOG;§Y[Actor.GetDynName]§! ordered §Y[Recipient.GetBestName]§! to join a monastic order.;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_UNMARRIED;§Y[Recipient.GetTitledName]§! must be unmarried;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_PRISONER_OR_NOT_HEIR;§Y[Recipient.GetTitledName]§! must either be a prisoner or not an heir to any titles;;;;;;;;;x 
INTERACTION_REQUIRES_NO_REGENT;§Y[Actor.GetTitledName]§! must not have a regent;;;;;;;;;x 
monk;Monk;;;;;;;;;x 
monk_desc;This man is living out his days in a monastery, disqualified from normal inheritance.;;;;;;;;;x 
nun;Nun;;;;;;;;;x 
nun_desc;This woman is living out her days in a monastery, disqualified from normal inheritance.;;;;;;;;;x 
AIREASON_FOUND_MY_CALLING;Found my Calling;;;;;;;;;x 
d_bektashi;Bektashi Order;;;;;;;;;x 
d_bektashi_adj;Bektashi;;;;;;;;;x 
d_immortals;Immortals;;;;;;;;;x 
d_immortals_adj;Immortal;;;;;;;;;x 
d_zealots;Zealots;;;;;;;;;x 
d_zealots_adj;Zealot;;;;;;;;;x 
d_holy_sepulchre;Brotherhood of the Holy Sepulchre;;;;;;;;;x 
d_holy_sepulchre_adj;Brotherhood;;;;;;;;;x 
d_saint_anthony;Order of Saint Anthony;;;;;;;;;x 
d_saint_anthony_adj;Saint Anthony;;;;;;;;;x 
d_sky_lords;Lords of the Sky;;;;;;;;;x 
d_sky_lords_adj;Sky Lord;;;;;;;;;x 
d_spirit_guardians;Spirit Guardians;;;;;;;;;x 
d_spirit_guardians_adj;Guardian;;;;;;;;;x 
d_warriors_perun;Warriors of Perun;;;;;;;;;x 
d_warriors_perun_adj;Perun;;;;;;;;;x 
d_chosen_perkunas;Chosen of Perkunas;;;;;;;;;x 
d_chosen_perkunas_adj;Perkunas;;;;;;;;;x 
d_sons_kaleva;Sons of Kaleva;;;;;;;;;x 
d_sons_kaleva_adj;Kaleva;;;;;;;;;x 
d_huitzilopochtli;Cult of Huitzilopochtli;;;;;;;;;x 
d_huitzilopochtli_adj;Huitzilopochtli;;;;;;;;;x 
d_knights_santiago;Knights of Santiago;;;;;;;;;x 
d_knights_santiago_adj;Santiago;;;;;;;;;x 
d_knights_calatrava;Knights of Calatrava;;;;;;;;;x 
d_knights_calatrava_adj;Calatrava;;;;;;;;;x 
DEDEBABA;Dedebaba;;;;;;;;;x 
DYNASTY_CONTROLS_HOLY_ORDER;Dynasty controls $ORDER$: §G+$VALUE$§!;;;;;;;;;x 
DYNASTY_CONTROLS_RELIGIOUS_HEAD;Dynasty controls $RELIGION$: §G+$VALUE$§!;;;;;;;;;x 
opinion_generous_donation;Generous Donation;;;;;;;;;x 
opinion_defending_vs_foreigners;Defending vs Foreigners;;;;;;;;;x 
donate_money_to_knights_hospitaler;Donate 300¤ to the Hospitallers;;;;;;;;;x 
donate_money_to_teutonic_order;Donate 300¤ to the Teutonic Order;;;;;;;;;x 
donate_money_to_jomsvikings;Donate 300¤ to the Jomsvikings;;;;;;;;;x 
donate_money_to_jomsvikings_desc;I can donate money to the Jomsvikings in exchange for [Player.Religion.GetPietyName] and lifelong respect from the priesthood.;;;;;;;;;x 
donated_to_holy_order;Donations to Holy Order;;;;;;;;;x 
borrow_money_knights_templar;Borrow 300¤ from the Templars;;;;;;;;;x 
borrow_money_knights_templar_desc;I can borrow money from the Templars and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;x 
borrowed_from_knights_templar;Owes 300¤ to the Knights Templar;;;;;;;;;x 
borrow_money_assassins;Borrow 300¤ from the Hashshashins;;;;;;;;;x 
borrow_money_assassins_desc;I can borrow money from the Hashshashins and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;x 
borrowed_from_assassins;Owes 300¤ to the Hashshashins;;;;;;;;;x 
borrow_money_bektashi;Borrow 300¤ from the Bektashi;;;;;;;;;x 
borrow_money_bektashi_desc;I can borrow money from the Bektashi and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;;;;;;;;;x 
borrowed_from_bektashi;Owes 300¤ to the Bektashi Order;;;;;;;;;x 
vassalize_knights_templar;Vassalize the Knights Templar;;;;;;;;;x 
vassalize_knights_templar_desc;As the King of Jerusalem, it is within my power to vassalize the powerful Knights Templar at the cost of 500 gold.;;;;;;;;;x 
vassalize_knights_hospitaler;Vassalize the Knights Hospitaller;;;;;;;;;x 
vassalize_knights_hospitaler_desc;As the King of Jerusalem, it is within my power to vassalize the powerful Knights Hospitaller at the cost of 500 gold.;;;;;;;;;x 
expelled_d_knights_templar;Expelled the Knights Templar;;;;;;;;;x 
expel_the_knights_templar;Expel the Knights Templar;;;;;;;;;x 
expel_the_knights_templar_desc;I can drive the Knights Templar from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
expel_the_knights_hospitaler;Expel the Knights Hospitaller;;;;;;;;;x 
expel_the_knights_hospitaler_desc;I can drive the Knights Hospitaller from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
expel_the_teutonic_order;Expel the Teutonic Order;;;;;;;;;x 
expel_the_teutonic_order_desc;I can drive the Teutonic Order from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
expel_the_assassins;Expel the Hashshashins;;;;;;;;;x 
expel_the_assassins_desc;I can drive the dreaded Hashshashins from my realm and seize their castles. However, it is a rather impious thing to do...;;;;;;;;;x 
expel_the_bektashi;Expel the Bektashi Order;;;;;;;;;x 
expel_the_bektashi_desc;I can drive the Bektashi Order from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
expelled_d_knights_hospitaler;Expelled the Knights Hospitaller;;;;;;;;;x 
expelled_d_teutonic_order;Expelled the Teutonic Order;;;;;;;;;x 
expelled_d_jomsvikings;Expelled the Jomsvikings;;;;;;;;;x 
expelled_d_bektashi;Expelled the Bektashi Order;;;;;;;;;x 
expelled_d_hashshashin;Expelled the Hashshashins;;;;;;;;;x 
holy_order_expelled;Holy Order Expelled;;;;;;;;;x 
opinion_expelled_from_realm;Expelled from Realm;;;;;;;;;x 
ANY_PROVINCE_HOLDING_STARTS;Any Province Holding;;;;;;;;;x 
ALL_PROVINCE_HOLDINGS;All Province Holdings;;;;;;;;;x 
EVTDESC_SOA_1003;Most righteous [Root.GetTitledFirstName], I have a humble request for you in light of your debt to us. There is no rest in our defense against the infidel and we have desperate need of knights to lead our men. Thus, I would like to extend this opportunity to your able and noble son [FromFrom.GetFirstName] to serve in our ranks. Naturally, this would disinherit him. Sincerely Yours in Christ,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTOPTA_SOA_1003;Very well, it's a good life;;;;;;;;;x 
EVTOPTB_SOA_1003;Pay them back instead;;;;;;;;;x 
EVTOPTC_SOA_1003;Never!;;;;;;;;;x 
EVTDESC_SOA_1011;Most virtuous [Root.GetTitledFirstName], of course we, the Poor Fellow-Soldiers of Christ and of the Temple of Solomon, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Pax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1016;My liege, the Poor Fellow-Soldiers of Christ and of the Temple of Solomon stand ready to serve you in defense of Christianity and the Holy Land! Pax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1023;My dear [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [FromFrom.GetName]. Pax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTOPTA_SOA_1023;A reasonable request;;;;;;;;;x 
EVTDESC_SOA_1024;The Knights Templar have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTOPTA_SOA_1024;Impressive!;;;;;;;;;x 
EVTDESC_SOA_1031;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights Templar in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTOPTA_SOA_1031;Go with my blessing.;;;;;;;;;x 
EVTOPTB_SOA_1031;Absolutely not!;;;;;;;;;x 
EVTTOOLTIP_SOA_1032;[This.GetTitledFirstName] becomes a Knight Templar.;;;;;;;;;x 
EVTTOOLTIP_SOA_1033;[This.GetTitledFirstName] is disappointed.;;;;;;;;;x 
EVTDESC_SOA_1053;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1054;The Knights Templar have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1061;Your majesty, this antagonism is completely unwarranted! The Order serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTOPTB_SOA_1061;Good Riddance!;;;;;;;;;x 
EVTDESC_SOA_1116;My liege, the Order of Saint John - the Knights Hospitaller - stands ready to serve you in defense of Christianity and the Holy Land! Pax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1131;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights Hospitaller in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIP_SOA_1132;[This.GetTitledFirstName] becomes a Knight Hospitaller.;;;;;;;;;x 
EVTDESC_SOA_1141;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1153;Most righteous [Root.GetTitledFirstName], the Order needs more castles in order to defend Christianity against the Infidel. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTOPTB_SOA_1153;No, that region is mine;;;;;;;;;x 
EVTDESC_SOA_1154;The Knights Hospitaller have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1203;Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [FromFrom.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTTITLE_SOA_1209;The Bektashi Order;;;;;;;;;x 
EVTOPTA_SOA_1209;They could be useful...;;;;;;;;;x 
EVTOPTB_SOA_1209;Mystic Soldiers? Pah!;;;;;;;;;x 
EVTDESC_SOA_1211;Most righteous [Root.GetTitledFirstName], of course we, the Bektashi Order, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1223;Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [FromFrom.GetName]. Peace be with you,\n\nGrand Master [From.GetFirstName];;;;;;;;;x 
EVTDESC_SOA_1224;The Bektashi Order have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESC_SOA_1231;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Bektashi Order to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;x 
EVTTOOLTIP_SOA_1232;[This.GetTitledFirstName] joins the Bektashi Order.;;;;;;;;;x 
