#CODE;ENGLISH;;;;;;;;;x 
EVTOPTC72056;Some gold will keep the servants quiet.;;;;;;;;;x 
ASK_FOR_DIVORCE_INTERACTION_0;Ask §Y[Actor.RelHead.GetTitledFirstName]§W for a divorce from §Y[Actor.Spouse.GetFirstName]§W. This will cost you §R$COST$§W [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.;;;;;;;;;x 
#EVTNAME620;Successful [New.Religion.GetCrusadeName] for [Root.GetName]!;;;;;;;;;x 
#EVTDESC620;[New.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [New.Religion.GetCrusadeName] for [Root.GetName]. [New.GetTitledName] has called for a month of celebration across the whole [New.Religion.GetGroupName] world!;;;;;;;;;x 
#EVTOPTA620;Praise [New.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTOPTB620;Cursed Infidels!;;;;;;;;;x 
#EVTNAME621;The [New.Religion.GetCrusadeName] for [Root.GetName] Fails!;;;;;;;;;x 
#EVTDESC621;[New.Religion.GetRandomGodNameCap], it seems, does not favour the [New.Religion.GetGroupName] faithful. [New.GetTitledName] has called off the [New.Religion.GetCrusadeName] for [Root.GetName] due to the altered political situation in the region...;;;;;;;;;x 
EVTOPTA621;A Black Day!;;;;;;;;;x 
EVTOPTB621;Pathetic...;;;;;;;;;x 
WARSCORE_LESS_THAN;Has a war with a score worse than ;;;;;;;;;x 
WARSCORE_MORE_THAN;Has a war with a score better than ;;;;;;;;;x 
#BONUS_AGAINST_ENEMY;Attack bonus against enemy flank: $PERC$;;;;;;;;;x 
TACTICAL_ADVANTAGE;Bonus against §Y$TACTIC$§!: $PERC$;;;;;;;;;x 
LEADER_MARTIAL_SKILL;Martial skill of §Y$WHO$§!: $PERC$;;;;;;;;;x 
FLANKING_BONUS;Flanking: $PERC$;;;;;;;;;x 
AI_REJECT_STILL_A_NO;I still won't accept your proposal;;;;;;;;;x 
PLAYER_SUCCESSOR_CHANGED_LOG;You have a new Heir. If your character dies now you will play as §Y$NEW_SUCCESSOR$§!;;;;;;;;;x 
TOPLIEGE_TROOPS_TOTAL;Total Levy of Top liege: §Y$TROOPS$§!;;;;;;;;;x 
TOPLIEGE_TROOPS_CURRENT;Current Levy of Top liege: §Y$TROOPS$§!;;;;;;;;;x 
OWN_TROOPS_TOTAL;Total Levy of $CHAR$: §Y$TROOPS$§!;;;;;;;;;x 
OWN_TROOPS_CURRENT;Current Levy of $CHAR$: §Y$TROOPS$§!;;;;;;;;;x 
RELATIVE_STRENGTH;Relative Strength: §Y$STRENGTH$§!;;;;;;;;;x 
CURRENT_RELATIVE_STRENGTH;Current Relative Strength: §Y$STRENGTH$§!;;;;;;;;;x 
VASSAL_HOLDINGS;Vassal Holdings: §Y$HOLDINGS$§!;;;;;;;;;x 
LOADING_LOCAL_SAVE;Loading local save...;;;;;;;;;x 
CB_NAME_DEPOSE_LIEGE;Depose liege;;;;;;;;;x 
WAR_NAME_DEPOSE_LIEGE;$ORDER$$FIRST_ADJ$ War to depose $DEFENDER$;;;;;;;;;x 
depose_liege_desc;§Y$CLAIMANT$§! can attempt to depose §Y$TARGET$§! and install §Y$CLAIMANT$§!'s favorite heir;;;;;;;;;x 
issue_declaration_of_repentance;Issue Declaration of Repentance;;;;;;;;;x 
issue_declaration_of_repentance_desc;Send a letter to the Pope in the hope of getting our sins forgiven and have our excommunication lifted.;;;;;;;;;x 
repentance_ask;The Holy Father will hear our plea for salvation.;;;;;;;;;x 
made_repentance;Made Repentance;;;;;;;;;x 
refused_making_repentance;Refused Making Repentance;;;;;;;;;x 
EVTDESC39252;An emissary comes from [From.GetBestName], with hopes of repenting [From.GetHerHis] sins. While [From.GetSheHe] has committed some very grave sins, this shows sincere regret and I will lift his excommunication.;;;;;;;;;x 
EVTOPTA39252;Lift [From.GetHerHis] excommunication.;;;;;;;;;x 
EVTTOOLTIP39253;will cry tears of joy at our reply.;;;;;;;;;x 
EVTDESC39253;The Holy Father has agreed to lift the excommunication against me!;;;;;;;;;x 
EVTOPTA39253;Glory to God!;;;;;;;;;x 
EVTOPTB39253;Repentance has its price, but this is really too much...;;;;;;;;;x 
EVTOPTB39251;[Player.Religion.GetPietyName] has its price, but this is really too much...;;;;;;;;;x 
chapter_name_6;War;;;;;;;;;x 
chapter_name_5;Military and Combat;;;;;;;;;x 
DOWNLOADING;Downloading $DLC$;;;;;;;;;x 
DOWNLOAD_PROGRESS;Downloading file $FILE$/$FILE_MAX$\n\n$COUNT$B downloaded;;;;;;;;;x 
STORE_REINSTALL;Reinstall;;;;;;;;;x 
STORE_BUY;Buy;;;;;;;;;x 
STORE_NEED_REINSTALL;Reinstall §Y$ITEM$§! DLC;;;;;;;;;x 
STORE_FAILED_DOWNLOAD;Some files did not install correctly and needs to be downloaded again;;;;;;;;;x 
STORE_CANCEL;Cancel;;;;;;;;;x 
STORE_TOPUP;Purchase Blue Coins;;;;;;;;;x 
STORE_LOGIN;Login;;;;;;;;;x 
STORE_LOGOUT;Log Out;;;;;;;;;x 
STORE_WELCOME;Welcome, §Y$USERNAME$§!;;;;;;;;;x 
STORE_NOT_LOGGED_IN;You must log in in order to buy DLC;;;;;;;;;x 
TRUCE;Truce;;;;;;;;;x 
IS_NOT_MERCENARY;Is NOT mercenary;;;;;;;;;x 
IS_MERCENARY;Is mercenary;;;;;;;;;x 
NUM_OF_TITLES_LESS;Less than §Y$VAL$§W $TIER$ titles.;;;;;;;;;x 
NUM_OF_TITLE_LEAST;At least §Y$VAL$§W $TIER$ titles.;;;;;;;;;x 
NUM_OF_TITLES_LESS_2;Less than §Y$VAL$§W titles.;;;;;;;;;x 
NUM_OF_TITLE_LEAST_2;At least §Y$VAL$§W titles.;;;;;;;;;x 
TIME_UNPAUSE;Unpause;;;;;;;;;x 
EVTDESC38201;[From.GetFirstName] asks, 'Daddy, where do children come from?';;;;;;;;;x 
EVTOPTA39000;Where is my [Root.Holder.GetLordSpiritualName]!?;;;;;;;;;x 
EVTDESC75060;The peasants in a province are complaining about Steward [Root.job_treasurer.GetTitledFirstName]'s arbitrariness, they feel that [Root.job_treasurer.GetSheHe] doesn't really understand the concept of rules and laws.;;;;;;;;;x 
EVTOPTA75085;Adopt [Root.job_treasurer.GetHerHis] ideas;;;;;;;;;x 
peasants_scorned;Peasant traditions scorned;;;;;;;;;x 
tut_5a_25;Now select one of the troops. The embark button is blue and useable, so click it. Ships move exactly like armies, so move this fleet to the neighboring sea province to the north, Moray Firth, to continue. Unpause after placing the move order and increase the speed to maximum if you want to hasten the process.;;;;;;;;;x 
tut_5a_29b;Don't forget to unpause or your order will not be executed.;;;;;;;;;x 
opinion_converted_province;Converted Province;;;;;;;;;x 
EVTDESC3336;[From.GetTitledFirstName] feels I risk too much with my escapades and tried to persuade me to stop risking my life.;;;;;;;;;x 
EVTNAME60010;The Ilkhanate Converts;;;;;;;;;x 
#EVTDESC60010;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!;;;;;;;;;x 
#EVTDESC60011;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;;;;;;;;;x 
#EVTDESC60012;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;;;;;;;;;x 
#EVTDESC60013;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;x 
EVTOPTA60010;The time has come!;;;;;;;;;x 
EVTOPTB60010;Allah have mercy on us!;;;;;;;;;x 
EVTOPTC60010;God have mercy on us!;;;;;;;;;x 
EVTOPTD60010;May the Gods save us!;;;;;;;;;x 
EVTNAME60020;The Golden Horde Converts;;;;;;;;;x 
EVTDESC8720;The Teutonic Order wishes to expand into the Baltics in order to better fight the heathens. To show my support, perhaps I should offer them a county of mine?;;;;;;;;;x 
EVTOPTA8720;Their precense is most welcome;;;;;;;;;x 
EVTOPTB8720;I would never give away my land;;;;;;;;;x 
EVTDESC8721;My liege,\nI wish to support The Teutonic Order by grating them a county, and seek your approval.\n\nYour humble vassal,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA8721;I better leave this decision to my liege;;;;;;;;;x 
EVTOPTB8721;You have my blessing;;;;;;;;;x 
EVTOPTC8721;No land is to be ceded;;;;;;;;;x 
EVTDESC8722;My liege,\nMy vassal, [FromFrom.GetTitledName] wishes to support The Teutonic Order by grating them a county. I would of course not allow such an important decision without first seeking your approval.\n\nYour humble vassal,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA8722;Excelent proposal!;;;;;;;;;x 
EVTOPTB8722;I will not permit any ceding of land;;;;;;;;;x 
EVTDESC8723;Your generous offer of grating a county to The Teutonic Order has met with my approval.\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA8723;Then so it shall be!;;;;;;;;;x 
EVTDESC8724;I will not permit that you cede any territory to The Teutonic Order!\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA8724;Then I will retract my offer;;;;;;;;;x 
EVTDESC8725;To the Great [Root.GetTitledFirstName],\nYour bravery is legendary. I wish to support you in your valiant struggle against the heathens, and hereby offer to transfer a County to the order.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
alert_truce_expiring_instant;§YTruces are Expiring§!;;;;;;;;;x 
alert_truce_expiring_delayed;The Following Truces are Expiring:$LIST$;;;;;;;;;x 
alert_no_ambition_instant;§YPick an Ambition§!;;;;;;;;;x 
TOTAL_BONUS;(Total Bonus);;;;;;;;;x 
LEVY_MULTIPLIER;Levy Multiplier: $VALUE$;;;;;;;;;x 
TOTAL_LEVY;Total Levy: §Y$VALUE$§!;;;;;;;;;x 
REALM_TREE;Realm Tree;;;;;;;;;x 
DYN14_DESC;With a score of $SCORE$ you$FAILED$ beat the House of Godwin. On January 5th, 1066, Harold Godwinson became King of England. His father had spent much of the reign of King Canute building up the family power base and with the death of Edward the Confessor he was able to assume the throne. However, he wasn’t the only claimant... Harald of Norway and William of Normandy both also claimed the title and invaded. Harald was defeated and killed at the battle of Stamford Bridge, but Harold would later be defeated and killed (along with two of his brothers) by William at the battle of Hastings. With his death, the power of the House of Godwin collapsed and its lands were divided amongst the victorious Norman Lords who followed William.;;;;;;;;;x 
EVTOPTA38020;There are fat bishops, seize them!;;;;;;;;;x 
TOURNAMENTTITLE;Grand Tournament;;;;;;;;;x 
EVTDESC70034;[From.GetTitledName] has been crowned the winner of my grand tournament.;;;;;;;;;x 
EVTOPTA70034;[From.GetSheHeCap] truly deserves it!;;;;;;;;;x 
EVTDESC70035;[From.GetTitledName]'s bravery won [From.GetHerHim] second place in my grand tournament.;;;;;;;;;x 
EVTOPTA70035;A most valiant performance!;;;;;;;;;x 
EVTDESC70036;[From.GetTitledName] fought [From.GetHerHis] way to the third place in my grand tournament.;;;;;;;;;x 
EVTOPTA70036;And fought hard [From.GetSheHe] did.;;;;;;;;;x 
EVTDESC70037;The grand tournament of [From.GetTitledName] has been cancelled due to war.;;;;;;;;;x 
EVTOPTA70037;Then my bravery will be shown in battle!;;;;;;;;;x 
EVTDESC70038;My liege! Your guest [From.GetTitledName] has tragically been killed during the tournament!;;;;;;;;;x 
EVTOPTA70038;Most unfortunate;;;;;;;;;x 
EVTOPTB70038;Don't bother me with such details!;;;;;;;;;x 
EVTDESC70039;My liege! Your guest [From.GetTitledName] has tragically been maimed during the tournament!;;;;;;;;;x 
EVTDESC70040;My liege! Your guest [From.GetTitledName] has tragically been wounded during the tournament!;;;;;;;;;x 
opinion_tournament_participant;Held Grand Tournament;;;;;;;;;x 
opinion_tournament_winner;Winner of Grand Tournament;;;;;;;;;x 
opinion_tournament_second_place;Second Place in Grand Tournament;;;;;;;;;x 
opinion_tournament_third_place;Third Place in Grand Tournament;;;;;;;;;x 
EVTDESC70012;We advanced forth into the Melee, but then I saw our foes and suddenly my bowels loosened and guts turned to water. My comrades all looked on me in disgust.;;;;;;;;;x 
EVTDESC923;During my mission to oversee constructions in [Root.Location.GetName] I happened to meet a Master Builder. He had a vast experience and was more than happy to teach me many things about constructing buildings.;;;;;;;;;x 
EVTOPTA923;This will further my career;;;;;;;;;x 
EVTDESC20230;My liege, the construction work being done in [From.Location.GetName] is coming along well under the meticulous eyes of a Master Builder, who has taken me under his wing and is teaching me all he knows about constructing buildings. This knowledge will greatly help me in my work.\n\nYour humble Steward,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC80057;Feeling little loyalty to their previous far off ruler, the peasant rebels of [FromFrom.GetName] have defected and sworn allegiance to [From.County.Holder.GetTitledName]!;;;;;;;;;x 
EVTDESC80062;Feeling little loyalty to their previous far off ruler, the peasant rebels of [Root.GetName] have defected and sworn allegiance to another ruler!;;;;;;;;;x 
EVTDESC60020;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!;;;;;;;;;x 
EVTDESC60021;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;;;;;;;;;x 
EVTDESC60022;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;;;;;;;;;x 
EVTDESC60023;My liege, the great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;x 
EVTTOOLTIP5025;The apple of [Root.GetTitledFirstName]'s eye;;;;;;;;;x 
EVTDESC72086;I was startled when [From.GetTitledName] pulled me aside for a private conversation during the feast. [From.GetTitledName] carefully explained that [From.GetSheHe] felt one of my titles rightfully belonged to [From.GetHerHim].;;;;;;;;;x 
EVTTOOLTIP72087;[Root.GetTitledFirstName] grants [This.GetTitledFirstName] the title [This.GetSheHe] wants;;;;;;;;;x 
EVTDESC72089;The feast was great, until the guards grabbed me and threw me into [From.GetTitledFirstName]'s dungeon! The greedy [From.GetTitledFirstName] might think I would willingly give [From.GetHerHim] the title [From.GetSheHe] wants for my freedom, but I'll prove [From.GetTitledFirstName] I am stronger than [From.GetSheHe] thinks!;;;;;;;;;x 
EVTOPTA72089;The title will never be yours!;;;;;;;;;x 
EVTOPTB72089;Wait... I'll give you the title, just let me out!;;;;;;;;;x 
EVTOPTA69058;Why does [Root.job_spiritual.GetSheHe] disappoint every time I try to trust [Root.job_spiritual.GetHerHim]?;;;;;;;;;x 
MAPMODE_RELIGION_DESC;This map mode shows the spread of all religions.;;;;;;;;;x 
#convert_to_parent_religion;Convert to Parent Religion;;;;;;;;;x 
convert_to_parent_religion_desc;I will rejoin the one true faith.;;;;;;;;;x 
tut_6a_24;The different outcomes of a war will be discussed in the intermediate war tutorial. Since you haven't won anything yet, demanding they surrender won't work. Offer a white peace or your surrender to end this part.;;;;;;;;;x 
LOST_PLAYER;$NAME$ has dropped...;;;;;;;;;x 
SAFE_RAISE;§GHold §YControl§G when you click to avoid raising levies where there are hostile armies§!;;;;;;;;;x 
DIPLO_ALREADY_CONSIDERING;§Y$NAME$§! is currently considering a $INTERACTION$ offer from us;;;;;;;;;x 
DIPLO_ALREADY_CONSIDERING_DAYS;, we are expecting an answer in §Y$DAYS$§! days;;;;;;;;;x 
STORE_USERNAME;Username:;;;;;;;;;x 
STORE_PASSWORD;Password:;;;;;;;;;x 
