#CODE;ENGLISH;;;;;;;;;x 
gamer;Game Master;;;;;;;;;x 
wol_steward_1;Amateur Steward;;;;;;;;;x 
desc_wol_steward_1;This character is an aspiring steward who seeks to master the arts of administration and governance.;;;;;;;;;x 
wol_steward_2;Steward;;;;;;;;;x 
desc_wol_steward_2;This character is an experienced steward, gifted in administration and rulership.;;;;;;;;;x 
wol_raja_dharma;Great Raja Dharma;;;;;;;;;x 
desc_wol_raja_dharma;This character has followed the tenets of Dharma and proven to be an exceptional ruler.;;;;;;;;;x 
nick_the_rash;the Rash;;;;;;;;;x 
wol_legendary_wisdom;Legendary Wisdom;;;;;;;;;x 
desc_wol_legendary_wisdom;The wisdom of this character is renowned throughout the lands.;;;;;;;;;x 
wol_respected_ruler;Respected Ruler;;;;;;;;;x 
desc_wol_respected_ruler;This character has won respect as a ruler.;;;;;;;;;x 
EVTDESC_WOL_114;[FromFromFrom.GetTitledFirstName], the target of my seduction, is now my [GetFromFromFromRelation], making further efforts rather pointless.;;;;;;;;;x 
EVTOPTA_WOL_114;[FromFromFrom.GetSubjectPronounCap] is mine anyway;;;;;;;;;x 
EVTOPTA_WOL_202;I won't give up just yet;;;;;;;;;x 
EVTDESC_WOL_2230;My agent in [target_captive.Host.GetTitledFirstNameNoRegnal]'s court, [target_agent.GetBestName], is no longer able to carry out the mission.;;;;;;;;;x 
EVTOPTA_WOL_2230;I will have to look for another contact...;;;;;;;;;x 
EVTDESC_WOL_2231;Dear [Root.GetTitledFirstNameNoRegnal], I fear that the plan I have devised to liberate [target_captive.GetBestName] will cost more money than I had estimated. If you still wish see [target_captive.GetObjectPronoun] free, please send me the necessary funds.\n\nYour friend, [target_agent.GetBestName];;;;;;;;;x 
EVTOPTA_WOL_2231;I guess I have no choice...;;;;;;;;;x 
EVTOPTC_WOL_2231;Time to abandon this plan;;;;;;;;;x 
EVTDESC_WOL_2232;Despite my best efforts, I still have not managed to find anyone at the court of [target_captive.Host.GetTitledFirstName] who would be willing to help [target_captive.GetBestName] escape.;;;;;;;;;x 
EVTOPTA_WOL_2232;Keep looking;;;;;;;;;x 
EVTOPTB_WOL_2232;I give up!;;;;;;;;;x 
EVTOPTA_WOL_3003;I shall be genial and well liked;;;;;;;;;x 
EVTOPTB_WOL_3003;I shall master the game of life;;;;;;;;;x 
EVTDESC_WOL_10101;[From.GetTitledFirstName] has previously expressed a desire to find ways to bring more wealth to the [From.GetTitle.GetFullName]. Now it seems there has arisen an opportunity to set up a new and possibly lucrative trade route.;;;;;;;;;x 
EVTOPTA_WOL_10101;Discuss it with [From.GetTitledFirstName].;;;;;;;;;x 
EVTOPTB_WOL_10101;I have more important matters to attend to.;;;;;;;;;x 
EVTDESC_WOL_10102;Your [From.GetJobTitle] comes to see you one afternoon. [From.GetSheHeCap] explains that [From.GetSheHe] has devised a plan to bring in exotic goods by setting up a trade route with a foreign realm. This would of course require a sizeable monetary investment but the potential profits would also be great.;;;;;;;;;x 
EVTOPTA_WOL_10102;Let's organize an expedition.;;;;;;;;;x 
EVTOPTB_WOL_10102;My money has better uses.;;;;;;;;;x 
EVTDESC_WOL_10103;The time has come to purchase pack animals for our planned merchant expedition. Strong and sturdy beasts are available at the market but they come at quite a hefty price.;;;;;;;;;x 
EVTOPTA_WOL_10103;Purchase them. We'll need the best ones available.;;;;;;;;;x 
EVTOPTB_WOL_10103;Hire a crew of bandits to steal the animals.;;;;;;;;;x 
EVTOPTC_WOL_10103;On second thought, I really can't afford this.;;;;;;;;;x 
EVTDESC_WOL_10104;The time has come to outfit a ship for our trading expedition. The harbormaster shows you a large ship with a sizeable cargo hold that would be perfect for this job, but it does come at quite a hefty price.;;;;;;;;;x 
EVTOPTA_WOL_10104;Buy the merchant ship for the journey.;;;;;;;;;x 
EVTOPTB_WOL_10104;Hire a crew of bandits to steal the ship.;;;;;;;;;x 
EVTOPTC_WOL_10104;On second thought, I really can't afford this.;;;;;;;;;x 
EVTDESC_WOL_10105;The word has spread that you're planning a trading expedition, and a group of [Root.Religion.GetPriestTitle]s have arrived at your court with a request. They are offering temple funds for the journey if you will allow them to come along on the journey.;;;;;;;;;x 
EVTOPTA_WOL_10105;Of course, it will be an honor to have you with us.;;;;;;;;;x 
EVTOPTB_WOL_10105;No, I can't risk them getting in the way.;;;;;;;;;x 
EVTDESC_WOL_10106;The [Root.Religion.GetPriestTitle]s have been giving the crew nervous glares for a couple of days now and today confronted you voicing concerns about traveling with thieves and bandits. They say that [Root.Religion.GetName] faithful should not consort with such people.;;;;;;;;;x 
EVTOPTA_WOL_10106;Oh well.;;;;;;;;;x 
EVTOPTB_WOL_10106;We're helping these men to a life without crime.;;;;;;;;;x 
EVTDESC_WOL_10107;A message arrives informing you that [From.GetTitledFirstName] is planning to open a foreign trade route. As this route is intended to travel through your areas of interest you are surely entitled to some compensation.;;;;;;;;;x 
EVTOPTA_WOL_10107;Demand monetary compensation.;;;;;;;;;x 
EVTOPTB_WOL_10107;Never mind.;;;;;;;;;x 
EVTDESC_WOL_10108;Dear [Root.GetTitledFirstName], I have been informed of your ambitions to establish new trade operations near my lands. I do hope that you intend to compensate me for this incursion into the [From.PrimaryTitle.GetFullName].\n\nSigned, \n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA_WOL_10108;Here are some coins for the [From.GetTitle].;;;;;;;;;x 
EVTOPTB_WOL_10108;This is none of your business.;;;;;;;;;x 
EVTDESCA_WOL_10109;Dear [Root.GetTitledFirstName]. Of course you shall be compensated for our infringement.\n\nSigned, \n[From.GetTitledFirstName];;;;;;;;;x 
EVTDESCB_WOL_10109;Dear [Root.GetTitledFirstName]. I understand your concerns but my undertakings are none of your business.\n\nSigned, \n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA_WOL_10109;Great!;;;;;;;;;x 
EVTOPTB_WOL_10109;That pirate!;;;;;;;;;x 
EVTDESCA_WOL_10110;The bandits you hired failed with their retrieval of the pack animals. Even worse, some of them were arrested and subsequently revealed your involvement. It seems like this expedition has to be abandoned for now.;;;;;;;;;x 
EVTDESCB_WOL_10110;The bandits you hired failed with their retrieval of the ship. Even worse, some of them were arrested and subsequently revealed your involvement. It seems like this expedition has to be abandoned for now.;;;;;;;;;x 
EVTOPTA_WOL_10110;That's terrible!;;;;;;;;;x 
EVTDESC_WOL_10111;It is time to set out on the trading expedition. Hopefully it will yield good profits.;;;;;;;;;x 
EVTOPTA_WOL_10111;To foreign lands!;;;;;;;;;x 
EVTDESC_WOL_10114;Your expedition has finally reached the realm of [From.GetTitledFirstName]. Your Steward asks you what gift we shall bring forth as a token of friendship to [From.GetTitledFirstName].;;;;;;;;;x 
EVTOPTA_WOL_10114_HORSES;A dozen strong horses.;;;;;;;;;x 
EVTOPTA_WOL_10114_ELEPHANT;A mighty elephant.;;;;;;;;;x 
EVTOPTA_WOL_10114_WARRIORS;A dozen tough warriors.;;;;;;;;;x 
EVTOPTA_WOL_10114_CAMELS;A dozen sturdy camels.;;;;;;;;;x 
EVTOPTB_WOL_10114;A chest with quality cloth from back home.;;;;;;;;;x 
EVTOPTC_WOL_10114;A pouch of rare herbs.;;;;;;;;;x 
EVTOPTD_WOL_10114;My courtesy should be enough of a gift.;;;;;;;;;x 
EVTDESC_WOL_10116;At dinner, you notice [From.GetBestName]'s face growing red with annoyance as he glares at your Steward shovelling his food in with his bare hands.;;;;;;;;;x 
EVTOPTA_WOL_10116;[steward.GetBestName] is only paying respect to [steward.Religion.GetRandomGodName] in accordance with [steward.GetHerHis] religion.;;;;;;;;;x 
EVTOPTB_WOL_10116;Please excuse [steward.GetHerHim], I am still trying to teach this barbarian civilized manners.;;;;;;;;;x 
EVTOPTC_WOL_10116;I'm hungry too!;;;;;;;;;x 
EVTDESCA_WOL_10120;As you spend more time talking to [From.GetBestName], you realize that you have a lot more in common than mere business interests.;;;;;;;;;x 
EVTDESCB_WOL_10120;After long hours negotiating and discussing possible terms of trade, you and [From.GetBestName] seem to have arrived at a mutual understanding.;;;;;;;;;x 
EVTDESCC_WOL_10120;The increasingly difficult negotiations between you and [From.GetBestName] are suddenly interrupted when [From.GetBestName] slams [From.GetHerHis] fist on the table. It seems like [From.GetSheHe] can no longer bear your presence in the room and when you decide to leave he shouts '[GetFromRootInsult]' after you.;;;;;;;;;x 
EVTOPTA_WOL_10120;I've gained both a friend and a profitable agreement.;;;;;;;;;x 
EVTOPTB_WOL_10120;This will be a profitable agreement.;;;;;;;;;x 
EVTOPTC_WOL_10120;I guess that was it then.;;;;;;;;;x 
EVTDESC_WOL_10125;With the new trade route set up you return with the first batch of goods and sell them off for a nice profit. The influx of new wares will also benefit the economy for a long period to come.;;;;;;;;;x 
EVTOPTA_WOL_10125;More money is always needed.;;;;;;;;;x 
EVTDESC_WOL_10128;The trade expedition was a failure as you didn't manage to close a deal for foreign goods. This is seen as a failure not only by you but also by everyone in your vicinity.;;;;;;;;;x 
EVTOPTA_WOL_10128;At least I learned something.;;;;;;;;;x 
EVTDESC_WOL_10118;You are walking idly around the court of [From.GetTitledFirstName] when you suddenly hear a discussion increasing in intensity around the corner. Turning the corner you're surprised to see one of the [Root.Religion.GetPriestTitle]s from your expedition engaged in a wild theological debate with a local noble. This could endanger the whole venture!;;;;;;;;;x 
EVTOPTA_WOL_10118;This must be stopped.;;;;;;;;;x 
EVTOPTB_WOL_10118;I will intervene with my charm and soothe the debaters.;;;;;;;;;x 
EVTOPTC_WOL_10118;These heretics need to see the error of their ways.;;;;;;;;;x 
EVTOPTD_WOL_10118;These heathens need to see the error of their ways.;;;;;;;;;x 
EVTDESC_WOL_10126;Your [steward.GetJobTitle] has brought in riches to your realm through [steward.GetHerHis] competent handling of the trading expedition and [steward.GetSheHe] probably expects to be rewarded with a share of the wealth.;;;;;;;;;x 
EVTOPTA_WOL_10126;I will reward [From.GetHerHim] appropriately.;;;;;;;;;x 
EVTOPTB_WOL_10126;[From.GetSheHeCap] was just doing his duty.;;;;;;;;;x 
EVTDESC_WOL_10123;While I was at the foreign court I also spent some time observing and discussing with the courtiers regarding how they organize their administration. It is fascinating how differently they manage things over here.;;;;;;;;;x 
EVTOPTA_WOL_10123;I should apply some of these tricks when managing my own finances.;;;;;;;;;x 
EVTDESC_WOL_10130;The trade route from [Root.GetName] is in dire need of new pack animals and equipment to be able to continue bringing in goods to our realm.;;;;;;;;;x 
EVTDESC_WOL_10131;The trade route from [Root.GetName] is in dire need of a new ship and equipment to be able to continue bringing in goods to our realm.;;;;;;;;;x 
EVTOPTA_WOL_10130;I need to keep this trade route running.;;;;;;;;;x 
EVTOPTB_WOL_10130;It's too expensive.;;;;;;;;;x 
EVTDESC_WOL_10200;You've been spending countless hours sketching up plans for different building projects when suddenly realize how you could display your extraordinary architectural skills. You will build a grand tower that will dwarf everything else in the landscape.;;;;;;;;;x 
EVTOPTA_WOL_10200;This will be glorious.;;;;;;;;;x 
EVTOPTB_WOL_10200;But I won't be able to afford it.;;;;;;;;;x 
EVTDESC_WOL_10201;The tower construction will need a mason to work the stone for both beauty and strength. The question is whom you should hire for this delicate work.;;;;;;;;;x 
EVTOPTA_WOL_10201;I know a craftsman that has the skill.;;;;;;;;;x 
EVTOPTB_WOL_10201;Any boy off the street will do fine.;;;;;;;;;x 
EVTDESC_WOL_10202;Word has spread around the realm regarding your prestigious building project. Most people seems to be impressed with the scale of the planned tower while others deem it an impossible task.;;;;;;;;;x 
EVTOPTA_WOL_10202;The doubters will be proven wrong.;;;;;;;;;x 
EVTDESCB_WOL_10204;[From.GetBestName] comes up to you and complains about what hard and tiresome work it is to plan out how to carve the stones for the tower. He therefore asks you for more payment to finish the plans since he has already used up the first payment. Strangely enough, according to rumor he seems to have had a lot of time to spare chasing after women in your court.;;;;;;;;;x 
EVTDESCA_WOL_10204;[From.GetBestName] has been working tirelessly on planning the carving ofe the stones for the tower. He now approaches you with dark circles under his eyes and petitions you for extra funds, claiming his father is sick and his family needs aid.;;;;;;;;;x 
EVTOPTA_WOL_10204;Very well, but make sure to carry on with your work.;;;;;;;;;x 
EVTOPTB_WOL_10204;You're just using the money on your lustful adventures.;;;;;;;;;x 
EVTOPTC_WOL_10204;Very well, but make sure to carry on with your work.;;;;;;;;;x 
EVTOPTD_WOL_10204;I already paid you, now get to it!;;;;;;;;;x 
EVTDESC_WOL_10205;Before the construction of a building this large can begin we need to make sure we have enough high-quality stone. Your Steward suggests importing the stone from a reliable trade partner while it could be beneficial to the region to have access to nearby quarry.;;;;;;;;;x 
EVTOPTA_WOL_10205;Import the stone.;;;;;;;;;x 
EVTOPTB_WOL_10205;Build a quarry.;;;;;;;;;x 
EVTOPTC_WOL_10205;I could reuse some old building materials from the castle.;;;;;;;;;x 
EVTDESC_WOL_10206;During the construction of your grand tower in [This.Capital.GetName], a couple of the workers were killed by a falling granite block as the ropes holding it snapped. People are now demanding stricter security measures as well as compensation to the families that lost their husbands and fathers in this tragic incident.;;;;;;;;;x 
EVTOPTA_WOL_10206;Peasants are expendable.;;;;;;;;;x 
EVTOPTB_WOL_10206;I will compensate the families for their loss.;;;;;;;;;x 
EVTDESC_WOL_10207;After decades of providing the province with building materials, the stone quarry in [Root.GetName] has been shut down as it no longer produces quality stone.;;;;;;;;;x 
EVTOPTA_WOL_10207;That's too bad.;;;;;;;;;x 
EVTDESC_WOL_10210;[From.GetBestName] approaches you at court, clearly upset. [From.GetSheHeCap] has seen that the new tower now stretches higher than any temple in the realm. [From.GetSheHeCap] raises [From.GetHerHis] voice and nearly screams 'This is unacceptable! You cannot climb into Heaven no matter how much you try, the way to Heaven is the domain of the Church!'.;;;;;;;;;x 
EVTOPTA_WOL_10210;Go back to your old scriptures.;;;;;;;;;x 
EVTOPTB_WOL_10210;I guess we can cut some height off the tower.;;;;;;;;;x 
EVTOPTC_WOL_10210;I only follow the word of [Root.Religion.GetRandomGodName].;;;;;;;;;x 
EVTOPTD_WOL_10210;[From.GetSheHeCap]'s onto me. [From.GetSheHeCap] must disappear.;;;;;;;;;x 
EVTTOOLTIPWOL10210;§Y[From.GetBestName]§! will be lured to the top of the tower...;;;;;;;;;x 
EVTDESC_WOL_10212;I managed to persuade [From.GetBestName] to follow me to the top of the scaffolding so that [From.GetSheHe] could properly inspect the tower. The view from the top is breathtakingly beautiful, a fact that [From.GetName] soon will experience in the literal sense.;;;;;;;;;x 
EVTOPTA_WOL_10212;Careful there...;;;;;;;;;x 
EVTTOOLTIPWOL10212;[Root.GetName] pushes [From.GetName].;;;;;;;;;x 
EVTDESC_WOL_10214;As you stretch your arms forward and put all of your body weight behind them to push [From.GetBestName] off the tower, [From.GetSheHe] suddenly bends down. [From.GetSheHeCap] must have found a coin or something. You stumble past [From.GetHerHim] and out into the open air.;;;;;;;;;x 
EVTOPTA_WOL_10214;Oh dear...;;;;;;;;;x 
EVTDESC_WOL_10215;As [From.GetBestName] is inspecting the view at the top of the tower, you reach out and and give [From.GetHerHim] a gentle push.;;;;;;;;;x 
EVTOPTA_WOL_10215;Oh dear.;;;;;;;;;x 
EVTDESC_WOL_10216;The great tower that you began planning so long ago has finally been finished. A tower this tall can be seen from a long way away and people are equally amazed and frightened by the power you have displayed by accomplishing such a grand feat of construction. During the years of work you have spent your time perfecting your knowledge in the many key aspects of the science of construction - knowledge that will last centuries. The tower is also sure to hold back many thousands of enemy soldiers.;;;;;;;;;x 
EVTOPTA_WOL_10216;I am truly a professional builder now.;;;;;;;;;x 
EVTOPTB_WOL_10216;This is merely a spare time pursuit.;;;;;;;;;x 
EVTDESCA_WOL_10217;Your pride, the tower of [Root.GetName] has begun to lean. People everywhere are sniggering behind your back and making rude jokes about it. The only thing greater than your embarassment is your fear of it actually falling over.;;;;;;;;;x 
EVTDESCB_WOL_10217;Before you owned the lands of the province [Root.GetName] a tall tower was built here by [tower_founder.GetBestName]. Now after years of standing proud vigil the tower has begun to lean and people are worried that it might fall over.;;;;;;;;;x 
EVTOPTA_WOL_10217;This is all the mason's fault!;;;;;;;;;x 
EVTOPTB_WOL_10217;This is the result of lazy workers not following instructions!;;;;;;;;;x 
EVTOPTC_WOL_10217;It's my own fault, unfortunately.;;;;;;;;;x 
EVTOPTD_WOL_10217;How unfortunate. It is a fine tower.;;;;;;;;;x 
EVTDESC_WOL_10218;The angle of inclination of your leaning tower is increasing daily now. Perhaps you should try to save it by propping up the construction?;;;;;;;;;x 
EVTOPTA_WOL_10218;I must save the tower at whatever cost!;;;;;;;;;x 
EVTOPTB_WOL_10218;I will put in reasonable effort to save the tower.;;;;;;;;;x 
EVTOPTC_WOL_10218;I will put my trust in destiny.;;;;;;;;;x 
EVTDESCA_WOL_10219;Your great tower is now strengthened and has stopped tipping, resting at a steady angle of inclination. You hope it will stay like that. It does, however, still lean at a considerable angle and it embarrasses you to admit that you built it.;;;;;;;;;x 
EVTDESCB_WOL_10219;Your great tower is now strengthened and has stopped tipping, resting at a steady angle of inclination. You hope it will stay like that. It does, however, still lean at a considerable angle and it looks quite weird.;;;;;;;;;x 
EVTOPTA_WOL_10219;At least it didn't fall on someone's head.;;;;;;;;;x 
EVTDESC_WOL_10220;You wake up in the middle of the night from a loud bang followed by a long rumbling sound as if from the biggest thunderclap you ever heard. You rush to the window in fear, expecting the worst. Your fear proves correct - the leaning tower has finally toppled over and fallen on top of couple of houses who stood no chance against the might of thousands of granite blocks bombarding the roof.;;;;;;;;;x 
EVTOPTA_WOL_10220;I hope no one got hurt.;;;;;;;;;x 
EVTDESCA_WOL_10221;You have been informed that a foreign statesman from far away has arrived to your realm and you head out to greet his entourage in person. When you meet up with them you prepare to exchange noble pleasantries, but you don't even have time to introduce yourself before you are interrupted with a question: 'Where is [tower_founder.GetBestName], the magnificent mind behind this masterly work? I would pay well to meet this genius in person,' the statesman blurts out while pointing at the leaning tower.;;;;;;;;;x 
EVTDESCB_WOL_10221;You have been informed that a foreign statesman from far away has arrived to your realm and you head out to greet his entourage in person. When you meet up with them you prepare to exchange noble pleasantries but you don't even have time to introduce yourself before you are interrupted with a question: 'Where is [tower_founder.GetBestName], the magnificent mind behind this masterly work? Especially the slanted door and uneven stairs are fresh and new details. I would pay well to meet this genius in person,' the statesman blurts out while pointing at the leaning tower.;;;;;;;;;x 
EVTDESCC_WOL_10221;You have been informed that a foreign statesman from far away has arrived to your realm and you head out to greet his entourage in person. When you meet up with them you prepare to exchange noble pleasantries but you don't even have time to introduce yourself before you are interrupted with a question. 'Where is [stonemason.GetBestName], the magnificent mind behind this masterly work? I would pay well to meet this genius in person,' the statesman blurts out while pointing at the leaning tower.;;;;;;;;;x 
EVTDESCD_WOL_10221;You have been informed that a foreign statesman from far away has arrived to your realm and you head out to greet his entourage in person. When you meet up with them you prepare to exchange noble pleasantries but you don't even have time to introduce yourself before you are interrupted with a question. 'Where is [stonemason.GetBestName], the magnificent mind behind this masterly work? Especially the slanted door and uneven stairs are fresh and new ideas. I would pay well to meet this genius in person,' the statesman blurts out while pointing at the leaning tower.;;;;;;;;;x 
EVTOPTA_WOL_10221;Uhm. Of course, I'll fetch him from my, humm... court.;;;;;;;;;x 
EVTOPTB_WOL_10221;I'll fetch him right away.;;;;;;;;;x 
EVTOPTC_WOL_10221;He's not here. He's got more important matters to attend to.;;;;;;;;;x 
EVTOPTD_WOL_10221;You are talking to [Root.GetHerHim] right now.;;;;;;;;;x 
EVTOPTE_WOL_10221;It was constructed here before my rule.;;;;;;;;;x 
EVTOPTF_WOL_10221;Uhm. Of course, I'll fetch him from my, humm... court.;;;;;;;;;x 
EVTDESC_WOL_10300;You wake up and go to the window to greet the sun, and then suddenly realize that your castle garden has been neglected for years and turned into an overgrown and chaotic disgrace. The weeds are knee-high and vines are making it almost impassible without having a sword at hand. Something needs to be done about this.;;;;;;;;;x 
EVTOPTA_WOL_10300;I'll make sure to make this a real garden with a glorious hedge maze!;;;;;;;;;x 
EVTOPTB_WOL_10300;But there's so little time.;;;;;;;;;x 
EVTDESC_WOL_10301;It's hard work to clean out all the weeds from a huge garden. It will take many days and nights of hard labor to finish the preparatory work before you can even begin to grow the hedge maze.;;;;;;;;;x 
EVTOPTA_WOL_10301;I'll do it myself.;;;;;;;;;x 
EVTOPTB_WOL_10301;I'll need to acquire a helping hand.;;;;;;;;;x 
EVTOPTC_WOL_10301;The servants could use some more work.;;;;;;;;;x 
EVTDESC_WOL_10302;Now that the hedges are planted and you just need to wait for them to grow, you turn your attention to other details that your garden needs. Should you add some statues to the dead ends of your maze?;;;;;;;;;x 
EVTOPTA_WOL_10302;I'll add some magnificent statues of my family.;;;;;;;;;x 
EVTOPTB_WOL_10302;I'll add some beautiful statues of religious figures.;;;;;;;;;x 
EVTOPTC_WOL_10302;The shadows are enough decoration in the dead ends.;;;;;;;;;x 
EVTDESC_WOL_10303;Any garden with self-respect has a fountain, someone told you once. Now you have the possibility to build a fountain for your garden to flaunt your extravagance.;;;;;;;;;x 
EVTOPTA_WOL_10303;I'll build a large fountain in the middle.;;;;;;;;;x 
EVTOPTB_WOL_10303;I'll have a fountain and wine shall flow through it all days of the week.;;;;;;;;;x 
EVTOPTC_WOL_10303;It's not worth spending money on.;;;;;;;;;x 
EVTDESC_WOL_10304;It's time to fill out the rows of plants around the garden. You could either import exotic flowers from far away or you could plant local species.;;;;;;;;;x 
EVTOPTA_WOL_10304;Let's import flowers to bring that exotic flavor.;;;;;;;;;x 
EVTOPTB_WOL_10304;The local flora is as beautiful as any other flowers can be.;;;;;;;;;x 
EVTDESC_WOL_10305;There's a spot that is unused in a secluded part of the garden. Some people would say it's a perfect spot for a cosy pavilion.;;;;;;;;;x 
EVTOPTA_WOL_10305;That sounds romantic, let's do it.;;;;;;;;;x 
EVTOPTB_WOL_10305;That sounds a bit too romantic for my taste.;;;;;;;;;x 
EVTDESCA_WOL_10306;The hedge maze and garden are finally finished. The expensive and exclusive details you added have not gone unnoticed and your garden has gained fame for it's magnificence across many realms. While creating the garden you also learned much about how to make things grow and flourish around you - flowers as well as relationships.;;;;;;;;;x 
EVTDESCB_WOL_10306;The hedge maze and garden are finally finished. A complex hedge maze such as this is sure to grab the attention of people across the realm. While creating the garden you also learned much about how to make things grow and flourish around you - flowers as well as relationships.;;;;;;;;;x 
EVTOPTA_WOL_10306;I like to see things flourish.;;;;;;;;;x 
EVTOPTB_WOL_10306;But sometimes one must also destroy.;;;;;;;;;x 
EVTDESC_WoL_7030;I live my life as other [Root.GetMenWomen] do, navigating its rocks and obstacles, doing my best to achieve success in my endeavours. Still, everything we do takes place in the light of [Root.Religion.GetRandomGodName], and we must take care lest the influence of [Root.Religion.GetRandomEvilGodName] comes into our lives.;;;;;;;;;x 
EVTOPTA_WoL_7030;Indeed it is so.;;;;;;;;;x 
EVTOPTB_WoL_7030;I should ponder this more deeply.;;;;;;;;;x 
EVTOPTC_WoL_7030;These religious ponderings give me a headache.;;;;;;;;;x 
EVTDESC_WoL_7042;There are those in your realm who worship other gods. For example, it is known to you that [From.GetTitledName] openly follows the [From.Religion.GetName] faith. You sometimes wonder what [Root.Religion.GetRandomGodName] would think of your association with these people.;;;;;;;;;x 
EVTOPTA_WoL_7042;We are more alike than we are different.;;;;;;;;;x 
EVTOPTB_WoL_7042;Their heathen delusions do not interest me.;;;;;;;;;x 
EVTDESC_WoL_7050;For a long while now, you have not felt the presence of [Root.Religion.GetRandomGodName] in your thoughts. You are starting to wonder whether there really is any truth in [Root.Religion.GetScriptureName] or if perhaps it is just an old book written by clever liars.;;;;;;;;;x 
EVTOPTA_WoL_7050;It must be so, [Root.Religion.GetRandomGodName] is dead!;;;;;;;;;x 
EVTOPTB_WoL_7050;These blasphemous feelings will soon pass.;;;;;;;;;x 
EVTDESC_WoL_7060;With your strong devotion to the [Root.Religion.GetName] faith, you have spent countless hours reading [Root.Religion.GetScriptureName] and thinking about the meaning and origin of the sacred words therein. There are some things that don't quite correspond to what the [Root.Religion.GetPriestTitle]s are saying in their sermons, however...;;;;;;;;;x 
EVTOPTA_WoL_7060;I have no right to question them.;;;;;;;;;x 
EVTOPTB_WoL_7060;Perhaps it should not all be taken so literally after all.;;;;;;;;;x 
EVTOPTC_WoL_7060;These [Root.Religion.GetPriestTitle]s are charlatans!;;;;;;;;;x 
EVTDESC_WoL_7070;I have spent years studying the basic tenets and beliefs of the [Root.Religion.GetName] faith, and by now I consider myself quite an advanced [Root.Religion.GetName] scholar.;;;;;;;;;x 
EVTOPTA_WoL_7070;I will dedicate my life's work to [Root.Religion.GetRandomGodName].;;;;;;;;;x 
EVTOPTB_WoL_7070;Religion has its uses and is well worthy of study.;;;;;;;;;x 
EVTOPTC_WoL_7070;It is interesting, but there are other things in life.;;;;;;;;;x 
EVTOPTD_WoL_4800;I'll dedicate all my free time to games now!;;;;;;;;;x 
apprentice_boardgamer;Apprentice Boardgamer;;;;;;;;;x 
apprentice_boardgamer_desc;This character has found an appetite for playing strategic tabletop games.;;;;;;;;;x 
