#CODE;ENGLISH;;;;;;;;;x 
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;;;;;;;;;x 
e_spain;Hispania;;;;;;;;;x 
e_spain_adj;Hispanian;;;;;;;;;x 
west_african;West African;;;;;;;;;x 
manden;Mandé;;;;;;;;;x 
k_byzantium;Greece;;;;;;;;;x 
k_byzantium_adj;Greek;;;;;;;;;x 
k_anatolia;Anatolia;;;;;;;;;x 
k_anatolia_adj;Anatolian;;;;;;;;;x 
k_ruthenia;Ruthenia;;;;;;;;;x 
k_ruthenia_adj;Ruthenian;;;;;;;;;x 
e_russia;Russia;;;;;;;;;x 
e_russia_adj;Russian;;;;;;;;;x 
e_scandinavia;Scandinavia;;;;;;;;;x 
e_scandinavia_adj;Scandinavian;;;;;;;;;x 
e_france;Francia;;;;;;;;;x 
e_france_adj;French;;;;;;;;;x 
mujahid;Mujahid;;;;;;;;;x 
mujahid_desc;This character is a veteran of a Jihad.;;;;;;;;;x 
hajjaj;Hajajj;;;;;;;;;x 
hajjaj_desc;This character has made the Hajj - the pilgrimage to Mecca.;;;;;;;;;x 
on_hajj;On Hajj;;;;;;;;;x 
on_hajj_desc;This character is on a pilgrimage to Mecca.;;;;;;;;;x 
faqih;Faqih;;;;;;;;;x 
faqih_desc;This character is formally schooled in Islamic jurisprudence.;;;;;;;;;x 
hafiz;Hafiz;;;;;;;;;x 
hafiz_desc;This character has completely memorized the Qur'an.;;;;;;;;;x 
sayyid;Sayyid;;;;;;;;;x 
sayyid_desc;This character is patrilineally descended from the Prophet Muhammad's uncles al-Abbas and Abu Talib, or from the sons of his daughter Fatimah - Hasan ibn Ali and Husain ibn Ali.;;;;;;;;;x 
mirza;Mirza;;;;;;;;;x 
mirza_desc;The mother of this character is a Sayyida (patrilineally descended from the Prophet Muhammad).;;;;;;;;;x 
scarred;Scarred;;;;;;;;;x 
scarred_desc;Old wounds have left this character visibly scarred.;;;;;;;;;x 
pilgrim;Pilgrim;;;;;;;;;x 
pilgrim_desc;The character has completed a great pilgrimage.;;;;;;;;;x 
MUSLIM_VIEW;$TRAIT$: $VALUE$;;;;;;;;;x 
AIREASON_IS_HIGHER_RANK_SPOUSE;§Y[GetTitledFirstName]§! is my Spouse and higher ranked;;;;;;;;;x 
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! must not marry an infidel;;;;;;;;;x 
FIGHTING_ANOTHER_WAR;Busy fighting another war;;;;;;;;;x 
empire;Empire;;;;;;;;;x 
kingdom;Kingdom;;;;;;;;;x 
duchy;Duchy;;;;;;;;;x 
county;County;;;;;;;;;x 
barony;Barony;;;;;;;;;x 
city_empire;Principality;;;;;;;;;x 
city_kingdom;Most Serene Republic;;;;;;;;;x 
city_duchy;Republic;;;;;;;;;x 
city_county;Grand City;;;;;;;;;x 
city_barony;City;;;;;;;;;x 
temple_kingdom_catholic;Theocracy;;;;;;;;;x 
temple_kingdom_orthodox;Patriarchate;;;;;;;;;x 
temple_kingdom_pagan_group;Theocracy;;;;;;;;;x 
temple_duchy_christian;Prince-Archbishopric;;;;;;;;;x 
temple_duchy_pagan_group;Theocracy;;;;;;;;;x 
temple_county_christian;Prince-Bishopric;;;;;;;;;x 
temple_county_pagan_group;Theocracy;;;;;;;;;x 
temple_barony_christian;Bishopric;;;;;;;;;x 
temple_barony_pagan_group;Temple;;;;;;;;;x 
count_arabic_female;Shaykhah;;;;;;;;;x 
empire_altaic;Khaganate;;;;;;;;;x 
kingdom_altaic;Khanate;;;;;;;;;x 
barony_arabic;Wilayah;;;;;;;;;x 
county_arabic;Sheikhdom;;;;;;;;;x 
duchy_arabic;Emirate;;;;;;;;;x 
kingdom_arabic;Sultanate;;;;;;;;;x 
barony_turkish;Timar;;;;;;;;;x 
county_turkish;Beylik;;;;;;;;;x 
duchy_turkish;Beylerbeylik;;;;;;;;;x 
kingdom_turkish;Sultanate;;;;;;;;;x 
barony_mongol;Taishi;;;;;;;;;x 
county_mongol;Chiefdom;;;;;;;;;x 
duchy_mongol;High Chiefdom;;;;;;;;;x 
baron_west_african;Wâli;;;;;;;;;x 
barony_of_west_african;Wilayah of;;;;;;;;;x 
barony_west_african;Wilayah;;;;;;;;;x 
count_west_african;Farin;;;;;;;;;x 
count_female_west_african;Farina;;;;;;;;;x 
county_of_west_african;Sheikhdom of;;;;;;;;;x 
county_west_african;Sheikhdom;;;;;;;;;x 
duke_west_african;Farbas;;;;;;;;;x 
duke_female_west_african;Farba;;;;;;;;;x 
duchy_of_west_african;Emirate of;;;;;;;;;x 
duchy_west_african;Emirate;;;;;;;;;x 
king_west_african;Mansa;;;;;;;;;x 
king_female_west_african;Sultana;;;;;;;;;x 
kingdom_of_west_african;Sultanate of;;;;;;;;;x 
kingdom_west_african;Sultanate;;;;;;;;;x 
alert_high_decadence_instant;§YHigh Decadence§!;;;;;;;;;x 
alert_high_decadence_delayed;Your dynasty is seen as hopelessly decadent. There is a risk of a massive revolt.;;;;;;;;;x 
PRETENDER_TO;Pretender and Claimant to the $TITLE$;;;;;;;;;x 
one_celibate;Pleasures in the after-life: Celibacy;;;;;;;;;x 
one_hedonist;Pleasures in life: Hedonism;;;;;;;;;x 
opinion_adopted_foreign_ways;Adopted Foreign Ways;;;;;;;;;x 
opinion_nomuslim;Not a True Believer;;;;;;;;;x 
opinion_brother_muslim;My Brother;;;;;;;;;x 
opinion_half_brother_muslim;My Half-Brother;;;;;;;;;x 
imam_appreciates;The Imams Approve;;;;;;;;;x 
pious_imams;Money-loving Imams;;;;;;;;;x 
unfunny_imam;Disregards Blasphemy;;;;;;;;;x 
NOT_ALLOWED_PLAY_LOWBORN;Not allowed to play §YLowborn§!;;;;;;;;;x 
NOT_ALLOWED_PLAY_LOWBORN_MP;§Y$PLAYER$§! not allowed to play §YLowborn§!;;;;;;;;;x 
light_foot_leader;Light Foot Leader;;;;;;;;;x 
light_foot_leader_desc;This character has proven to be a capable commander when leading light infantry into battle.;;;;;;;;;x 
heavy_infantry_leader;Heavy Infantry Leader;;;;;;;;;x 
heavy_infantry_leader_desc;This character is skilled at leading heavily armored infantry into battle.;;;;;;;;;x 
cavalry_leader;Cavalry Leader;;;;;;;;;x 
cavalry_leader_desc;This character excels at leading men to war on horseback.;;;;;;;;;x 
inspiring_leader;Inspiring Leader;;;;;;;;;x 
inspiring_leader_desc;This character has a way of reaching directly into the hearts and minds of the soldiers on the battlefield, and not just with a sword.;;;;;;;;;x 
trickster;Trickster;;;;;;;;;x 
trickster_desc;This character is skilled at misdirection, and will often feint an attack from one direction only to suddenly charge from another.;;;;;;;;;x 
organizer;Organizer;;;;;;;;;x 
organizer_desc;This character is a skillful organizer in matters of logistics and in overcoming the challenges of moving a large body of men from one point to another.;;;;;;;;;x 
defensive_leader;Defender;;;;;;;;;x 
defensive_leader_desc;This character has a reputation as a stalwart defender, standing like a stone wall alongside the men no matter what force hurls itself against them.;;;;;;;;;x 
experimenter;Unpredictable Leader;;;;;;;;;x 
experimenter_desc;This character is known to be an unpredictable element on the battlefield. The enemy won't see it coming, and neither will you!;;;;;;;;;x 
flanker;Flanker;;;;;;;;;x 
flanker_desc;This character fights best when positioned on the flank of an army, striking deeply at the chinks in the enemy's armor.;;;;;;;;;x 
aggressive_leader;Aggressive Leader;;;;;;;;;x 
aggressive_leader_desc;This character does not shy away from battle, and will show no mercy to opponents who attempt to quit the field.;;;;;;;;;x 
EVTDESC6071;The cough disappeared, thank [Root.Religion.GetRandomGodName]! I still feel a bit weak but the coughing, the chest pain and the shortness of breath are gone.;;;;;;;;;x 
EVTOPTD76041;Your father sinned when he fathered you;;;;;;;;;x 
EVTOPTB61146;[Root.Religion.GetRandomGodNameCap] help us when that [Root.Liege.GetLadLass] sits on the throne...;;;;;;;;;x 
EVTOPTB61226;By [Root.Religion.GetRandomGodName], ye shan't leave this field alive.;;;;;;;;;x 
EVTOPTB61223;By [Root.Religion.GetRandomGodName], what have I gotten myself into? I will have no part in this madness.;;;;;;;;;x 
EVTDESC7509;I assume this is yet another poor attempt at humor, my liege. I shan't surrender that which is rightfully mine, no matter who demands it, by [Root.Religion.GetRandomGodName]!\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTOPTB3636;A forkful of animal excrement!;;;;;;;;;x 
EVTTOOLTIP3638;[Root.GetTitledFirstName] has choosen the weapon for the duel: a forkful of animal excrement;;;;;;;;;x 
EVTDESC3638;I could not believe my ears when [From.GetTitledFirstName]'s second told me what kind of weapon we would use in the duel: a forkful of animal excrement!;;;;;;;;;x 
EVTOPTB3638;I will not touch animal excrement!;;;;;;;;;x 
EVTDESC3639;It came as no suprise to me when [From.GetTitledFirstName]'s second told me to bring my sword to the duel, I was just glad I didn't have to fight with a sledgehammer, or, [Root.Religion.GetName] forbide, something disgusting as animal excrement!;;;;;;;;;x 
EVTNAME60100;The Mongols sack Kiev!;;;;;;;;;x 
EVTDESC60100;The Mongol scourge has poured through the Golden Gates of Kiev and sacked the once proud trading hub. The city has been left a smoldering ruin and the Dnieper now runs red with the blood of its former inhabitants.;;;;;;;;;x 
EVTOPTA60100;Perhaps the stories were true...;;;;;;;;;x 
EVTNAME60101;The Mongols sack Novgorod!;;;;;;;;;x 
EVTDESC60101;Novgorod has been stormed by the Tartar horde and both the city and its population are now suffering beyond measure. The Cathedral of Saint Sophia is engulfed in flames as the steppe warriors loot that which can be carried away and put the rest to the torch.;;;;;;;;;x 
EVTOPTA60101;Perhaps their bloodlust has been sated now.;;;;;;;;;x 
EVTNAME60102;The Mongols sack Krakow!;;;;;;;;;x 
EVTDESC60102;The Mongols continue their push beyond the Vistula and into Poland. Krakow has now fallen to the invaders, and it is said that at night the flames from the burning city can be seen from untold leagues away.;;;;;;;;;x 
EVTOPTA60102;They must be stopped!;;;;;;;;;x 
EVTNAME60103;The Mongols sack Aachen!;;;;;;;;;x 
EVTDESC60103;Even Aachen, the former seat of Charlemagne's great Carolingian empire, has fallen under the shadow of the Mongol scourge. His spirit must surely be weeping at the atrocities now being committed within the city's walls.;;;;;;;;;x 
EVTOPTA60103;Barbarians!;;;;;;;;;x 
EVTNAME60104;The Mongols sack Paris!;;;;;;;;;x 
EVTDESC60104;Like a swarm of locusts, the unstoppable Mongols have descended upon Paris and sacked the city. The still unfinished Notre Dame Cathedral is quickly set on fire and with the light provided by the rest of the burning city, the Mongol warriors can continue looting and murdering well into the night.;;;;;;;;;x 
EVTOPTA60104;There seems to be no reprieve from these accursed Tartars.;;;;;;;;;x 
EVTNAME60105;The Mongols sack London!;;;;;;;;;x 
EVTDESC60105;Not even the sea has proved a formidable enough barrier to halt the Mongol advance. London has fallen to their vanguard and the city is now the scene of a slaughter on a scale unrivaled since the days of Queen Boudica and her rebellion. ;;;;;;;;;x 
EVTOPTA60105;God save us all.;;;;;;;;;x 
EVTNAME60106;The Mongols sack Rome!;;;;;;;;;x 
EVTDESC60106;Once more Rome suffers at the cruel hands of eastern barbarians. The Mongols have breached the Aurelian Walls, and their horses are now grazing on the field of the Circus Maximus while they raise their yurts on the Palatine Hill. As expected, no mercy is shown to those Romans who have not yet fled the city.;;;;;;;;;x 
EVTOPTA60106;Is this the end of days?;;;;;;;;;x 
EVTNAME60107;The Mongols sack Venice!;;;;;;;;;x 
EVTDESC60107;The canals of Venice have been blocked by the bloated corpses of the dead as the city is sacked by frenzied Mongol warriors. Those few fortunate enough to have escaped the slaughter claim the bodies are packed tightly enough in the Venetian Lagoon for the Mongols to ride to and from the mainland as they please.;;;;;;;;;x 
EVTOPTA60107;Surely that can't be true!;;;;;;;;;x 
EVTNAME60108;The Mongols sack Constantinople!;;;;;;;;;x 
EVTDESC60108;The Theodosian Walls have not been enough to spare Constantinople from the vile touch of the Tartar scourge. The great imperial capital has been sacked, its citizens butchered or enslaved, the Hagia Sophia defiled and the Great Palace of the emperors put to the torch.;;;;;;;;;x 
EVTOPTA60108;May God have mercy on their souls.;;;;;;;;;x 
EVTNAME60109;The Mongols sack Lisbon!;;;;;;;;;x 
EVTDESC60109;The Mongols have now reached as far west as Lisbon in their conquests. While the city burns at their touch, the steppe warriors look out over the great blue expanse of the Atlantic. Who can tell where they will turn next?;;;;;;;;;x 
EVTOPTA60109;Is there no place beyond their reach?;;;;;;;;;x 
EVTNAME60110;The Mongols sack Smolensk!;;;;;;;;;x 
EVTDESC60110;Smolensk has been swallowed up by the Mongol hordes as they continue their relentless advance to the west. When the great host finally moves on, little remains of the city but ashes and charred rubble, and those lucky few inhabitants who somehow escaped the notice of the rampaging horsemen.;;;;;;;;;x 
EVTOPTA60110;Such butchery will not go unpunished.;;;;;;;;;x 
EVTNAME60111;The Mongols sack Prague!;;;;;;;;;x 
EVTDESC60111;The city of Prague has become a beacon of light in an otherwise dark world, as the Mongol barbarians move from house to house and set fire to everything not yet looted. A flood of refugees spread horrific tales about the cruelty of the bloodthirsty Tartar horsemen to every corner of Europe.;;;;;;;;;x 
EVTOPTA60111;Have they no regard for culture?;;;;;;;;;x 
EVTNAME60112;The Mongols sack Vienna!;;;;;;;;;x 
EVTDESC60112;Vienna, a city of growing importance on the Danube river, has become the latest victim of the Mongol hordes as they continue to pillage and burn their way across Europe. The smoking ruins and arrow-riddled corpses they leave behind when they move on do not lend much faith in the city's future prospects.;;;;;;;;;x 
EVTOPTA60112;There will come a time of reckoning.;;;;;;;;;x 
EVTNAME60113;The Mongols sack Esztergom!;;;;;;;;;x 
EVTDESC60113;The Mongols have reached beyond the Carpathians and fanned out across the Great Hungarian Plain. Now the city of Esztergom has fallen to the murderous host and is the scene of indiscriminate slaughter. Those that attempt to flee on foot are cut down without mercy by the fast horsemen as dark, billowing smoke rises towards the sky above the city.;;;;;;;;;x 
EVTOPTA60113;May it be the last city the Tartars take!;;;;;;;;;x 
EVTNAME60114;The Mongols sack Athens!;;;;;;;;;x 
EVTDESC60114;The ancient city of Athens has fallen to the Mongols, and they now rampage unchecked behind its walls. Great monuments and artifacts dating back to the dawn of Western Civilisation are lost forever in a cultural desecration that will surely be felt by future generations thousands of years from now.;;;;;;;;;x 
EVTOPTA60114;This time they have gone too far!;;;;;;;;;x 
EVTNAME60115;The Mongols sack Belgrade!;;;;;;;;;x 
EVTDESC60115;The "White City" has turned red as the Mongol invaders seize Belgrade and massacre the inhabitants without exception. After several days of slaughter and looting, the smell of death and rotting flesh proves too much even for the Mongols to bear and they move their camp upwind from the scorched ruins of the city.;;;;;;;;;x 
EVTOPTA60115;They will be the end of us all!;;;;;;;;;x 
opinion_refused_abdicate_title;Refused to abdicate title;;;;;;;;;x 
plot_gain_indie_title_title;Fabricate a claim on the [This.GetFullBaseName];;;;;;;;;x 
plot_gain_indie_title_desc;Rally support amongst the vassals of [This.Holder.GetTitledName] in an attempt to fabricate a claim on the [This.GetFullBaseName]. God willing, you may some day become their new liege.;;;;;;;;;x 
plot_gain_indie_title_decision_100;[Root.GetPlot];;;;;;;;;x 
plot_gain_indie_title_decision_100_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
plot_gain_indie_title_decision_75;[Root.GetPlot];;;;;;;;;x 
plot_gain_indie_title_decision_75_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
plot_gain_liege_title_title;Fabricate a claim on the [This.GetFullBaseName];;;;;;;;;x 
plot_gain_liege_title_desc;Rally support amongst the other vassals of [This.Holder.GetTitledName] in an attempt to fabricate a claim on the [This.GetFullBaseName]. God willing, you may some day become their new liege.;;;;;;;;;x 
plot_gain_liege_title_decision_100;[Root.GetPlot];;;;;;;;;x 
plot_gain_liege_title_decision_100_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
plot_gain_liege_title_decision_75;[Root.GetPlot];;;;;;;;;x 
plot_gain_liege_title_decision_75_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
plot_gain_fellow_vassal_title_title;Fabricate a claim on the [This.GetFullBaseName];;;;;;;;;x 
plot_gain_fellow_vassal_title_desc;Rally support amongst the other vassals of [This.Holder.Liege.GetTitledName] in an attempt to fabricate a claim on the [This.GetFullBaseName]. God willing, you may some day rightfully take the title from [This.Holder.GetTitledFirstName].;;;;;;;;;x 
plot_gain_fellow_vassal_title_decision_100;[Root.GetPlot];;;;;;;;;x 
plot_gain_fellow_vassal_title_decision_100_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
plot_gain_fellow_vassal_title_decision_75;[Root.GetPlot];;;;;;;;;x 
plot_gain_fellow_vassal_title_decision_75_desc;Put the plot into motion by attempting to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
EVTTOOLTIP7600;successfully fabricating a claim.;;;;;;;;;x 
EVTTOOLTIP7601;failing to fabricate a claim.;;;;;;;;;x 
EVTDESC7600;With the aid of your fellow conspirators, you have managed to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName].;;;;;;;;;x 
EVTOPTA7600;Excellent.;;;;;;;;;x 
EVTDESC7601;Not only have you failed to fabricate a claim on the [Root.PlotTargetTitle.GetFullBaseName], but your efforts have been discovered. [Root.PlotTarget.GetTitledFirstName] is none too pleased...;;;;;;;;;x 
EVTOPTA7601;This will take some explaining...;;;;;;;;;x 
#ca_culture_group_north_germanic_1;Small Housecarl Training Ground;;;;;;;;;x 
#ca_culture_group_north_germanic_2;Housecarl Training Ground;;;;;;;;;x 
#ca_culture_group_north_germanic_3;Large Housecarl Training Ground;;;;;;;;;x 
#ca_culture_group_north_germanic_4;Great Housecarl Training Ground;;;;;;;;;x 
ca_culture_group_north_germanic_1;Housecarl Training Ground;;;;;;;;;x 
ca_culture_group_north_germanic_2;Housecarl Training Ground;;;;;;;;;x 
ca_culture_group_north_germanic_3;Housecarl Training Ground;;;;;;;;;x 
ca_culture_group_north_germanic_4;Housecarl Training Ground;;;;;;;;;x 
#ca_culture_hungarian_1;Small Hussar Training Ground;;;;;;;;;x 
#ca_culture_hungarian_2;Hussar Training Ground;;;;;;;;;x 
#ca_culture_hungarian_3;Large Hussar Training Ground;;;;;;;;;x 
#ca_culture_hungarian_4;Great Hussar Training Ground;;;;;;;;;x 
ca_culture_hungarian_1;Hussar Training Ground;;;;;;;;;x 
ca_culture_hungarian_2;Hussar Training Ground;;;;;;;;;x 
ca_culture_hungarian_3;Hussar Training Ground;;;;;;;;;x 
ca_culture_hungarian_4;Hussar Training Ground;;;;;;;;;x 
#ca_culture_group_arabic_1;Small Camel Riding Ground;;;;;;;;;x 
#ca_culture_group_arabic_2;Camel Riding Ground;;;;;;;;;x 
#ca_culture_group_arabic_3;Large Camel Riding Ground;;;;;;;;;x 
#ca_culture_group_arabic_4;Great Camel Riding Ground;;;;;;;;;x 
ca_culture_group_arabic_1;Camel Riding Ground;;;;;;;;;x 
ca_culture_group_arabic_2;Camel Riding Ground;;;;;;;;;x 
ca_culture_group_arabic_3;Camel Riding Ground;;;;;;;;;x 
ca_culture_group_arabic_4;Camel Riding Ground;;;;;;;;;x 
#ca_culture_group_byzantine_1;Small Cataphract Training Ground;;;;;;;;;x 
#ca_culture_group_byzantine_2;Cataphract Training Ground;;;;;;;;;x 
#ca_culture_group_byzantine_3;Large Cataphract Training Ground;;;;;;;;;x 
#ca_culture_group_byzantine_4;Great Cataphract Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_1;Cataphract Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_2;Cataphract Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_3;Cataphract Training Ground;;;;;;;;;x 
ca_culture_group_byzantine_4;Cataphract Training Ground;;;;;;;;;x 
#ca_culture_irish_1;Small Gallowglass Training Ground;;;;;;;;;x 
#ca_culture_irish_2;Gallowglass Training Ground;;;;;;;;;x 
#ca_culture_irish_3;Large Gallowglass Training Ground;;;;;;;;;x 
#ca_culture_irish_4;Great Gallowglass Training Ground;;;;;;;;;x 
ca_culture_irish_1;Gallowglass Training Ground;;;;;;;;;x 
ca_culture_irish_2;Gallowglass Training Ground;;;;;;;;;x 
ca_culture_irish_3;Gallowglass Training Ground;;;;;;;;;x 
ca_culture_irish_4;Gallowglass Training Ground;;;;;;;;;x 
#ca_culture_ethiopian_1;Small Ethiopian Drilling Grounds;;;;;;;;;x 
#ca_culture_ethiopian_2;Ethiopian Drilling Grounds;;;;;;;;;x 
#ca_culture_ethiopian_3;Large Ethiopian Drilling Grounds;;;;;;;;;x 
#ca_culture_ethiopian_4;Great Ethiopian Drilling Grounds;;;;;;;;;x 
ca_culture_ethiopian_1;Ethiopian Drilling Grounds;;;;;;;;;x 
ca_culture_ethiopian_2;Ethiopian Drilling Grounds;;;;;;;;;x 
ca_culture_ethiopian_3;Ethiopian Drilling Grounds;;;;;;;;;x 
ca_culture_ethiopian_4;Ethiopian Drilling Grounds;;;;;;;;;x 
#ca_culture_group_south_slavic_1;Small Gusar Training Ground;;;;;;;;;x 
#ca_culture_group_south_slavic_2;Gusar Training Ground;;;;;;;;;x 
#ca_culture_group_south_slavic_3;Large Gusar Training Ground;;;;;;;;;x 
#ca_culture_group_south_slavic_4;Great Gusar Training Ground;;;;;;;;;x 
ca_culture_group_south_slavic_1;Gusar Training Ground;;;;;;;;;x 
ca_culture_group_south_slavic_2;Gusar Training Ground;;;;;;;;;x 
ca_culture_group_south_slavic_3;Gusar Training Ground;;;;;;;;;x 
ca_culture_group_south_slavic_4;Gusar Training Ground;;;;;;;;;x 
#ca_culture_dutch_1;Small Goedendag Militia Quarters;;;;;;;;;x 
#ca_culture_dutch_2;Goedendag Militia Quarters;;;;;;;;;x 
#ca_culture_dutch_3;Large Goedendag Militia Quarters;;;;;;;;;x 
