#CODE;ENGLISH;;;;;;;;;x 
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;;;;;;;;;x 
#EVTDESC73224;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Steward of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;;;;;;;;x 
EVTOPTA73224;[From.GetSheHeCap] is now my new Steward;;;;;;;;;x 
EVTOPTC73224;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73225;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Steward of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x 
#EVTOPTA73225;Its what I deserve..;;;;;;;;;x 
#;;;;;;;;;;x 
#EVTDESC73230;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_spiritual.GetTitledFirstName] as [Root.Liege.GetHerHis] Lord Spiritual. I am more competent and would be a better Lord Spiritual!;;;;;;;;;x 
EVTOPTA73230;I will petition my liege!;;;;;;;;;x 
EVTTOOLTIP73231;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
#EVTDESC73231;[From.GetBestName] claims that [From.GetSheHe] would be a better Lord Spiritual than [Root.job_spiritual.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Lord Spiritual of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;x 
#EVTOPTA73231;[From.GetSheHeCap] is now my new Lord Spiritual;;;;;;;;;x 
EVTOPTB73231;Give [Root.job_spiritual.GetTitledFirstName] a chance!;;;;;;;;;x 
EVTTOOLTIP73232;will hear of our patience.;;;;;;;;;x 
EVTOPTC73231;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
#EVTDESC73232;My liege [From.GetBestName] is not entirely happy with our performance as Lord Spiritual of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;;;;;;;;;x 
EVTOPTA73232;I must prove myself!;;;;;;;;;x 
EVTOPTB73232;What can I do?;;;;;;;;;x 
#EVTDESC73233;Enough time has passed, I deserve to become Lord Spiritual of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;;;;;;;;;x 
EVTOPTA73233;I await [Root.Liege.GetHerHis] reply eagerly.;;;;;;;;;x 
EVTTOOLTIP73234;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
#EVTDESC73234;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Lord Spiritual of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;;;;;;;;x 
#EVTOPTA73234;[From.GetSheHeCap] is now my new Lord Spiritual;;;;;;;;;x 
EVTOPTC73234;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
#EVTDESC73235;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Lord Spiritual of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x 
EVTOPTA73235;Its what I deserve..;;;;;;;;;x 
#;;;;;;;;;;x 
EVTDESC73240;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_chancellor.GetTitledFirstName] as [Root.Liege.GetHerHis] [Root.GetChancellorName]. I am more competent and would be a better [Root.GetChancellorName]!;;;;;;;;;x 
EVTOPTA73240;I will petition my liege!;;;;;;;;;x 
EVTTOOLTIP73241;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
EVTDESC73241;[From.GetBestName] claims that [From.GetSheHe] would be a better [Root.GetChancellorName] than [Root.job_chancellor.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;x 
EVTOPTA73241;[From.GetSheHeCap] is now my new [Root.GetChancellorName];;;;;;;;;x 
EVTOPTB73241;Give [Root.job_chancellor.GetTitledFirstName] a chance!;;;;;;;;;x 
EVTTOOLTIP73242;will hear of our patience.;;;;;;;;;x 
EVTOPTC73241;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73242;My liege [From.GetBestName] is not entirely happy with our performance as [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;;;;;;;;;x 
EVTOPTA73242;I must prove myself!;;;;;;;;;x 
EVTOPTB73242;What can I do?;;;;;;;;;x 
EVTDESC73243;Enough time has passed, I deserve to become [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;;;;;;;;;x 
EVTOPTA73243;I await [Root.Liege.GetHerHis] reply eagerly.;;;;;;;;;x 
EVTTOOLTIP73244;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
#EVTDESC73244;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;;;;;;;;x 
EVTOPTA73244;[From.GetSheHeCap] is now my new [Root.GetChancellorName];;;;;;;;;x 
EVTOPTC73244;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73245;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as [Root.GetChancellorName] of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x 
EVTOPTA73245;Its what I deserve..;;;;;;;;;x 
#;;;;;;;;;;x 
EVTOPTB3220;Pride comes before fall...;;;;;;;;;x 
EVTOPTA3237;I do not need [From.GetHerHis] advice anyway.;;;;;;;;;x 
EVTDESC3140;I know I am not the best warrior in the realm, but I so wish I was. There are men who appear to be better than me, and I wish I was like them!;;;;;;;;;x 
EVTOPTA3140;Insult one of them.;;;;;;;;;x 
EVTOPTB3140;Befriend one of them.;;;;;;;;;x 
EVTOPTC3140;Attempt to emulate them.;;;;;;;;;x 
EVTDESC3141;Those that talk to sweetly at court are great at diplomacy. I begrudge them their ability, and I covet it for myself.;;;;;;;;;x 
EVTOPTA3141;Insult one of them.;;;;;;;;;x 
EVTOPTB3141;Befriend one of them.;;;;;;;;;x 
EVTOPTC3141;Attempt to emulate them.;;;;;;;;;x 
EVTDESC3142;I covet the stewardship ability of some of the people at court. I deserve to be better at managing my economy.;;;;;;;;;x 
EVTOPTA3142;Insult one of them.;;;;;;;;;x 
EVTOPTB3142;Befriend one of them.;;;;;;;;;x 
EVTOPTC3142;Attempt to emulate them.;;;;;;;;;x 
EVTDESC3143;There are so many great manipulators in the court, and I almost admire their skills if it weren't for the fact that I wish I had what they have.;;;;;;;;;x 
EVTOPTA3143;Insult one of them.;;;;;;;;;x 
EVTOPTB3143;Befriend one of them.;;;;;;;;;x 
EVTOPTC3143;Attempt to emulate them.;;;;;;;;;x 
EVTDESC3144;There are people in the court that are so dedicated to learning. I wish I was more like them, and it vexes me that I am not.;;;;;;;;;x 
EVTOPTA3144;Insult one of them.;;;;;;;;;x 
EVTOPTB3144;Befriend one of them.;;;;;;;;;x 
EVTOPTC3144;Attempt to emulate them.;;;;;;;;;x 
EVTDESC3145;I am still childless, and there are women at court with children who are younger than me. I should be the one with a young and healthy son in my arms.;;;;;;;;;x 
EVTOPTA3145;Tell one of them how fat she is!;;;;;;;;;x 
EVTOPTB3145;Befriend one of them;;;;;;;;;x 
EVTOPTC3145;Try to look more attractive to my man;;;;;;;;;x 
EVTDESC3115;One of the priests seems to have noticed that I fell asleep during his sermons this Sunday. I simply can't understand why slothfulness is not considered to be a virtue..;;;;;;;;;x 
EVTOPTA3115;I don't think [From.Religion.GetRandomGodName] minds...;;;;;;;;;x 
EVTTOOLTIP3116;[This.GetTitledFirstName] is upset;;;;;;;;;x 
EVTDESC3116;I was greatly upset when the slothful [From.GetTitledFirstName] fell asleep during my sermon!;;;;;;;;;x 
EVTOPTA3116;[From.GetSheHeCap] will burn in everlasting hellfire...;;;;;;;;;x 
EVTTOOLTIP3117;will hear my scolding!;;;;;;;;;x 
EVTDESC3117;It seems that [From.GetTitledFirstName] is upset about me falling asleep during [From.GetHerHis] sermon. Now [From.GetSheHe] is giving me a long lecture about dedication to the Church.;;;;;;;;;x 
EVTOPTA3117;Ignore [From.GetHerHim]....;;;;;;;;;x 
EVTOPTB3110;Make an effort;;;;;;;;;x 
EVTOPTB3100;I don't even have time for church.;;;;;;;;;x 
EVTDESC3280;There is just so many sinners at court. I am just too honest a person to keep quiet when I see someone with a vice.;;;;;;;;;x 
EVTOPTA3280;Speak my mind!;;;;;;;;;x 
EVTOPTB3280;Keep quiet!;;;;;;;;;x 
EVTTOOLTIP3281;is utterly embarrassed.;;;;;;;;;x 
EVTDESC3281;[From.GetBestName] has utterly embarrassed me in front of the entire court. [From.GetSheHeCap] is claiming that I am sinful and full of vice.;;;;;;;;;x 
EVTOPTA3281;I don't like [From.GetHerHim] anymore..;;;;;;;;;x 
EVTDESC3282;I am torn between my honesty and my ability to intrigue. It is stressful to attempt to be both, and I simply do not know how I should behave at times.;;;;;;;;;x 
EVTOPTA3282;I should be more of a diplomat.;;;;;;;;;x 
EVTOPTB3282;Honesty be damned!;;;;;;;;;x 
EVTDESC3283;I know when someone is a good ruler, and my liege, [Root.Liege.GetTitledFirstName] is a [Root.Liege.GetManWoman] with virtues. [Root.Liege.GetSheHeCap] deserves praise and respect.;;;;;;;;;x 
EVTOPTA3283;Praise [Root.Liege.GetHerHim] publicly!;;;;;;;;;x 
EVTTOOLTIP3284;will learn of our speech.;;;;;;;;;x 
EVTOPTB3283;Send a private letter to [Root.Liege.GetTitledFirstName].;;;;;;;;;x 
EVTTOOLTIP3285;will read our letter...;;;;;;;;;x 
EVTDESC3284;My faithful vassal, [From.GetBestName] is rather honest, and have publicly spoken about my virtues. This has radicalized my vassals, where some agree and some do not.;;;;;;;;;x 
EVTOPTA3284;Oh well..;;;;;;;;;x 
EVTDESC3285;My dear [This.GetTitle], I wanted to thank you for your virtuous rule. You are an inspiration to me.\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3285;This was unexpected...;;;;;;;;;x 
EVTDESC3286;There are vassals we have that deserve praise for their virtues. I can not keep quiet about it, and I need to give the proper respect, or I am not an honest person anymore.;;;;;;;;;x 
EVTOPTA3286;Praise publicly;;;;;;;;;x 
EVTTOOLTIP3287;will hear our proclamation.;;;;;;;;;x 
EVTOPTB3286;Reward in private..;;;;;;;;;x 
EVTTOOLTIP3288;will get our sack of gold.;;;;;;;;;x 
EVTDESC3287;My dear [This.GetTitle], you are a role model for my realm. Your virtues is exactly what I require from a [This.GetTitle].\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3287;Thank you!;;;;;;;;;x 
EVTDESC3288;My dear [This.GetTitle], I wanted to thank you for your virtuous rule as my vassal. Maybe this sack of gold will help you feel rewarded.\n\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3288;Thank you!;;;;;;;;;x 
EVTOPTB3485;It was YOU!;;;;;;;;;x 
EVTDESC3495;There are so many people out to get me. Their eyes are staring at me constantly, and I am sure they are plotting against me in open sight.;;;;;;;;;x 
EVTOPTA3495;Avoid open spaces, they are dangerous;;;;;;;;;x 
EVTOPTB3495;Accuse everyone publicly!;;;;;;;;;x 
EVTOPTE40020;Execute [FromFrom.GetHerHim]!;;;;;;;;;x 
EVTDESC3240;True humility is about showing humility when it is against our desires. A humble [Root.GetManWoman] submits to proper authority, even if [Root.GetSheHe] dislikes his lawful liege.;;;;;;;;;x 
EVTOPTA3240;Submit to [Root.Liege.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTB3240;I will never bend my knee;;;;;;;;;x 
EVTTOOLTIP3241;will hear of our submission;;;;;;;;;x 
EVTDESC3241;My dear [This.GetTitle], I am your humble servant, and while I may not have always viewed you as favourably as I should, I sincerely regret my behavior.\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3241;Good News!;;;;;;;;;x 
EVTDESC3242;True humility is about showing humility when it is against our desires. A humble [Root.GetManWoman] submits to God, even if [Root.GetSheHe] may dislike the Pope himself.;;;;;;;;;x 
EVTOPTA3242;Submit to the Throne of St. Peter;;;;;;;;;x 
EVTOPTB3242;Never!;;;;;;;;;x 
EVTDESC3243;Recognising virtues and talents that other possess is truly a virtue. I am truly blessed by having a Marshal that is more formidable warrior than I could ever dream of being.;;;;;;;;;x 
EVTOPTA3243;Honor [Root.job_marshal.GetHerHim] for [Root.job_marshal.GetHerHis] skill!;;;;;;;;;x 
EVTTOOLTIP3244;is honored for [This.GetHerHis] skill;;;;;;;;;x 
#EVTOPTB3243;Thank God for my marshal [Root.job_marshal.GetTitledFirstName];;;;;;;;;x 
EVTDESC3244;My dear [This.GetTitle]. I just wished to inform you of how much I appreciate your talent and recognize that it beyond my own.\n[From.GetTitledFirstName];;;;;;;;;x 
EVTOPTA3244;Thank you;;;;;;;;;x 
EVTDESC3258;I am very ambitious, but I also know that I am not great at everything. Being humble means I can recognize the limit of my talent, and not reach for what is beyond my grasp.;;;;;;;;;x 
EVTOPTA3258;I must be humble.;;;;;;;;;x 
EVTOPTB3258;Ambitions are more important!;;;;;;;;;x 
EVTDESC3245;Recognising virtues and talents that other possess is a virtue. I am truly blessed by having a [Root.GetChancellorName] who is a marvel at diplomacy.;;;;;;;;;x 
EVTDESC3246;Recognising virtues and talents that other possess is truly a virtue. I am truly blessed by having a Spymaster who is brilliant in rooting out plots.;;;;;;;;;x 
EVTDESC3247;Recognising virtues and talents that other possess is truly a virtue. I am truly blessed by having a [Root.GetLordSpiritualName] who is a devout teacher.;;;;;;;;;x 
EVTDESC3248;Recognising virtues and talents that other possess is truly a virtue. I am truly blessed by having a Steward that truly knows how to govern a realm.;;;;;;;;;x 
EVTOPTA3248;Reward my Steward!;;;;;;;;;x 
EVTOPTB3248;Thank God for my Steward;;;;;;;;;x 
opinion_ignore_patriarch_request;Ignored Patriarch's request;;;;;;;;;x 
buy_indulgence_for_sins;Buy Indulgence for my sins;;;;;;;;;x 
indulgence_ask;The Holy Father will hear our plea for salvation.;;;;;;;;;x 
bought_indulgences;Bought Indulgences;;;;;;;;;x 
refused_indulgences;Refused Indulgences;;;;;;;;;x 
EVTDESC39250;An emissary comes from [From.GetBestName], with hopes of buying indulgences to clean [From.GetHerHis] sins. While [From.GetSheHe] has committed some very grave sins, this shows sincere regret.;;;;;;;;;x 
EVTOPTA39250;Grant absolution;;;;;;;;;x 
EVTTOOLTIP39251;will cry tears of joy at our reply.;;;;;;;;;x 
EVTDESC39251;The Holy Father has granted us absolution!;;;;;;;;;x 
EVTOPTA39251;Glory to God!;;;;;;;;;x 
opinion_defended_me;Defended me against the Pope;;;;;;;;;x 
pope_heathen_removal_approve;Banishing heathens!;;;;;;;;;x 
pope_heathen_removal_approve_2;Imprisoning heathens!;;;;;;;;;x 
EVTDESC39230;A procession of monks have arrived at our castle, protesting that we are keeping a Bishop in our prison. They claim that we are sinning against the law of God!;;;;;;;;;x 
EVTOPTA39230;Acknowledge their demands.;;;;;;;;;x 
EVTOPTB39230;Disperse the rabble.;;;;;;;;;x 
EVTDESC39240;There are rumors that one of the rulers of Christendom is employing a heathen in their court. This is not acceptable to the Church, and this earthly lord will surely be damned unless we intervene.;;;;;;;;;x 
EVTOPTA39240;Demand adherence to the Throne of St. Peter!;;;;;;;;;x 
EVTOPTB39240;It is not our concern.;;;;;;;;;x 
EVTTOOLTIP392401;will hear the Papal emissary.;;;;;;;;;x 
EVTDESC39241;An emissary from [From.GetTitledFirstName] has arrived in our court. According to the emissary, the Holy Father is concerned about our employment of heathens as advisors.  The Pope is asking of me to remove them from position.;;;;;;;;;x 
EVTOPTB39241;Imprison the heathen!;;;;;;;;;x 
EVTOPTC39241;I rule in my realm!;;;;;;;;;x 
EVTDESC39243;An emissary has returned from [From.GetBestName] bearing glorious news. The emissary says that [From.GetTitledFirstName] has agreed to imprison a heathen that was in [From.GetHerHis] court.;;;;;;;;;x 
EVTOPTA39243;Glory to God!;;;;;;;;;x 
EVTDESC39244;This is a day that the has caused cries of joy to rise up from the pits of hell. An emissary from  [From.GetBestName] is stating that [From.GetSheHe] refuse to follow our demands.;;;;;;;;;x 
EVTOPTA39244;My God, why have you forsaken me?;;;;;;;;;x 
EVTDESC39260;There are rumors that one of the rulers of Christendom is employing a heathen in their court. This is not acceptable to the Church, and this earthly lord will surely be damned unless we intervene.;;;;;;;;;x 
EVTOPTA39260;Demand adherence to the True Faith!;;;;;;;;;x 
EVTOPTB39260;It is not our concern.;;;;;;;;;x 
EVTTOOLTIP39261;will listen to our emissary.;;;;;;;;;x 
EVTDESC39261;An emissary from [From.GetTitledFirstName] has arrived in our court. According to the emissary, [From.GetSheHe] is concerned about our employment of heathens as advisors.  The Patriarch is asking of me to remove them from position.;;;;;;;;;x 
EVTOPTA39261;Banish the heathen from our realm.;;;;;;;;;x 
EVTOPTB39261;Imprison the heathen!;;;;;;;;;x 
EVTOPTC39261;I rule in my realm!;;;;;;;;;x 
EVTDESC39262;An emissary has returned from [From.GetBestName] bearing glorious news. The emissary says that [From.GetTitledFirstName] has agreed to banish a heathen that was in [From.GetHerHis] court.;;;;;;;;;x 
EVTOPTA39262;Glory to God!;;;;;;;;;x 
EVTDESC39263;An emissary has returned from [From.GetBestName] bearing glorious news. The emissary says that [From.GetTitledFirstName] has agreed to imprison a heathen that was in [From.GetHerHis] court.;;;;;;;;;x 
EVTOPTA39263;Glory to God!;;;;;;;;;x 
EVTDESC39264;This is a day that the has caused cries of joy to rise up from the pits of hell. An emissary from  [From.GetBestName] is stating that [From.GetSheHe] refuse to follow our demands.;;;;;;;;;x 
EVTOPTA39264;My God, why have you forsaken me?;;;;;;;;;x 
EVTDESC39270;There is an errant bishop in one of the catholic realms. Rumours speak of him pledging allegiance to his earthly master ahead of God.;;;;;;;;;x 
EVTOPTA39270;Send an emissary to have him replaced.;;;;;;;;;x 
EVTOPTB39270;Its not my concern;;;;;;;;;x 
EVTTOOLTIP39271;will listen to our emissary.;;;;;;;;;x 
EVTDESC39271;The Holy Father is most concerned about the loyalties of the bishops of our realm. [From.GetBestName] is asking for us to replace one of them with a bishop.;;;;;;;;;x 
EVTOPTA39271;Follow the Papal Demands;;;;;;;;;x 
EVTOPTB39271;Ignore the emissary;;;;;;;;;x 
EVTDESC39272;An emissary has returned from [From.GetBestName] bearing glorious news. The errant bishop is no longer in a position of authority.;;;;;;;;;x 
EVTOPTA39272;Non nobis Domine!;;;;;;;;;x 
EVTDESC39273;Our emissary has returned from [From.GetBestName]. The news he bring is dire indeed, as [From.GetBestName] is refusing to follow our demands.;;;;;;;;;x 
EVTOPTA39273;Tears in Heaven!;;;;;;;;;x 
EVTDESC39275;We have loyal bishops in other realms. Perhaps we should return them to their de-jure rulers, so that they can guide their earthly lieges.;;;;;;;;;x 
EVTOPTA39275;On Earth as in Heaven.;;;;;;;;;x 
EVTOPTB39275;Direct control is preferable.;;;;;;;;;x 
EVTDESC39276;The Holy Father wishes to inform us that we will now also obey an early liege.;;;;;;;;;x 
EVTOPTA39276;Ok;;;;;;;;;x 
