#CODE;ENGLISH;;;;;;;;;x 
ADD_AMBITION_EFFECT;$CHAR$ gains the ambition §Y$OBJECTIVE$§!\n;;;;;;;;;x 
AUTOCEPHALOUS_REL_HEAD_TITLE;Patriarch;;;;;;;;;x 
REL_HEAD;Religious Head;;;;;;;;;x 
AUTOCEPHALY_IRO;§YAdditional Autocephalous Patriarchs§!;;;;;;;;;x 
#AUTOCEPHALY_DRO;Apart from the original five Patriarchs - the Pentarchy - all other Orthodox kingdoms or empires also have their own autonomous Patriarchs. The Court Chaplain of an Orthodox kingdom or empire is also considered the Patriarch of that realm. He will always do what his liege asks of him, but only the Ecumenical Patriarch can grant the Invasion Casus Belli. Each autocephalous Patriarch controls Excommunication within their respective realm.;;;;;;;;;x 
SET_PARENT_RELIGION;The §Y$RELIGION$§! religion becomes a heresy of the §Y$PARENT$§! faith.;;;;;;;;;x 
SET_PARENT_RELIGION_NONE;The §Y$RELIGION$§! religion is no longer a heresy of the §Y$OLD_PARENT$§! faith.;;;;;;;;;x 
BECOMES_INDEPENDENT_EFFECT;§Y$VASSAL$§! becomes Independent;;;;;;;;;x 
BECOMES_LIEGE_EFFECT;§Y$LIEGE$§! becomes §Y$VASSAL$§!'s new liege;;;;;;;;;x 
opinion_granted_independence;Granted Independence;;;;;;;;;x 
EVTTOOLTIP8000;[Root.PlotTarget.GetTitledName] receives your ultimatum.;;;;;;;;;x 
EVTDESC8005;I am afraid the Faction I represent must insist on succession by Seniority. We are fully prepared to take up arms should you refuse, and rest assured, we have enough men to enforce our just demand...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTTOOLTIP8005;[Root.Liege.GetTitledName] receives an ultimatum.;;;;;;;;;x 
EVTOPTB8005;Over my dead body!;;;;;;;;;x 
EVTDESC8010;I am afraid the Faction I represent must insist on succession by Primogeniture. We are fully prepared to take up arms should you refuse, and rest assured, we have enough men to enforce our just demand...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8015;I am afraid the Faction I represent must insist on Elective Monarchy. We are fully prepared to take up arms should you refuse, and rest assured, we have enough men to enforce our just demand...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8020;I am afraid the Faction I represent must insist on succession by Gavelkind. We are fully prepared to take up arms should you refuse, and rest assured, we have enough men to enforce our just demand...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8025;For too long, the crown has restricted our historic rights and liberties. The time has come to lower the Crown Authority! Submit to this demand peacefully or face the consequences. Rest assure that I have gathered others who are equally upset...\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8035;It is time for you to recognize the full independence of [From.PrimaryTitle.GetName] and the other states in the Independence Faction. Be reasonable and let us not resort to bloodshed.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8036;[Root.GetFirstName], I name you a pretender! [From.SupportedClaimant.GetTitledName] is the true ruler of [From.SupportedClaimantTitle.GetName], as recognized by myself and other nobles. Relinquish the title or there will be war!\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8061;Your support of [Root.SupportedClaimant.GetTitledName] is shocking. However, in order to spare the realm from a harrowing civil war, I will resign in [Root.SupportedClaimant.GetPossPronoun] favor.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8069;Your lack of faith in my duties as your liege saddens me, but I do recognize your desire to pursue your own destiny. However, do not expect my future protection, or, indeed, friendship.\n\nSigned,\n[From.GetTitledName];;;;;;;;;x 
EVTDESC8075;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to change the succession law to Seniority. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8076;[From.GetTitledName] has agreed to the demands of the Seniority Faction. The Succession Law has been changed.;;;;;;;;;x 
EVTDESC8080;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to change the succession law to Primogeniture. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8081;[From.GetTitledName] has agreed to the demands of the Primogeniture Faction. The Succession Law has been changed.;;;;;;;;;x 
EVTDESC8085;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to change the succession law to Elective Monarchy. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8086;[From.GetTitledName] has agreed to the demands of the Elective Monarchy Faction. The Succession Law has been changed.;;;;;;;;;x 
EVTDESC8090;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to change the succession law to Gavelkind. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8091;[From.GetTitledName] has agreed to the demands of the Gavelkind Faction. The Succession Law has been changed.;;;;;;;;;x 
EVTDESC8095;Rather than letting civil war tear the realm apart, [From.GetTitledName] has agreed to Lower the Crown Authority. Your valuable support in this conflict will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8094;Under pressure from a powerful Faction, [From.GetTitledName] has agreed to Lower Crown Authority.;;;;;;;;;x 
EVTDESC8097;In order to avoid a fruitless civil war, [From.GetTitledName] has wisely agreed to release us all from vassalage. Your valuable support in this matter will not be forgotten.\n\nSincerely,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8093;Under pressure from the powerful Independence Faction, [From.GetTitledName] has agreed to release the [FromFrom.PrimaryTitle.GetFullName] and others from their vassalage.;;;;;;;;;x 
EVTDESC8098;Marvellous news! [From.GetTitledName] has wisely heeded our demand and accepted [FromFrom.SupportedClaimant.GetTitledName] as ruler of [FromFrom.SupportedClaimantTitle.GetName]. Let the celebration commence!\n\nSigned,\n[FromFrom.GetTitledName];;;;;;;;;x 
EVTDESC8099;[From.GetTitledName] has folded to the demands of the Faction for [FromFrom.SupportedClaimant.GetTitledName] as ruler of [FromFrom.SupportedClaimantTitle.GetName].;;;;;;;;;x 
WAR_NAME_FACTION_INDEPENDENCE;$ORDER$$FIRST_ADJ$ League Independence War;;;;;;;;;x 
cb_faction_independence_desc;The members of the Independence faction, led by §Y$CLAIMANT$§!, can collectively attempt to declare independence from §Y$TARGET$§!;;;;;;;;;x 
alert_powerful_factions_instant;§YDangerous Factions§!;;;;;;;;;x 
alert_powerful_factions_delayed;There are powerful dissident Factions in your realm:\n$LIST$;;;;;;;;;x 
faction_succ_seniority_short;Seniority Succession;;;;;;;;;x 
faction_succ_seniority_title;Seniority Succession in [This.GetName];;;;;;;;;x 
faction_succ_seniority_desc;Members seek to institute succession by Seniority in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x 
faction_succ_primogeniture_short;Primogeniture Succession;;;;;;;;;x 
faction_succ_primogeniture_title;Primogeniture Succession in [This.GetName];;;;;;;;;x 
faction_succ_primogeniture_desc;Members seek to institute succession by Primogeniture in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x 
faction_succ_feudal_elective_short;Elective Succession;;;;;;;;;x 
faction_succ_feudal_elective_title;Elective Succession in [This.GetName];;;;;;;;;x 
faction_succ_feudal_elective_desc;Members seek to institute Elective Monarchy in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x 
faction_succ_gavelkind_short;Gavelkind Succession;;;;;;;;;x 
faction_succ_gavelkind_title;Gavelkind Succession in [This.GetName];;;;;;;;;x 
faction_succ_gavelkind_desc;Members seek to institute Gavelkind succession in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x 
faction_lower_crown_authority_short;Lower Crown Authority;;;;;;;;;x 
faction_lower_crown_authority_title;Lower Crown Authority in [This.GetName];;;;;;;;;x 
faction_lower_crown_authority_desc;Members seek to lower the Crown Authority in [This.GetName]. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x 
faction_independence_title;Independence Faction;;;;;;;;;x 
faction_independence_desc;Members seek complete independence. When sufficiently powerful, §Y[From.GetBestName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!. The leader of the Independence faction is likelier to take greater risks than other faction leaders, and will have fewer qualms about striking when the liege is already under attack.;;;;;;;;;x 
faction_claimant_short;Install Claimant;;;;;;;;;x 
faction_claimant_title;[New.GetTitledFirstName] for [This.GetName];;;;;;;;;x 
faction_claimant_desc;Members seek to install §Y[New.GetTitledName]§! on the throne of [This.GetName]§!. When sufficiently powerful, §Y[From.GetTitledName]§! may present an ultimatum to §Y[From.Liege.GetBestName]§!.;;;;;;;;;x 
faction_succ_seniority_ultimatum;Demand Succession by Seniority;;;;;;;;;x 
faction_succ_seniority_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Seniority. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;x 
faction_succ_primogeniture_ultimatum;Demand Succession by Primogeniture;;;;;;;;;x 
faction_succ_primogeniture_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Primogeniture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;x 
faction_succ_feudal_elective_ultimatum;Demand Elective Monarchy;;;;;;;;;x 
faction_succ_feudal_elective_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the institution of Elective Monarchy. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;x 
faction_succ_gavelkind_ultimatum;Demand Succession by Gavelkind;;;;;;;;;x 
faction_succ_gavelkind_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding succession by Gavelkind. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;x 
faction_lower_crown_authority_ultimatum;Demand Lower Crown Authority;;;;;;;;;x 
faction_lower_crown_authority_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Crown Authority. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;;;;;;;;;x 
faction_independence_ultimatum;Demand Independence;;;;;;;;;x 
faction_independence_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding independence for you and the other members of the Independence Faction. If [Root.Liege.GetSubjectPronoun] refuses to comply, the Faction will rise in revolt.;;;;;;;;;x 
faction_claimant_ultimatum;Demand Installation of Claimant;;;;;;;;;x 
faction_claimant_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the installation of §Y[Root.SupportedClaimant.GetBestName]§! on the throne of §Y[Root.SupportedClaimantTitle.GetName]§!. If [Root.Liege.GetSubjectPronoun] refuses to comply, the Faction will rise in revolt.;;;;;;;;;x 
REVOLT_DISTANCE_LESS_THAN;Revolt Distance less than ;;;;;;;;;x 
REVOLT_DISTANCE_AT_LEAST;Revolt Distance at least ;;;;;;;;;x 
LOADING_TIP_51;With Agnatic-Cognatic succession, a younger daughter with a son comes before an older daughter without.;;;;;;;;;x 
OPINION_DIFF_LOWER_THAN;Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;;;;;;;;;x 
OPINION_DIFF_AT_LEAST;Opinion difference between §Y$FIRST$§! and §Y$SECOND$§! at least §Y$VAL$§!;;;;;;;;;x 
FACTION_CANCELLED_SETUP;Faction Disbanded;;;;;;;;;x 
FACTION_CANCELLED_LOG;The '$OBJECTIVE$' faction, led by §Y$CHARNAME$§!, has disbanded.;;;;;;;;;x 
FACTION_CREATED_SETUP;Faction Founded;;;;;;;;;x 
FACTION_CREATED_LOG;§Y$CHARNAME$§! has founded the '$OBJECTIVE$' faction.;;;;;;;;;x 
FACTION_MEMBER_JOINS_SETUP;Ruler Joins Faction;;;;;;;;;x 
FACTION_MEMBER_JOINS_LOG;§Y$CHARNAME$§! has joined the '$OBJECTIVE$' faction.;;;;;;;;;x 
FACTION_MEMBER_LEAVES_SETUP;Ruler Leaves Faction;;;;;;;;;x 
FACTION_MEMBER_LEAVES_LOG;§Y$CHARNAME$§! has left the '$OBJECTIVE$' faction.;;;;;;;;;x 
FACTIONS_LABEL;Factions in the $TITLE$;;;;;;;;;x 
RETINUE_OF;Retinue of $CHARACTER$;;;;;;;;;x 
TECH_RECRUITMENT;Military Organization;;;;;;;;;x 
TECH_RECRUITMENT_DESC;Recruitment and field organization improvements.;;;;;;;;;x 
START_A_FACTION;Start a Faction;;;;;;;;;x 
USED_IN_RETINUES;Used in Retinues: §R-$LOSS$%§!;;;;;;;;;x 
RETINUES_NOT_REINFORCING;§YRetinues are set to not reinforce.§!;;;;;;;;;x 
RETINUES_HALF_REINFORCING;§YRetinues are set to reinforce at half speed.§!;;;;;;;;;x 
RETINUES_FULL_REINFORCING;§YRetinues are set to reinforce at maximum speed.§!;;;;;;;;;x 
RETINUES_NOT_REFINORCING_DESC;This removes the reinforce cost.;;;;;;;;;x 
RETINUES_HALF_REINFORCING_DESC;This halves the reinforce cost.\n( §Y$GROWTH$%§! of the retinue will reinforce per month ).;;;;;;;;;x 
RETINUES_FULL_REINFORCING_DESC;This means you will pay full reinforce cost.\n( §Y$GROWTH$%§! of the retinue will reinforce per month );;;;;;;;;x 
RETINUES_NOT_REINFORCING_BUTTON;§YSet Retinues to not reinforce.§!;;;;;;;;;x 
RETINUES_HALF_REINFORCNIG_BUTTON;§YSet Retinues to reinforce at half speed.§!;;;;;;;;;x 
RETINUES_FULL_REINFORCING_BUTTON;§YSet Retinues to reinforce at maximum speed.§!;;;;;;;;;x 
MIL_RETINUES;Retinues;;;;;;;;;x 
REALM_MANPOWER;Realm Manpower ( Total troops in realm ): §Y$SIZE$§!\n;;;;;;;;;x 
AVERAGE_RETINUE_TECH;Average Recruitment Technology level: ;;;;;;;;;x 
TECH_EFFECT_ON_RETINUES;Retinue percent from Technology: §Y$PERCENT$%§! of Realm Manpower;;;;;;;;;x 
DEF_BONUS_AGAINST_ENEMY;Defence bonus: $PERC$ ( $DAMAGE$ damage );;;;;;;;;x 
BONUS_AGAINST_ENEMY;Damage bonus: $PERC$;;;;;;;;;x 
MORALE_OFFENCE;Morale Damage;;;;;;;;;x 
ATT_BONUS_MORALE;Morale Damage bonus: $PERC$;;;;;;;;;x 
MORALE_ATT_COMBAT_MODIFIER;Morale Damage Combat Modifier: $PERC$;;;;;;;;;x 
DEF_BONUS_MORALE;Morale Defence bonus: $PERC$ ( $DAMAGE$ damage );;;;;;;;;x 
alert_can_press_weak_claims_name;Can press weak claim;;;;;;;;;x 
TERRAIN_SPEC_BONUS;Terrain Combat Modifier: $PERC$;;;;;;;;;x 
TACTIC_CHANGE_DAYS;Next tactic change: §Y$DAYS$§! days\n;;;;;;;;;x 
NO_TERRAIN_SPEC;Does NOT have any Terrain Specialization;;;;;;;;;x 
A_TERRAIN_SPEC;Has a Terrain Specialization;;;;;;;;;x 
HAS_TERRAIN_SPEC_IN;Has Terrain Specialization in §Y$TYPE$§!;;;;;;;;;x 
DOES_NOT_HAVE_TERRAIN_SPEC_IN;Does NOT have Terrain Specialization in §Y$TYPE$§!;;;;;;;;;x 
NO_MORE_LEADERSHIP_TRAITS;Can NOT have more Leadership traits;;;;;;;;;x 
MORE_LEADERSHIP_TRAITS;Can have more Leadership traits;;;;;;;;;x 
COMBAT_IN_TERRAIN;Combat in §Y$TERRAIN$§!: $PERC$;;;;;;;;;x 
DAMAGE_COMBAT_MODIFIER;Damage Combat Modifier: $PERC$;;;;;;;;;x 
PURSUIT_COMBAT_MODIFIER;Pursuit Combat Modifier: $PERC$;;;;;;;;;x 
RETREAT_COMBAT_MODIFIER;Retreat Combat Modifier: $PERC$;;;;;;;;;x 
DEFENCE_COMBAT_MODIFIER;Defence Combat Modifier: $PERC$;;;;;;;;;x 
EXPERIMENT_COMBAT_MODIFIER;Experimentality Combat Modifier: $PERC$;;;;;;;;;x 
LIGHT_INFANTRY_COMBAT_MODIFIER;Combat Modifier boost to Light Foot Troops: $PERC$;;;;;;;;;x 
HEAVY_INFANTRY_COMBAT_MODIFIER;Combat Modifier boost to Heavy Foot Troops: $PERC$;;;;;;;;;x 
CAVALRY_COMBAT_MODIFIER;Combat Modifier boost to Mounted Troops: $PERC$;;;;;;;;;x 
MORALE_DEF_COMBAT_MODIFIER;Morale Defence Combat Modifier: $PERC$;;;;;;;;;x 
FLANKING_COMBAT_MODIFIER;Flanking Combat Modifier: $PERC$;;;;;;;;;x 
CENTER_COMBAT_MODIFIER;Leading the Center Combat Modifier: $PERC$;;;;;;;;;x 
VS_REL_COMBAT_MODIFIER;Fighting Religious Enemy Combat Modifier: $PERC$;;;;;;;;;x 
AVERAGE_FLANK_DAMAGE;Average Flank Damage: §Y$DAMAGE$§! per soldier and day;;;;;;;;;x 
//VS_REL_ENEMY;Fighting a Religious enemy;;;;;;;;;x 
flat_terrain_leader;Flat Terrain Expert;;;;;;;;;x 
flat_terrain_leader_desc;This character is an expert at leading troops on flat terrain.;;;;;;;;;x 
rough_terrain_leader;Rough Terrain Expert;;;;;;;;;x 
rough_terrain_leader_desc;This character is an expert at leading troops in rough terrain.;;;;;;;;;x 
mountain_terrain_leader;Mountain Expert;;;;;;;;;x 
mountain_terrain_leader_desc;This character is an expert at leading troops in mountainous terrain.;;;;;;;;;x 
desert_terrain_leader;Desert Expert;;;;;;;;;x 
desert_terrain_leader_desc;This character is an expert at leading troops in deserts.;;;;;;;;;x 
holy_warrior;Holy Warrior;;;;;;;;;x 
holy_warrior_desc;This character fights best against heathens and infidels, but hesitates in battle against those of the same faith.;;;;;;;;;x 
unyielding_leader;Unyielding;;;;;;;;;x 
unyielding_leader_desc;This character will stubbornly fight to his last breath, compelling his men to do the same while refusing to yield an inch.;;;;;;;;;x 
MIN_RETINUE;Minimum Retinue for all landed characters: $MIN_RET$;;;;;;;;;x 
BUY_RETINUE;Create a §Y$NAME$§! retinue, this will start out almost empty but reinforce up to the specified size.;;;;;;;;;x 
RETTYPE_INF1;Shock;;;;;;;;;x 
RETTYPE_INF2;Defence;;;;;;;;;x 
RETTYPE_CAV1;Cavalry;;;;;;;;;x 
RETTYPE_SKIR1;Skirmish;;;;;;;;;x 
LEVY_UPKEEP;Levy Upkeep;;;;;;;;;x 
RETINUE_UPKEEP;Retinue Upkeep;;;;;;;;;x 
LIEGE_LEVY_OF;Liege Levy of $VASSAL$;;;;;;;;;x 
LIEGE_LEVY_DESC_COULD_SUPPLY;§Y$VASSAL$§! could provide at most §Y$NUM$§! $TYPE$\n;;;;;;;;;x 
LIEGE_LEVY_DESC_LIEGE_TOTAL;Of this you are able to raise $PERC$ ( §Y$NUM$§! ) due to:\n;;;;;;;;;x 
LIEGE_LEVY_DESC_TAXLIEGE;   $VASSAL$ being loyal to $TAX_LIEGE$: $VALUE$;;;;;;;;;x 
#LIEGE_LEVY_DESC_OP;   Opinion: $VALUE$\n;;;;;;;;;x 
#LIEGE_LEVY_DESC_LAWS;      Laws: $VALUE$;;;;;;;;;x 
LIEGE_LEVY_DESC_CROWN;   Crown Law setting the minimum to: $VALUE$;;;;;;;;;x 
LIEGE_LEVY_DESC_DEPLETION;Currently only §Y$NUM$§! $TYPE$ can be raised due to the levy being depleted;;;;;;;;;x 
TROOPS;Troops;;;;;;;;;x 
LIEGE_COSTS;Liege Levy Maintenance: §Y$LEVY$§!\nLiege Tax: §Y$TAX$§!;;;;;;;;;x 
LIEGE_EXPENSE;Liege;;;;;;;;;x 
CONFIRM_DISBAND_NO_RET;\nNo Retinues will be disbanded.;;;;;;;;;x 
CONFIRM_DISBAND_RET;\n§RAll Retinue troops will be disbanded!§!;;;;;;;;;x 
obj_improve_martial_title;Improve Martial Ability;;;;;;;;;x 
obj_improve_martial_desc;[This.GetTitledFirstName] wants to improve [This.GetHerHis] Martial ability, since it is poor (lower than §Y8§!).;;;;;;;;;x 
improve_martial_quit;You look for some other way to improve your martial ability.;;;;;;;;;x 
